noc2011_code,soc2010_code
3217,29-2032
3217,29-2033
3217,29-2034
3217,29-2035
3219,29-1126
3219,29-2031
3219,29-2051
3219,29-2052
3219,29-2053
3219,29-2054
3219,29-2055
3219,29-2091
3219,29-2092
3219,29-2099
3219,29-9099
3219,31-2011
3219,31-9099
3219,49-1011
3219,49-9061
3219,49-9062
3219,49-9064
3219,49-9069
3219,51-9081
3219,51-9082
3221,29-2091
3221,29-2092
3221,51-9081
3221,51-9082
3222,29-2021
3222,31-9091
3223,29-2091
3223,29-2092
3223,51-9081
3223,51-9082
3231,29-2081
3232,29-1199
3232,29-9099
3232,31-2021
3232,31-9011
3233,29-2061
3234,29-2041
3236,29-1199
3236,31-2021
3236,31-9011
3237,29-1126
3237,29-1199
3237,29-2031
3237,29-2051
3237,29-2053
3237,29-2054
3237,29-2055
3237,29-2057
3237,29-2091
3237,29-2092
3237,29-2099
3237,29-9099
3237,31-2011
3237,31-2021
3237,31-9011
3237,31-9092
3237,31-9099
3237,51-9081
3237,51-9082
3411,29-2021
3411,31-1015
3411,31-2012
3411,31-2022
3411,31-9091
3411,31-9093
3411,31-9095
3411,31-9097
3411,31-9099
3413,31-1013
3413,31-1014
3414,27-1023
3414,29-2057
3414,31-1015
3414,31-2012
3414,31-2022
3414,31-9091
3414,31-9092
3414,31-9093
3414,31-9095
3414,31-9097
3414,31-9099
3414,51-9083
4011,25-1011
4011,25-1021
4011,25-1022
4011,25-1031
4011,25-1032
4011,25-1041
4011,25-1042
4011,25-1043
4011,25-1051
4011,25-1052
4011,25-1053
4011,25-1054
4011,25-1061
4011,25-1062
4011,25-1063
4011,25-1064
4011,25-1065
4011,25-1066
4011,25-1067
4011,25-1069
4011,25-1071
4011,25-1072
4011,25-1081
4011,25-1082
4011,25-1111
4011,25-1112
4011,25-1113
4011,25-1121
4011,25-1122
4011,25-1123
4011,25-1124
4011,25-1125
4011,25-1126
4011,25-1191
4011,25-1192
4011,25-1193
4011,25-1199
4012,25-1011
4012,25-1021
4012,25-1022
4012,25-1031
4012,25-1032
4012,25-1041
4012,25-1042
4012,25-1043
4012,25-1051
4012,25-1052
4012,25-1053
4012,25-1054
4012,25-1061
4012,25-1062
4012,25-1063
4012,25-1064
4012,25-1065
4012,25-1066
4012,25-1067
4012,25-1069
4012,25-1071
4012,25-1072
4012,25-1081
4012,25-1082
4012,25-1111
4012,25-1112
4012,25-1113
4012,25-1121
4012,25-1122
4012,25-1123
4012,25-1124
4012,25-1125
4012,25-1126
4012,25-1191
4012,25-1192
4012,25-1193
4012,25-1199
4021,13-1151
4021,21-1012
4021,25-1011
4021,25-1021
4021,25-1022
4021,25-1031
4021,25-1032
4021,25-1041
4021,25-1042
4021,25-1043
4021,25-1051
4021,25-1052
4021,25-1053
4021,25-1054
4021,25-1061
4021,25-1062
4021,25-1063
4021,25-1064
4021,25-1065
4021,25-1066
4021,25-1067
4021,25-1069
4021,25-1071
4021,25-1072
4021,25-1081
4021,25-1082
4021,25-1111
4021,25-1112
4021,25-1113
4021,25-1121
4021,25-1122
4021,25-1123
4021,25-1124
4021,25-1125
4021,25-1126
4021,25-1191
4021,25-1192
4021,25-1193
4021,25-1194
4021,25-1199
4021,25-2023
4021,25-2032
4021,25-3011
4021,25-3021
4021,25-3099
4021,25-9099
4031,25-1194
4031,25-2023
4031,25-2031
4031,25-2032
4031,25-2051
4031,25-2052
4031,25-2053
4031,25-2054
4031,25-2059
4032,25-2021
4032,25-2022
4032,25-2051
4032,25-2052
4032,25-2053
4032,25-2054
4032,25-2059
4033,21-1012
4033,25-3099
4033,25-9099
4111,23-1021
4111,23-1023
4112,23-1011
4112,23-1022
4151,19-3031
4151,19-3032
4151,19-3039
4152,21-1011
4152,21-1013
4152,21-1014
4152,21-1015
4152,21-1019
4152,21-1021
4152,21-1022
4152,21-1023
4152,21-1029
4152,21-1092
4152,21-1099
4153,21-1011
4153,21-1013
4153,21-1014
4153,21-1015
4153,21-1019
4153,21-1021
4153,21-1022
4153,21-1023
4153,21-1029
4153,21-1092
4153,21-1099
4154,21-2011
4154,21-2021
4155,21-1011
4155,21-1013
4155,21-1014
4155,21-1015
4155,21-1019
4155,21-1021
4155,21-1022
4155,21-1023
4155,21-1029
4155,21-1092
4155,21-1099
4156,13-1071
4156,13-1075
4156,13-1141
4156,21-1012
4161,13-1199
4161,19-1013
4161,19-1031
4161,19-1032
4161,19-2041
4161,21-1091
4161,25-9021
4161,29-9011
4162,13-1199
4162,19-3011
4163,13-1161
4163,13-1199
4163,27-3043
4164,13-1199
4165,13-1199
4165,23-1022
4166,13-1199
4166,25-9031
4167,13-1199
4168,13-1199
4169,19-3031
4169,19-3032
4169,19-3039
4169,19-3041
4169,19-3091
4169,19-3092
4169,19-3093
4169,19-3094
4169,19-3099
4169,27-3091
4211,23-1012
4211,23-2011
4211,23-2093
4211,23-2099
4211,33-3011
4211,33-9021
4211,33-9031
4212,13-1041
4212,21-1093
4212,21-1094
4212,43-4061
4214,25-2011
4214,25-2012
4214,39-1021
4214,39-9011
4215,25-2051
4215,25-2052
4215,25-2053
4215,25-2054
4215,25-2059
4216,13-1041
4216,21-1012
4216,25-3021
4216,25-3099
4216,25-9099
4216,43-4031
4217,21-2099
4311,33-1012
4311,33-3021
4311,33-3051
4311,33-3052
4312,17-3022
4312,17-3025
4312,17-3026
4312,17-3029
4312,17-3031
4312,19-4051
4312,19-4092
4312,19-4099
4312,33-1021
4312,33-2011
4312,33-2021
4312,33-2022
4312,47-4011
4312,53-6041
4313,55-2011
4313,55-2012
4313,55-2013
4313,55-3011
4313,55-3012
4313,55-3013
4313,55-3014
4313,55-3015
4313,55-3016
4313,55-3017
4313,55-3018
4313,55-3019
4411,39-1021
4411,39-9011
4412,31-1011
4412,37-1011
4412,39-1021
4412,39-9021
4412,39-9099
4413,25-9041
4421,23-1012
4421,23-2011
4421,23-2093
4421,23-2099
4421,33-3011
4421,33-9021
4421,33-9031
4422,33-1011
4422,33-3012
4423,33-1099
4423,33-3031
4423,33-3041
4423,33-9011
4423,33-9091
4423,33-9092
4423,33-9099
4423,43-5031
5111,25-4021
5111,25-9011
5112,25-4011
5112,25-4012
5113,25-4011
5113,25-4012
5121,13-1161
5121,19-3099
5121,27-3041
5121,27-3042
5121,27-3043
5121,27-3091
5122,27-3022
5122,27-3041
5122,27-3042
5122,27-3043
5123,27-3022
5123,27-3041
5125,19-3099
5125,27-3091
5131,27-1011
5131,27-2012
5131,27-2031
5131,27-2032
5131,27-3022
5131,27-3041
5131,27-4032
5132,27-2041
5132,27-2042
5133,25-3021
5133,27-2041
5133,27-2042
5134,25-3021
5134,25-3099
5134,27-2031
5134,27-2032
5135,25-3021
5135,25-3099
5135,27-2011
5135,27-2099
5136,25-3021
5136,25-3099
5136,27-1012
5136,27-1013
5136,51-9123
5136,51-9194
5211,25-4013
5211,25-4031
5211,27-1012
5212,25-4013
5212,25-4031
5212,27-1012
5212,39-1021
5212,39-7011
5212,39-7012
5221,27-4021
5222,27-4011
5222,27-4012
5222,27-4013
5222,27-4014
5222,27-4031
5222,27-4099
5223,27-1014
5223,27-1024
5223,51-9123
5223,51-9194
5224,27-4011
5224,27-4012
5224,27-4013
5224,27-4014
5224,27-4031
5224,27-4099
5225,27-4011
5225,27-4012
5225,27-4013
5225,27-4014
5225,27-4031
5225,27-4099
5226,27-1019
5226,27-2099
5226,27-3099
5226,27-4099
5226,39-3092
5226,39-3099
5227,27-1019
5227,27-2099
5227,27-3099
5227,27-4011
5227,27-4012
5227,27-4013
5227,27-4014
5227,27-4031
5227,27-4099
5227,39-3092
5227,39-3099
5227,49-9096
5231,27-3011
5231,27-3012
5231,27-3021
5232,27-1019
5232,27-2031
5232,27-2032
5232,27-2099
5232,27-3099
5232,27-4099
5232,39-3092
5232,39-3099
5232,41-9012
5241,27-1014
5241,27-1024
5242,27-1025
5242,27-1026
5242,27-1027
5243,27-1021
5243,27-1022
5243,27-1029
5244,21-1012
5244,25-3099
5244,25-9099
5244,27-1012
5244,27-1013
5244,47-2022
5244,47-4091
5244,49-1011
5244,49-9063
5244,49-9093
5244,51-6041
5244,51-6051
5244,51-7099
5244,51-9022
5244,51-9031
5244,51-9071
5244,51-9123
5244,51-9194
5244,51-9195
5245,51-6062
5245,51-6092
5245,51-9031
5251,27-2021
5252,25-3021
5252,27-2022
5252,27-2023
5253,25-3021
5253,27-2022
5253,27-2023
5254,25-3021
5254,27-2022
5254,27-2023
5254,29-9091
5254,33-1099
5254,33-3031
5254,33-3041
5254,33-9011
5254,33-9091
5254,33-9092
5254,33-9099
5254,39-1021
5254,39-9031
5254,43-5031
6211,41-1011
6221,41-1012
6221,41-4011
6221,41-9031
6222,13-1021
6222,13-1022
6222,13-1023
6231,13-2053
6231,41-1012
6231,41-3021
6232,11-9141
6232,41-1012
6232,41-9021
6232,41-9022
6235,13-2071
6235,13-2072
6311,35-2011
6311,35-2015
6311,35-3021
6311,35-3022
6311,35-3031
6311,35-3041
