code,title,Level,Hierarchical_structure,parent,noc1d,noc2d,noc3d,noc4d
0621,Retail and wholesale trade managers,4,Unit group,062,0,06,062,0621
063,Managers in food service and accommodation,3,Minor group,06,0,06,063,NA
0631,Restaurant and food service managers,4,Unit group,063,0,06,063,0631
0632,Accommodation service managers,4,Unit group,063,0,06,063,0632
065,"Managers in customer and personal services, n.e.c.",3,Minor group,06,0,06,065,NA
0651,"Managers in customer and personal services, n.e.c.",4,Unit group,065,0,06,065,0651
07-09,"Middle management occupations in trades, transportation, production and utilities",2,Major group,0,0,07-09,NA,NA
071,Managers in construction and facility operation and maintenance,3,Minor group,07-09,0,07-09,071,NA
0711,Construction managers,4,Unit group,071,0,07-09,071,0711
0712,Home building and renovation managers,4,Unit group,071,0,07-09,071,0712
0714,Facility operation and maintenance managers,4,Unit group,071,0,07-09,071,0714
073,Managers in transportation,3,Minor group,07-09,0,07-09,073,NA
0731,Managers in transportation,4,Unit group,073,0,07-09,073,0731
081,Managers in natural resources production and fishing,3,Minor group,07-09,0,07-09,081,NA
0811,Managers in natural resources production and fishing,4,Unit group,081,0,07-09,081,0811
082,"Managers in agriculture, horticulture and aquaculture",3,Minor group,07-09,0,07-09,082,NA
0821,Managers in agriculture,4,Unit group,082,0,07-09,082,0821
0822,Managers in horticulture,4,Unit group,082,0,07-09,082,0822
0823,Managers in aquaculture,4,Unit group,082,0,07-09,082,0823
091,Managers in manufacturing and utilities,3,Minor group,07-09,0,07-09,091,NA
0911,Manufacturing managers,4,Unit group,091,0,07-09,091,0911
0912,Utilities managers,4,Unit group,091,0,07-09,091,0912
1,"Business, finance and administration occupations",1,Broad occupational category,NA,1,NA,NA,NA
11,Professional occupations in business and finance,2,Major group,1,1,11,NA,NA
111,"Auditors, accountants and investment professionals",3,Minor group,11,1,11,111,NA
1111,Financial auditors and accountants,4,Unit group,111,1,11,111,1111
1112,Financial and investment analysts,4,Unit group,111,1,11,111,1112
1113,"Securities agents, investment dealers and brokers",4,Unit group,111,1,11,111,1113
1114,Other financial officers,4,Unit group,111,1,11,111,1114
112,Human resources and business service professionals,3,Minor group,11,1,11,112,NA
1121,Human resources professionals,4,Unit group,112,1,11,112,1121
1122,Professional occupations in business management consulting,4,Unit group,112,1,11,112,1122
