isco2008_code,isco2008_title,noc2011_code,noc2011_title,Explanatory_notes
3341,Office supervisors,1211,"Supervisors, general office and administrative support workers","Except supervisors, desktop publishing operators and related occupations"
3341,Office supervisors,1212,"Supervisors, finance and insurance office workers",
3341,Office supervisors,1213,"Supervisors, library, correspondence and related information workers","Except supervisors, regulatory clerks and supervisors, meter readers"
3341,Office supervisors,1214,"Supervisors, mail and message distribution occupations",
3341,Office supervisors,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","Supervisors, production, purchasing, parts, stock shipping and receiving clerks"
3341,Office supervisors,6314,Customer and information services supervisors,
3342,Legal secretaries,1242,Legal administrative assistants,Legal secretaries (except legal assistants)
3343,Administrative and executive secretaries,1221,Administrative officers,
3343,Administrative and executive secretaries,1222,Executive assistants,
3343,Administrative and executive secretaries,1241,Administrative assistants,Except secretaries (general)
3343,Administrative and executive secretaries,1251,"Court reporters, medical transcriptionists and related occupations",Court reporters
3344,Medical secretaries,1243,Medical administrative assistants,
3344,Medical secretaries,1251,"Court reporters, medical transcriptionists and related occupations",Medical transcriptionists
3351,Customs and border inspectors,1228,"Employment insurance, immigration, border services and revenue officers",Border services officers
3352,Government tax and excise officials,1228,"Employment insurance, immigration, border services and revenue officers",Revenue officers
3353,Government social benefits officials,1228,"Employment insurance, immigration, border services and revenue officers",Employment insurance officers
3353,Government social benefits officials,4212,Social and community service workers,Social services officers
3354,Government licensing officials,1213,"Supervisors, library, correspondence and related information workers","Supervisors, regulatory clerks"
3354,Government licensing officials,1452,"Correspondence, publication and regulatory clerks",Regulatory clerks
3354,Government licensing officials,4216,Other instructors,Driver's licence examiners and driving examiners
3355,Police inspectors and detectives,0431,Commissioned police officers,Police inspectors
3355,Police inspectors and detectives,4311,Police officers (except commissioned),Detectives and investigators - police (except commissioned)
3359,Regulatory government associate professionals not elsewhere classified,2222,Agricultural and fish products inspectors,
3359,Regulatory government associate professionals not elsewhere classified,2262,Engineering inspectors and regulatory officers,Weights and measures inspectors
3411,Legal and related associate professionals,1227,Court officers and justices of the peace,
3411,Legal and related associate professionals,1242,Legal administrative assistants,Legal assistants
3411,Legal and related associate professionals,1416,Court clerks,
3411,Legal and related associate professionals,4211,Paralegal and related occupations,
3411,Legal and related associate professionals,4421,Sheriffs and bailiffs,
3411,Legal and related associate professionals,6541,Security guards and related security service occupations,Private detectives
3412,Social work associate professionals,4212,Social and community service workers,Except community health workers and social services officers
3413,Religious associate professionals,4217,Other religious occupations,
3421,Athletes and sports players,5251,Athletes,
3422,"Sports coaches, instructors and officials",5252,Coaches,
3422,"Sports coaches, instructors and officials",5253,Sports officials and referees,
3422,"Sports coaches, instructors and officials",5254,"Program leaders and instructors in recreation, sport and fitness",Sports instructors
3423,Fitness and recreation instructors and program leaders,5254,"Program leaders and instructors in recreation, sport and fitness",Program leaders and instructors in recreation and fitness
3431,Photographers,5221,Photographers,
3432,Interior designers and decorators,5242,Interior designers and interior decorators,
3433,"Gallery, museum and library technicians",5211,Library and public archive technicians,
3433,"Gallery, museum and library technicians",5212,Technical occupations related to museums and art galleries,Except interpretive guides - museum and historic site
3434,Chefs,6321,Chefs,
3435,Other artistic and cultural associate professionals,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",
3435,Other artistic and cultural associate professionals,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts","Except production assistants, riggers and grips"
3435,Other artistic and cultural associate professionals,5232,"Other performers, n.e.c.",Stuntmen/women
3435,Other artistic and cultural associate professionals,6562,"Estheticians, electrologists and related occupations",Tattoo artists
3511,Information and communications technology operations technicians,2281,Computer network technicians,Computer operators
3512,Information and communications technology user support technicians,2282,User support technicians,
3513,Computer network and systems technicians,2281,Computer network technicians,Except systems administrators and information and communications technology operations technicians
3514,Web technicians,2175,Web designers and developers,Webmasters
3514,Web technicians,2281,Computer network technicians,Web technicians (except webmasters)
3521,Broadcasting and audio-visual technicians,5222,Film and video camera operators,
3521,Broadcasting and audio-visual technicians,5224,Broadcast technicians,
3521,Broadcasting and audio-visual technicians,5225,Audio and video recording technicians,
3521,Broadcasting and audio-visual technicians,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",Film projectionists and production assistants - motion pictures and broadcasting
3522,Telecommunications engineering technicians,2241,Electrical and electronics engineering technologists and technicians,Telecommunications engineering technologists and technicians
4110,General office clerks,1411,General office support workers,"General office support workers, n.e.c."
4120,Secretaries (general),1241,Administrative assistants,Secretaries
4131,Typists and word processing operators,1251,"Court reporters, medical transcriptionists and related occupations","Stenographers, reporters, transcribers and related occupations (except court reporters and medical transcriptionists)"
4131,Typists and word processing operators,1411,General office support workers,Word processor clerks and typists
4132,Data entry clerks,1422,Data entry clerks,
4211,Bank tellers and related clerks,1511,"Mail, postal and related workers",Postal counter clerks
4211,Bank tellers and related clerks,6551,Customer services representatives - financial institutions,
4212,"Bookmakers, croupiers and related gaming workers",6313,"Accommodation, travel, tourism and related services supervisors",Supervisors of casino occupations
4212,"Bookmakers, croupiers and related gaming workers",6533,Casino occupations,
4213,Pawnbrokers and money-lenders,0621,Retail and wholesale trade managers,Pawnbrokers
4214,Debt-collectors and related workers,1435,Collectors,
4221,Travel consultants and clerks,6313,"Accommodation, travel, tourism and related services supervisors","Supervisors - travel clerks, airline sales and service agents, ground and water transport ticket agents, cargo service representatives and related clerks, passenger service attendants and hotel guest services attendants"
4221,Travel consultants and clerks,6521,Travel counsellors,
4221,Travel consultants and clerks,6523,Airline ticket and service agents,
4221,Travel consultants and clerks,6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",
4222,Contact centre information clerks,6552,Other customer and information services representatives,Contact centre agents
4223,Telephone switchboard operators,1414,Receptionists,Telephone and switchboard operators
4224,Hotel receptionists,6313,"Accommodation, travel, tourism and related services supervisors",Hotel front desk clerks supervisors
4224,Hotel receptionists,6525,Hotel front desk clerks,
4225,Enquiry clerks,6552,Other customer and information services representatives,Enquiries clerks
4226,Receptionists (general),1414,Receptionists,Except telephone switchboard operators and client information workers not elsewhere classified
4227,Survey and market research interviewers,1454,Survey interviewers and statistical clerks,Interviewers - survey or poll
4229,Client information workers not elsewhere classified,1414,Receptionists,Hospital admissions clerks
4311,Accounting and bookkeeping clerks,1431,Accounting and related clerks,Accounting clerks
4312,"Statistical, finance and insurance clerks",1431,Accounting and related clerks,Tax clerks and finance clerks
4312,"Statistical, finance and insurance clerks",1434,"Banking, insurance and other financial clerks",
4312,"Statistical, finance and insurance clerks",1454,Survey interviewers and statistical clerks,Statistical clerks
4313,Payroll clerks,1432,Payroll clerks,
4321,Stock clerks,1521,Shippers and receivers,Shipping and receiving clerks
4321,Stock clerks,1522,Storekeepers and partspersons,
4321,Stock clerks,1524,Purchasing and inventory control workers,
4322,Production clerks,1523,Production logistics co-ordinators,
4323,Transport clerks,1525,Dispatchers,
4323,Transport clerks,1526,Transportation route and crew schedulers,
4323,Transport clerks,2275,Railway traffic controllers and marine traffic regulators,
4323,Transport clerks,7305,"Supervisors, motor transport and other ground transit operators","Dispatchers, motor transport and other ground transit operators"
4411,Library clerks,1451,Library assistants and clerks,
4412,Mail carriers and sorting clerks,1511,"Mail, postal and related workers",Except postal counter clerks
4412,Mail carriers and sorting clerks,1512,Letter carriers,
4413,"Coding, proof-reading and related clerks",1452,"Correspondence, publication and regulatory clerks",Proofreaders
4413,"Coding, proof-reading and related clerks",1454,Survey interviewers and statistical clerks,Coding clerks - statistics
4414,Scribes and related workers,1411,General office support workers,Clerks who write letters and complete forms on behalf of illiterate persons
4415,Filing and copying clerks,1253,Records management technicians,
4415,Filing and copying clerks,1411,General office support workers,Filing and copying clerks
4416,Personnel clerks,1415,Personnel clerks,
4419,Clerical support workers not elsewhere classified,1452,"Correspondence, publication and regulatory clerks",Correspondence and publication clerks
5111,Travel attendants and travel stewards,6313,"Accommodation, travel, tourism and related services supervisors",Pursers and flight attendants supervisors
5111,Travel attendants and travel stewards,6522,Pursers and flight attendants,
5111,Travel attendants and travel stewards,6721,"Support occupations in accommodation, travel and facilities set-up services",Passenger service attendants and hotel guest services attendants
5112,Transport conductors,7362,Railway conductors and brakemen/women,Railway conductors
5113,Travel guides,5212,Technical occupations related to museums and art galleries,Interpretive guides - museum and historic site
5113,Travel guides,6313,"Accommodation, travel, tourism and related services supervisors","Supervisors, tour, travel and outdoor sport and recreational guides"
5113,Travel guides,6531,Tour and travel guides,Except calèche drivers
5113,Travel guides,6532,Outdoor sport and recreational guides,
5120,Cooks,6322,Cooks,Except pastry and short order cooks
5131,Waiters,6311,Food service supervisors,"Except canteen, cafeteria and food concession supervisors and food assembly supervisors and shift managers, fast food restaurant"
5131,Waiters,6511,Maîtres d'hôtel and hosts/hostesses,
5131,Waiters,6513,Food and beverage servers,
5132,Bartenders,6512,Bartenders,
5141,Hairdressers,6341,Hairstylists and barbers,
5142,Beauticians and related workers,6561,"Image, social and other personal consultants",
5142,Beauticians and related workers,6562,"Estheticians, electrologists and related occupations",Except tattoo artists
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",6312,Executive housekeepers,
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",6315,Cleaning supervisors,Building cleaning supervisors
5152,Domestic housekeepers,0632,Accommodation service managers,Bed and breakfast operators
5152,Domestic housekeepers,4412,"Home support workers, housekeepers and related occupations",Domestic housekeepers
5152,Domestic housekeepers,6315,Cleaning supervisors,Housekeeping supervisors
5152,Domestic housekeepers,6742,"Other service support occupations, n.e.c.",Butlers
5153,Building caretakers,6315,Cleaning supervisors,"Supervisors, janitors"
5153,Building caretakers,6733,"Janitors, caretakers and building superintendents",Except handymen/women
5161,"Astrologers, fortune-tellers and related workers",6564,Other personal service occupations,"Astrologers, fortune tellers, psychic consultants and related workers"
5162,Companions and valets,6742,"Other service support occupations, n.e.c.",Valets and personal servants
5163,Undertakers and embalmers,6346,Funeral directors and embalmers,
5164,Pet groomers and animal care workers,6563,Pet groomers and animal care workers,Except drivers of animal-drawn vehicles and machinery
5164,Pet groomers and animal care workers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Horse trainers
5164,Pet groomers and animal care workers,8431,General farm workers,Horse breakers
5165,Driving instructors,4216,Other instructors,Driving school instructors
5169,Personal services workers not elsewhere classified,6564,Other personal service occupations,"Except astrologers, fortune-tellers and related workers"
5211,Stall and market salespersons,6421,Retail salespersons,Retail salespersons who work in street stalls or public markets
5212,Street food salespersons,6711,"Food counter attendants, kitchen helpers and related support occupations",Street food vendors
5221,Shopkeepers,0621,Retail and wholesale trade managers,Operators of small shops
5222,Shop supervisors,6211,Retail sales supervisors,
5223,Shop sales assistants,6421,Retail salespersons,Except stall and market salespersons and rental agents - retail
5230,Cashiers and ticket clerks,6611,Cashiers,
5241,Fashion and other models,5232,"Other performers, n.e.c.",Fashion and other models
5242,Sales demonstrators,6623,Other sales related occupations,Sales demonstrators
5243,Door to door salespersons,6623,Other sales related occupations,"Door-to-door salespersons, home salespersons and direct distributors"
5244,Contact centre salespersons,6623,Other sales related occupations,Telemarketers and telephone solicitors
5245,Service station attendants,6621,Service station attendants,
5246,Food service counter attendants,6311,Food service supervisors,"Canteen, cafeteria and food concession supervisors"
5246,Food service counter attendants,6711,"Food counter attendants, kitchen helpers and related support occupations",Food counter attendants
5249,Sales workers not elsewhere classified,6421,Retail salespersons,Rental agents - retail
5249,Sales workers not elsewhere classified,6623,Other sales related occupations,"Other sales related occupations, n.e.c."
5311,Child care workers,4214,Early childhood educators and assistants,Child care workers - daycare (except early childhood educators)
5311,Child care workers,4411,Home child care providers,
5312,Teachers' aides,4413,Elementary and secondary school teacher assistants,
5321,Health care assistants,3413,"Nurse aides, orderlies and patient service associates",
5322,Home-based personal care workers,4412,"Home support workers, housekeepers and related occupations",Except domestic housekeepers
5329,Personal care workers in health services not elsewhere classified,3212,Medical laboratory technicians and pathologists' assistants,Phlebotomists
5329,Personal care workers in health services not elsewhere classified,3411,Dental assistants,Dental aides
5329,Personal care workers in health services not elsewhere classified,3414,Other assisting occupations in support of health services,"Sterilization processing attendants, pharmacy aides and other assisting occupations in support of health services, n.e.c."
5411,Fire fighters,4312,Firefighters,"Except fire investigators, inspectors and prevention specialists"
5411,Fire fighters,8422,Silviculture and forestry workers,Forest firefighters
5412,Police officers,4311,Police officers (except commissioned),Except detectives and investigators
5413,Prison guards,4422,Correctional service officers,
5414,Security guards,6316,Other services supervisors,"Supervisors, security guards"
5414,Security guards,6541,Security guards and related security service occupations,Except private detectives and crossing guards
5419,Protective services workers not elsewhere classified,2224,Conservation and fishery officers,Game warden
5419,Protective services workers not elsewhere classified,4423,"By-law enforcement and other regulatory officers, n.e.c.",
5419,Protective services workers not elsewhere classified,5254,"Program leaders and instructors in recreation, sport and fitness",Lifeguards
5419,Protective services workers not elsewhere classified,6541,Security guards and related security service occupations,Crossing guards
6111,Field crop and vegetable growers,0821,Managers in agriculture,Field crop and vegetable growers
6111,Field crop and vegetable growers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - field crops and vegetables"
6112,Tree and shrub crop growers,0821,Managers in agriculture,"Fruit farmers, viticulturists and maple syrup producers"
6112,Tree and shrub crop growers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - fruit farms, vineyard and maple products"
6113,"Gardeners, horticultural and nursery growers",0821,Managers in agriculture,Market gardeners
6113,"Gardeners, horticultural and nursery growers",0822,Managers in horticulture,
6113,"Gardeners, horticultural and nursery growers",2225,Landscape and horticulture technicians and specialists,Horticulturists and landscape gardeners
6113,"Gardeners, horticultural and nursery growers",8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - vegetable farms, greenhouse"
6113,"Gardeners, horticultural and nursery growers",8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",
6114,Mixed crop growers,0821,Managers in agriculture,Mixed crop farmers
6114,Mixed crop growers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - mixed crops"
6121,Livestock and dairy producers,0821,Managers in agriculture,Livestock and dairy producers
6121,Livestock and dairy producers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - livestock and dairy farms"
6122,Poultry producers,0821,Managers in agriculture,Poultry producers
6122,Poultry producers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - poultry"
6123,Apiarists and sericulturists,0821,Managers in agriculture,Apiarists and sericulturists
6123,Apiarists and sericulturists,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - bee farms"
6129,Animal producers not elsewhere classified,0821,Managers in agriculture,"Animal producers, n.e.c"
6129,Animal producers not elsewhere classified,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - animal farms, n.e.c"
6130,Mixed crop and animal producers,0821,Managers in agriculture,Mixed crop and animal producers
6130,Mixed crop and animal producers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Contractors, supervisors and skilled workers - mixed crop and animal farms"
6210,Forestry and related workers,2223,Forestry technologists and technicians,Timber cruisers
6210,Forestry and related workers,8211,"Supervisors, logging and forestry",
6210,Forestry and related workers,8421,Chain saw and skidder operators,Except logging tractor operators
6210,Forestry and related workers,8422,Silviculture and forestry workers,Except forest firefighters
6221,Aquaculture workers,0823,Managers in aquaculture,Fish and oyster farmers
6221,Aquaculture workers,2221,Biological technologists and technicians,Aquaculture and fish hatchery technicians
6222,Inland and coastal waters fishery workers,8261,Fishing masters and officers,Fishing masters and officers - inland and coastal fishing
6222,Inland and coastal waters fishery workers,8262,Fishermen/women,Fishermen/women - inland and coastal fishing
6223,Deep-sea fishery workers,8261,Fishing masters and officers,Fishing masters and officers - offshore fishing
6223,Deep-sea fishery workers,8262,Fishermen/women,Fishermen/women - offshore fishing
6223,Deep-sea fishery workers,8441,Fishing vessel deckhands,Trawlermen/women
6224,Hunters and trappers,8442,Trappers and hunters,
6310,Subsistence crop farmers,9999,Not in NOC,
6320,Subsistence livestock farmers,9999,Not in NOC,
6330,Subsistence mixed crop and livestock farmers,9999,Not in NOC,
6340,"Subsistence fishers, hunters, trappers and gatherers",9999,Not in NOC,
7111,House builders,0712,Home building and renovation managers,
7112,Bricklayers and related workers,7281,Bricklayers,Except stonemasons and stonecutters
7112,Bricklayers and related workers,7441,Residential and commercial installers and servicers,Interlocking stone installers
7113,"Stonemasons, stone cutters, splitters and carvers",5244,Artisans and craftspersons,Hand stone carvers
7113,"Stonemasons, stone cutters, splitters and carvers",7281,Bricklayers,Stonemasons and stonecutters
7113,"Stonemasons, stone cutters, splitters and carvers",7384,"Other trades and related occupations, n.e.c.",Stonework patternmakers
7113,"Stonemasons, stone cutters, splitters and carvers",9414,"Concrete, clay and stone forming operators",Stonecutters and carvers - manufacturing
7114,"Concrete placers, concrete finishers and related workers",7282,Concrete finishers,
7114,"Concrete placers, concrete finishers and related workers",7283,Tilesetters,Terrazzo workers
7114,"Concrete placers, concrete finishers and related workers",7384,"Other trades and related occupations, n.e.c.",Model and mould makers - concrete products
7115,Carpenters and joiners,7271,Carpenters,
7115,Carpenters and joiners,7441,Residential and commercial installers and servicers,"Residential and commercial installers and servicers - doors, windows and other wood products"
7119,Building frame and related trades workers not elsewhere classified,7302,"Contractors and supervisors, heavy equipment operator crews","Foremen/women, building wrecking"
7119,Building frame and related trades workers not elsewhere classified,7384,"Other trades and related occupations, n.e.c.",Steeplejacks and smokestack repairers
7119,Building frame and related trades workers not elsewhere classified,7441,Residential and commercial installers and servicers,Residential and commercial installers and servicers - building interior and exterior
7119,Building frame and related trades workers not elsewhere classified,7611,Construction trades helpers and labourers,Scaffold erectors and demolition workers
7121,Roofers,7291,Roofers and shinglers,
7122,Floor layers and tile setters,7283,Tilesetters,Except terrazzo workers
7122,Floor layers and tile setters,7295,Floor covering installers,
7122,Floor layers and tile setters,7441,Residential and commercial installers and servicers,Floor sanders and finishers
7123,Plasterers,7284,"Plasterers, drywall installers and finishers and lathers",Except acoustic tile installers
7124,Insulation workers,7284,"Plasterers, drywall installers and finishers and lathers",Acoustic tile installers
7124,Insulation workers,7293,Insulators,
7124,Insulation workers,7441,Residential and commercial installers and servicers,Weather strip installers
7125,Glaziers,7292,Glaziers,
7125,Glaziers,7322,Motor vehicle body repairers,Automotive glass technicians
7126,Plumbers and pipe fitters,7251,Plumbers,
7126,Plumbers and pipe fitters,7252,"Steamfitters, pipefitters and sprinkler system installers",
7126,Plumbers and pipe fitters,7253,Gas fitters,
7126,Plumbers and pipe fitters,7441,Residential and commercial installers and servicers,"Residential and commercial installers and servicers - water, gas and sewage systems"
7126,Plumbers and pipe fitters,7442,Waterworks and gas maintenance workers,
7126,Plumbers and pipe fitters,7611,Construction trades helpers and labourers,Pipelayers
7127,Air conditioning and refrigeration mechanics,7301,"Contractors and supervisors, mechanic trades","Contractors and supervisors, heating systems, air conditioning and refrigeration mechanics"
7127,Air conditioning and refrigeration mechanics,7313,Refrigeration and air conditioning mechanics,
7127,Air conditioning and refrigeration mechanics,7331,Oil and solid fuel heating mechanics,
7131,Painters and related workers,7294,Painters and decorators (except interior decorators),
7132,Spray painters and varnishers,7322,Motor vehicle body repairers,Motor vehicle painters - motor vehicle repair
7132,Spray painters and varnishers,9534,Furniture finishers and refinishers,
7132,Spray painters and varnishers,9536,"Industrial painters, coaters and metal finishing process operators",Painters and coaters - industrial
7133,Building structure cleaners,6315,Cleaning supervisors,"Supervisors, building exterior cleaners"
7133,Building structure cleaners,6732,Specialized cleaners,"Chimney sweeps, sandblasting building cleaners and building exterior cleaners"
7211,Metal moulders and coremakers,9412,Foundry workers,
7212,Welders and flamecutters,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Contractors and supervisors, welding"
7212,Welders and flamecutters,7237,Welders and related machine operators,
7212,Welders and flamecutters,9416,Metalworking and forging machine operators,Flame cutting machine operators - metal fabrication
7213,Sheet-metal workers,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",Sheet metal workers contractors and boilermakers foremen/women
7213,Sheet-metal workers,7233,Sheet metal workers,
7213,Sheet-metal workers,7234,Boilermakers,
7213,Sheet-metal workers,7301,"Contractors and supervisors, mechanic trades","Contractors and supervisors, automotive body shop"
7213,Sheet-metal workers,7322,Motor vehicle body repairers,Except automotive glass technicians and motor vehicle painters
7214,Structural-metal preparers and erectors,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Ironwork contractors and foremen/women, metal fabricators, metal fitters and platework fabricators"
7214,Structural-metal preparers and erectors,7235,Structural metal and platework fabricators and fitters,
7214,Structural-metal preparers and erectors,7236,Ironworkers,
7215,Riggers and cable splicers,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts","Riggers and grips - motion pictures, broadcasting and performing arts"
7215,Riggers and cable splicers,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",Ship riggers foremen/women
7215,Riggers and cable splicers,7311,Construction millwrights and industrial mechanics,Ship riggers
7215,Riggers and cable splicers,7371,Crane operators,Riggers
7221,"Blacksmiths, hammersmiths and forging press workers",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Foremen/women, blacksmiths"
7221,"Blacksmiths, hammersmiths and forging press workers",7384,"Other trades and related occupations, n.e.c.",Blacksmiths and hammersmiths
7221,"Blacksmiths, hammersmiths and forging press workers",9416,Metalworking and forging machine operators,Forging machine operators
7222,Toolmakers and related workers,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Foremen/women, tool and die makers, metal mould and metal patternmakers"
7222,Toolmakers and related workers,7232,Tool and die makers,
7222,Toolmakers and related workers,7384,"Other trades and related occupations, n.e.c.",Locksmiths and gunsmiths
7223,Metal working machine tool setters and operators,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Foremen/women, machinists and machine tool set-up operators"
7223,Metal working machine tool setters and operators,7231,Machinists and machining and tooling inspectors,Machinists
7223,Metal working machine tool setters and operators,9416,Metalworking and forging machine operators,Metalworking machine operators
7223,Metal working machine tool setters and operators,9417,Machining tool operators,Except tool grinders - metal machining
7223,Metal working machine tool setters and operators,9418,Other metal products machine operators,"Other metal products machine operators, n.e.c."
7224,"Metal polishers, wheel grinders and tool sharpeners",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",Machine tool grinding foremen/women
7224,"Metal polishers, wheel grinders and tool sharpeners",7311,Construction millwrights and industrial mechanics,Card and napper grinders
7224,"Metal polishers, wheel grinders and tool sharpeners",7384,"Other trades and related occupations, n.e.c.",Saw filers
7224,"Metal polishers, wheel grinders and tool sharpeners",9417,Machining tool operators,Tool grinders - metal machining
7224,"Metal polishers, wheel grinders and tool sharpeners",9418,Other metal products machine operators,Knife blade polishers and polishing machine operators - metal products
7224,"Metal polishers, wheel grinders and tool sharpeners",9612,Labourers in metal fabrication,"Grinders, sharpeners and polishers - metal products manufacturing"
7231,Motor vehicle mechanics and repairers,7301,"Contractors and supervisors, mechanic trades","Contractors and supervisors, motor vehicle mechanics and repairers"
7231,Motor vehicle mechanics and repairers,7314,Railway carmen/women,
7231,Motor vehicle mechanics and repairers,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",
7231,Motor vehicle mechanics and repairers,7334,"Motorcycle, all-terrain vehicle and other related mechanics",
7231,Motor vehicle mechanics and repairers,7335,Other small engine and small equipment repairers,
7231,Motor vehicle mechanics and repairers,7384,"Other trades and related occupations, n.e.c.",Recreation vehicle technicians
7231,Motor vehicle mechanics and repairers,7535,Other automotive mechanical installers and servicers,Except heavy equipment servicers
7232,Aircraft engine mechanics and repairers,7301,"Contractors and supervisors, mechanic trades","Contractors and supervisors, aircraft engine mechanics and repairers"
7232,Aircraft engine mechanics and repairers,7315,Aircraft mechanics and aircraft inspectors,
7232,Aircraft engine mechanics and repairers,7316,Machine fitters,Aircraft engine fitters
7233,Agricultural and industrial machinery mechanics and repairers,7301,"Contractors and supervisors, mechanic trades","Contractors and supervisors, agricultural, industrial, construction millwrights and heavy-duty machinery mechanics and repairers"
7233,Agricultural and industrial machinery mechanics and repairers,7311,Construction millwrights and industrial mechanics,Construction millwrights and industrial mechanics (except ship riggers and card and napper grinders)
7233,Agricultural and industrial machinery mechanics and repairers,7312,Heavy-duty equipment mechanics,
7233,Agricultural and industrial machinery mechanics and repairers,7316,Machine fitters,Machine fitters (except aircraft)
7233,Agricultural and industrial machinery mechanics and repairers,7535,Other automotive mechanical installers and servicers,Heavy equipment servicers
7233,Agricultural and industrial machinery mechanics and repairers,7531,Railway yard and track maintenance workers,Locomotive servicers
7234,Bicycle and related repairers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, bicycle repair shop"
7234,Bicycle and related repairers,7445,Other repairers and servicers,Non-motorized transport equipment repairers
7311,Precision-instrument makers and repairers,2243,Industrial instrument technicians and mechanics,Precision instrument mechanics
7311,Precision-instrument makers and repairers,3219,Other medical technologists and technicians (except dental health),Orthopedic appliance assemblers
7311,Precision-instrument makers and repairers,6344,"Jewellers, jewellery and watch repairers and related occupations",Watchmakers and watch repairers
7311,Precision-instrument makers and repairers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, surveying instrument, precision instrument repairers"
7311,Precision-instrument makers and repairers,7384,"Other trades and related occupations, n.e.c.","Calibrators, scientific instruments and scales"
7311,Precision-instrument makers and repairers,7445,Other repairers and servicers,"Surveying instrument, optical instrument, photographic equipment or other precision instrument repairers"
7312,Musical instrument makers and tuners,5244,Artisans and craftspersons,Musical instrument makers - artisan
7312,Musical instrument makers and tuners,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, musical instrument repair"
7312,Musical instrument makers and tuners,7445,Other repairers and servicers,Musical instrument repairers and tuners
7313,Jewellery and precious-metal workers,5244,Artisans and craftspersons,"Goldsmiths, silversmiths, jewellery engravers and jewellery artisans (hand)"
7313,Jewellery and precious-metal workers,6344,"Jewellers, jewellery and watch repairers and related occupations","Jewellers, jewellery repairers and related occupations (except watchmakers and watch repairers)"
7314,Potters and related workers,5244,Artisans and craftspersons,Potters and ceramists
7314,Potters and related workers,7384,"Other trades and related occupations, n.e.c.",Plaster pattern makers
7314,Potters and related workers,9414,"Concrete, clay and stone forming operators",Abrasive wheel moulders and pottery and porcelain moulders and casters (except artisans and kiln operators)
7315,"Glass makers, cutters, grinders and finishers",5244,Artisans and craftspersons,"Glass blowers, cutters, grinders and finishers (except manufacturing)"
7315,"Glass makers, cutters, grinders and finishers",9413,Glass forming and finishing machine operators and glass cutters,"Glass blowers, cutters, grinders and finishers, hand - manufacturing"
7316,"Sign writers, decorative painters, engravers and etchers",5136,"Painters, sculptors and other visual artists",Decorations painters - visual arts
7316,"Sign writers, decorative painters, engravers and etchers",5223,Graphic arts technicians,Lettering artists and sign writers and painters
7316,"Sign writers, decorative painters, engravers and etchers",5244,Artisans and craftspersons,Decorative engravers
7316,"Sign writers, decorative painters, engravers and etchers",7384,"Other trades and related occupations, n.e.c.",Glass calibrators
7317,"Handicraft workers in wood, basketry and related materials",5244,Artisans and craftspersons,"Handicraft workers in wood, basketry and related materials"
7318,"Handicraft workers in textile, leather and related materials",5244,Artisans and craftspersons,"Handicraft workers in textile, leather and related materials"
7319,Handicraft workers not elsewhere classified,5244,Artisans and craftspersons,"Artisans and craftspersons, n.e.c."
7321,Pre-press technicians,1211,"Supervisors, general office and administrative support workers","Supervisors, desktop publishing operators and related occupations"
7321,Pre-press technicians,1423,Desktop publishing operators and related occupations,
7321,Pre-press technicians,7303,"Supervisors, printing and related occupations","Supervisors, camera, platemaking and other prepress occupations"
