isco2008_code,isco2008_title,noc2011_code,noc2011_title,Explanatory_notes
2144,Mechanical engineers,2132,Mechanical engineers,Mechanical engineers (except nuclear engineers)
2144,Mechanical engineers,2146,Aerospace engineers,
2144,Mechanical engineers,2148,"Other professional engineers, n.e.c.",Naval engineers
2145,Chemical engineers,2134,Chemical engineers,Except environmental and explosives engineers
2146,"Mining engineers, metallurgists and related professionals",2115,Other professional occupations in physical sciences,Metallurgists and materials scientists
2146,"Mining engineers, metallurgists and related professionals",2142,Metallurgical and materials engineers,Metallurgical engineers
2146,"Mining engineers, metallurgists and related professionals",2143,Mining engineers,Except mine safety engineers
2146,"Mining engineers, metallurgists and related professionals",2145,Petroleum engineers,
2149,Engineering professionals not elsewhere classified,2132,Mechanical engineers,Nuclear engineers
2149,Engineering professionals not elsewhere classified,2134,Chemical engineers,Explosives engineers
2149,Engineering professionals not elsewhere classified,2141,Industrial and manufacturing engineers,Industrial safety engineers
2149,Engineering professionals not elsewhere classified,2142,Metallurgical and materials engineers,Materials engineers
2149,Engineering professionals not elsewhere classified,2143,Mining engineers,Mine safety engineers
2149,Engineering professionals not elsewhere classified,2148,"Other professional engineers, n.e.c.",Except naval engineers
2151,Electrical engineers,2133,Electrical and electronics engineers,Electrical engineers
2152,Electronics engineers,2133,Electrical and electronics engineers,Except electrical engineers and engineers - radio and television broadcasting
2152,Electronics engineers,2147,Computer engineers (except software engineers and designers),Computer engineers
2153,Telecommunications engineers,2133,Electrical and electronics engineers,Engineers - radio and television broadcasting
2153,Telecommunications engineers,2147,Computer engineers (except software engineers and designers),Telecommunications engineers (except engineers - radio and television broadcasting)
2161,Building architects,2151,Architects,
2162,Landscape architects,2152,Landscape architects,
2162,Landscape architects,2225,Landscape and horticulture technicians and specialists,Landscape architectural technologists and landscape designers
2163,Product and garment designers,2252,Industrial designers,
2163,Product and garment designers,5243,"Theatre, fashion, exhibit and other creative designers",
2164,Town and traffic planners,2153,Urban and land use planners,
2165,Cartographers and surveyors,2154,Land surveyors,
2165,Cartographers and surveyors,2255,Technical occupations in geomatics and meteorology,Technical occupations in geomatics
2166,Graphic and multimedia designers,2175,Web designers and developers,Web designers
2166,Graphic and multimedia designers,5223,Graphic arts technicians,Except lettering artists and sign writers and painters
2166,Graphic and multimedia designers,5241,Graphic designers and illustrators,
2211,Generalist medical practitioners,3112,General practitioners and family physicians,
2212,Specialist medical practitioners,3111,Specialist physicians,
2221,Nursing professionals,3011,Nursing co-ordinators and supervisors,
2221,Nursing professionals,3012,Registered nurses and registered psychiatric nurses,
2221,Nursing professionals,3124,Allied primary health practitioners,Nurse practitioners
2222,Midwifery professionals,3124,Allied primary health practitioners,Midwives
2230,Traditional and complementary medicine professionals,3125,Other professional occupations in health diagnosing and treating,Naturopaths
2230,Traditional and complementary medicine professionals,3232,Practitioners of natural healing,Except herbalists and shamans
2240,Paramedical practitioners,3124,Allied primary health practitioners,Physician assistants and anesthesia assistants
2250,Veterinarians,3114,Veterinarians,
2261,Dentists,3113,Dentists,
2262,Pharmacists,3131,Pharmacists,
2263,Environmental and occupational health and hygiene professionals,4161,"Natural and applied science policy researchers, consultants and program officers",Ergonomists and occupational and industrial hygienists
2264,Physiotherapists,3142,Physiotherapists,
2265,Dieticians and nutritionists,3132,Dietitians and nutritionists,
2266,Audiologists and speech therapists,3141,Audiologists and speech-language pathologists,
2267,Optometrists and ophthalmic opticians,3121,Optometrists,
2267,Optometrists and ophthalmic opticians,3125,Other professional occupations in health diagnosing and treating,Orthoptists
2269,Health professionals not elsewhere classified,3125,Other professional occupations in health diagnosing and treating,"Podiatrists, chiropodists and other professional occupations in health diagnosing and treating"
2269,Health professionals not elsewhere classified,3143,Occupational therapists,
