noc2016_code,soc2010_code
4152,21-1021
4152,21-1022
4152,21-1023
4152,21-1029
4153,21-1011
4153,21-1013
4153,21-1014
4153,21-1015
4153,21-1019
4153,29-9092
4154,21-2011
4155,21-1092
4156,21-1019
4161,13-1041
4161,13-1199
4161,19-2041
4161,29-9011
4162,19-3011
4163,13-1161
4164,19-3022
4164,19-3099
4164,25-9021
4165,13-1041
4165,21-1091
4165,21-1094
4166,25-9031
4167,11-9199
4167,19-3099
4167,39-9032
4168,19-3094
4168,19-3099
4169,19-3041
4169,19-3091
4169,19-3092
4169,19-3093
4169,19-3094
4169,19-3099
4211,23-2011
4211,23-2093
4211,23-2099
4212,21-1093
4212,21-1099
4212,43-4061
4214,25-2011
4214,25-9041
4214,39-1021
4214,39-9011
4215,25-2051
4215,25-2059
4216,13-1041
4216,25-3021
4216,25-3099
4216,25-9099
4217,21-2011
4217,21-2021
4217,21-2099
4311,33-3021
4311,33-3051
4311,33-3052
4312,33-1021
4312,33-2011
4312,33-2021
4313,55-2011
4313,55-2012
4313,55-2013
4313,55-3011
4313,55-3012
4313,55-3013
4313,55-3014
4313,55-3015
4313,55-3016
4313,55-3018
4313,55-3019
4411,39-9011
4412,31-1011
4412,39-9021
4412,39-9099
4413,25-9041
4413,33-9099
4421,33-3011
4421,33-3051
4421,33-9099
4422,33-1011
4422,33-3012
4423,13-1041
4423,33-1099
4423,33-3041
4423,33-9011
4423,43-5111
4423,53-6051
5111,25-4021
5111,25-9011
5112,25-4012
5112,25-4013
5113,25-4011
5121,27-3031
5121,27-3042
5121,27-3043
5122,27-3041
5123,27-3021
5123,27-3022
5125,27-3091
5131,11-9199
5131,13-1199
5131,15-1199
5131,27-2012
5131,27-2032
5131,27-4032
5132,27-2041
5133,27-2042
5134,27-2031
5135,27-2011
5135,27-2099
5136,27-1013
5211,25-4031
5212,25-4013
5212,39-7011
5221,27-4021
5222,27-4031
5223,27-1014
5223,27-1024
5223,51-9123
5224,27-4012
5225,27-4011
5225,27-4014
5226,27-1027
5226,27-2012
5226,27-4099
5226,39-3092
5226,39-5091
5226,47-2111
5227,39-3021
5227,39-3092
5227,39-3099
5227,49-9096
5231,27-3011
5231,27-3012
5231,27-3021
5231,27-3022
5231,27-3099
5232,27-2099
5232,41-9012
5241,27-1011
5241,27-1013
5241,27-1014
5241,27-1019
5241,27-1024
5242,11-9199
5242,13-1199
5242,15-1199
5242,27-1025
5243,27-1021
5243,27-1022
5243,27-1026
5243,27-1027
5243,27-1029
5244,27-1012
5244,27-1013
5244,27-1023
5244,51-6051
5245,51-6092
5251,27-2021
5251,27-2099
5252,27-2022
5253,27-2023
5254,33-9092
5254,39-9031
5254,39-9032
6211,41-1011
6211,53-1031
6221,41-1012
6221,41-4011
6221,41-9031
6222,13-1021
6222,13-1022
6231,41-1012
6231,41-3021
6232,41-1012
6232,41-9022
6235,13-2041
6235,13-2071
6235,13-2072
6235,43-4131
6235,43-4141
6311,35-1012
6312,37-1011
6313,39-1011
6313,39-1012
6313,39-1021
6314,43-1011
6315,37-1011
6316,33-1099
6316,39-1021
6321,35-1011
6322,35-2012
6322,35-2013
6322,35-2014
6322,35-2015
6322,35-2019
6331,51-3021
6331,51-3022
6332,51-3011
6341,39-5011
6341,39-5012
6342,51-6052
6343,51-6041
6344,49-9064
6344,51-9071
6345,51-6093
6346,11-9061
6346,39-4011
6346,39-4031
6411,41-3011
6411,41-3099
6411,41-4012
6411,41-9099
6421,31-9095
6421,41-2021
6421,41-2031
6511,35-9031
6512,35-3011
6513,35-3031
6513,35-3041
6521,41-3041
6522,13-1199
6522,39-1021
6522,53-1031
6522,53-2031
6523,43-4181
6523,43-5011
6524,43-4181
6524,43-5011
6525,39-6012
6525,43-4081
6531,39-7011
6531,39-7012
6532,39-7011
6532,39-7012
6533,39-3011
6533,39-3012
6533,39-3019
6533,43-3041
6541,13-1199
6541,19-4099
6541,33-9021
6541,33-9031
6541,33-9032
6541,33-9091
6541,33-9093
6541,33-9099
6551,43-3071
6552,43-4051
6552,43-4151
6561,27-3031
6561,29-1128
6562,27-1019
6562,39-5012
6562,39-5092
6562,39-5093
6562,39-5094
6563,39-2011
6563,39-2021
6564,27-2099
6564,53-6099
6611,41-2011
6611,41-2012
6621,53-6031
6622,43-5081
6622,53-7064
6623,41-9011
6623,41-9041
6623,41-9091
6623,41-9099
6711,35-2011
6711,35-2021
6711,35-3021
6711,35-3022
6711,35-9011
6711,35-9021
6711,35-9099
6721,39-6011
6721,53-6061
6722,39-3091
6731,37-2012
6732,37-2011
6732,37-2019
6732,47-4071
6732,53-7061
6733,37-2011
6733,49-9071
6741,51-6011
6741,51-6021
6742,39-3031
6742,39-3093
6742,39-4021
6742,39-9099
6742,41-2011
6742,53-6021
7201,47-1011
7201,51-1011
7202,47-1011
7202,49-1011
7203,47-1011
7204,47-1011
7205,47-1011
7205,49-1011
7231,51-4011
7231,51-4041
7231,51-9061
7231,51-9199
7232,51-4061
7232,51-4062
7232,51-4111
7233,47-2211
7234,47-2011
7235,47-2221
7235,51-2041
7235,51-4192
7236,47-2171
7236,47-2221
7237,51-4121
7237,51-4122
7241,47-2111
7242,49-2094
7242,49-9097
7243,49-2095
7244,49-9012
7244,49-9051
7245,49-9052
7246,49-2021
7246,49-2022
7247,49-9052
7251,47-2152
7252,47-2152
7253,47-2152
7253,49-9012
7271,47-2031
7272,51-7011
7281,47-2021
7281,47-2022
7281,49-9045
7282,47-2051
7283,47-2044
7283,47-2053
7284,47-2081
7284,47-2082
7284,47-2161
7291,47-2181
7292,47-2121
7293,47-2131
7293,47-2132
7294,47-2141
7294,47-2142
7295,47-2031
7295,47-2041
7295,47-2042
7301,49-1011
7302,47-1011
7302,53-1011
7302,53-1021
7302,53-1031
7303,51-1011
7304,53-1031
7304,53-4031
7305,43-5032
7305,53-1031
7311,49-9041
7311,49-9044
7311,49-9081
7312,49-3041
7312,49-3042
7313,49-9021
7314,49-3043
7315,49-3011
7315,53-6051
7316,51-2031
7318,47-4021
7321,49-3023
7321,49-3031
7322,49-3021
7322,49-3022
7331,49-9021
7332,49-2092
7332,49-9031
7333,49-2092
7334,49-3042
7334,49-3051
