soc2010,soc2010_title,noc2011,noc2011_title
27-1019,"Artists and Related Workers, All Other",5241,Graphic designers and illustrators
27-1019,"Artists and Related Workers, All Other",6562,"Estheticians, electrologists and related occupations"
27-1021,Commercial and Industrial Designers,2252,Industrial designers
27-1021,Commercial and Industrial Designers,5243,"Theatre, fashion, exhibit and other creative designers"
27-1022,Fashion Designers,5243,"Theatre, fashion, exhibit and other creative designers"
27-1023,Floral Designers,5244,Artisans and craftspersons
27-1024,Graphic Designers,5223,Graphic arts technicians
27-1024,Graphic Designers,5241,Graphic designers and illustrators
27-1025,Interior Designers,5242,Interior designers and interior decorators
27-1026,Merchandise Displayers and Window Trimmers,5243,"Theatre, fashion, exhibit and other creative designers"
27-1027,Set and Exhibit Designers,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
27-1027,Set and Exhibit Designers,5243,"Theatre, fashion, exhibit and other creative designers"
27-1029,"Designers, All Other",5243,"Theatre, fashion, exhibit and other creative designers"
27-2011,Actors,5135,Actors and comedians
27-2012,Producers and Directors,5131,"Producers, directors, choreographers and related occupations"
27-2012,Producers and Directors,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
27-2021,Athletes and Sports Competitors,5251,Athletes
27-2022,Coaches and Scouts,5252,Coaches
27-2023,"Umpires, Referees, and Other Sports Officials",5253,Sports officials and referees
27-2031,Dancers,5134,Dancers
27-2032,Choreographers,5131,"Producers, directors, choreographers and related occupations"
27-2041,Music Directors and Composers,5132,"Conductors, composers and arrangers"
27-2042,Musicians and Singers,5133,Musicians and singers
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5135,Actors and comedians
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5232,"Other performers, n.e.c."
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5251,Athletes
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",6564,Other personal service occupations
27-3011,Radio and Television Announcers,5231,Announcers and other broadcasters
27-3012,Public Address System and Other Announcers,5231,Announcers and other broadcasters
27-3021,Broadcast News Analysts,5123,Journalists
27-3021,Broadcast News Analysts,5231,Announcers and other broadcasters
27-3022,Reporters and Correspondents,5123,Journalists
27-3022,Reporters and Correspondents,5231,Announcers and other broadcasters
27-3031,Public Relations Specialists,1123,"Professional occupations in advertising, marketing and public relations"
27-3031,Public Relations Specialists,5121,Authors and writers
27-3031,Public Relations Specialists,6561,"Image, social and other personal consultants"
27-3041,Editors,5122,Editors
27-3042,Technical Writers,5121,Authors and writers
27-3043,Writers and Authors,5121,Authors and writers
27-3091,Interpreters and Translators,5125,"Translators, terminologists and interpreters"
27-3099,"Media and Communication Workers, All Other",5231,Announcers and other broadcasters
27-4011,Audio and Video Equipment Technicians,5225,Audio and video recording technicians
27-4012,Broadcast Technicians,5224,Broadcast technicians
27-4013,Radio Operators,1414,Receptionists
27-4014,Sound Engineering Technicians,5225,Audio and video recording technicians
27-4021,Photographers,5221,Photographers
27-4031,"Camera Operators, Television, Video, and Motion Picture",5222,Film and video camera operators
27-4032,Film and Video Editors,5131,"Producers, directors, choreographers and related occupations"
27-4099,"Media and Communication Equipment Workers, All Other",2241,Electrical and electronics engineering technologists and technicians
27-4099,"Media and Communication Equipment Workers, All Other",5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
29-1011,Chiropractors,3122,Chiropractors
29-1021,"Dentists, General",3113,Dentists
29-1022,Oral and Maxillofacial Surgeons,3113,Dentists
29-1023,Orthodontists,3113,Dentists
29-1024,Prosthodontists,3113,Dentists
29-1029,"Dentists, All Other Specialists",3113,Dentists
29-1031,Dietitians and Nutritionists,3132,Dietitians and nutritionists
29-1041,Optometrists,3121,Optometrists
29-1051,Pharmacists,3131,Pharmacists
29-1061,Anesthesiologists,3111,Specialist physicians
29-1062,Family and General Practitioners,3112,General practitioners and family physicians
29-1063,"Internists, General",3111,Specialist physicians
29-1064,Obstetricians and Gynecologists,3111,Specialist physicians
29-1065,"Pediatricians, General",3111,Specialist physicians
29-1066,Psychiatrists,3111,Specialist physicians
29-1067,Surgeons,3111,Specialist physicians
29-1069,"Physicians and Surgeons, All Other",3111,Specialist physicians
29-1071,Physician Assistants,3124,Allied primary health practitioners
29-1071,Physician Assistants,3414,Other assisting occupations in support of health services
29-1081,Podiatrists,3125,Other professional occupations in health diagnosing and treating
29-1122,Occupational Therapists,3143,Occupational therapists
29-1123,Physical Therapists,3142,Physiotherapists
29-1124,Radiation Therapists,3215,Medical radiation technologists
29-1125,Recreational Therapists,3144,Other professional occupations in therapy and assessment
29-1126,Respiratory Therapists,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-1127,Speech-Language Pathologists,3141,Audiologists and speech-language pathologists
29-1128,Exercise Physiologists,3144,Other professional occupations in therapy and assessment
29-1128,Exercise Physiologists,6561,"Image, social and other personal consultants"
29-1129,"Therapists, All Other",3144,Other professional occupations in therapy and assessment
29-1131,Veterinarians,3114,Veterinarians
29-1141,Registered Nurses,3011,Nursing co-ordinators and supervisors
29-1141,Registered Nurses,3012,Registered nurses and registered psychiatric nurses
29-1151,Nurse Anesthetists,3124,Allied primary health practitioners
29-1161,Nurse Midwives,3124,Allied primary health practitioners
29-1171,Nurse Practitioners,3124,Allied primary health practitioners
29-1181,Audiologists,3141,Audiologists and speech-language pathologists
29-1199,"Health Diagnosing and Treating Practitioners, All Other",3125,Other professional occupations in health diagnosing and treating
29-1199,"Health Diagnosing and Treating Practitioners, All Other",3232,Practitioners of natural healing
29-2011,Medical and Clinical Laboratory Technologists,3211,Medical laboratory technologists
29-2012,Medical and Clinical Laboratory Technicians,3212,Medical laboratory technicians and pathologists' assistants
29-2021,Dental Hygienists,3222,Dental hygienists and dental therapists
29-2031,Cardiovascular Technologists and Technicians,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2031,Cardiovascular Technologists and Technicians,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
29-2032,Diagnostic Medical Sonographers,3216,Medical sonographers
29-2033,Nuclear Medicine Technologists,3215,Medical radiation technologists
29-2034,Radiologic Technologists,3215,Medical radiation technologists
29-2035,Magnetic Resonance Imaging Technologists,3215,Medical radiation technologists
29-2041,Emergency Medical Technicians and Paramedics,3234,Paramedical occupations
29-2051,Dietetic Technicians,3219,Other medical technologists and technicians (except dental health)
29-2052,Pharmacy Technicians,3219,Other medical technologists and technicians (except dental health)
29-2053,Psychiatric Technicians,3219,Other medical technologists and technicians (except dental health)
29-2054,Respiratory Therapy Technicians,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2054,Respiratory Therapy Technicians,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
29-2054,Respiratory Therapy Technicians,3219,Other medical technologists and technicians (except dental health)
29-2055,Surgical Technologists,3233,Licensed practical nurses
29-2055,Surgical Technologists,3414,Other assisting occupations in support of health services
29-2056,Veterinary Technologists and Technicians,3213,Animal health technologists and veterinary technicians
29-2057,Ophthalmic Medical Technicians,3237,Other technical occupations in therapy and assessment
29-2061,Licensed Practical and Licensed Vocational Nurses,3233,Licensed practical nurses
29-2071,Medical Records and Health Information Technicians,1252,Health information management occupations
29-2081,"Opticians, Dispensing",3231,Opticians
29-2091,Orthotists and Prosthetists,3219,Other medical technologists and technicians (except dental health)
29-2092,Hearing Aid Specialists,3237,Other technical occupations in therapy and assessment
29-2099,"Health Technologists and Technicians, All Other",3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2099,"Health Technologists and Technicians, All Other",3215,Medical radiation technologists
29-2099,"Health Technologists and Technicians, All Other",3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
29-2099,"Health Technologists and Technicians, All Other",3219,Other medical technologists and technicians (except dental health)
29-9011,Occupational Health and Safety Specialists,2263,Inspectors in public and environmental health and occupational health and safety
29-9011,Occupational Health and Safety Specialists,4161,"Natural and applied science policy researchers, consultants and program officers"
29-9012,Occupational Health and Safety Technicians,2263,Inspectors in public and environmental health and occupational health and safety
29-9091,Athletic Trainers,3144,Other professional occupations in therapy and assessment
29-9092,Genetic Counselors,4153,"Family, marriage and other related counsellors"
29-9099,"Healthcare Practitioners and Technical Workers, All Other",1252,Health information management occupations
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3232,Practitioners of natural healing
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3414,Other assisting occupations in support of health services
31-1011,Home Health Aides,4412,"Home support workers, housekeepers and related occupations"
31-1013,Psychiatric Aides,3413,"Nurse aides, orderlies and patient service associates"
31-1014,Nursing Assistants,3413,"Nurse aides, orderlies and patient service associates"
31-1015,Orderlies,3413,"Nurse aides, orderlies and patient service associates"
31-2011,Occupational Therapy Assistants,3237,Other technical occupations in therapy and assessment
31-2012,Occupational Therapy Aides,3414,Other assisting occupations in support of health services
31-2021,Physical Therapist Assistants,3237,Other technical occupations in therapy and assessment
31-2022,Physical Therapist Aides,3237,Other technical occupations in therapy and assessment
31-9011,Massage Therapists,3232,Practitioners of natural healing
31-9011,Massage Therapists,3236,Massage therapists
31-9091,Dental Assistants,3411,Dental assistants
31-9092,Medical Assistants,3414,Other assisting occupations in support of health services
31-9093,Medical Equipment Preparers,3414,Other assisting occupations in support of health services
31-9094,Medical Transcriptionists,1243,Medical administrative assistants
31-9094,Medical Transcriptionists,1251,"Court reporters, medical transcriptionists and related occupations"
31-9095,Pharmacy Aides,3414,Other assisting occupations in support of health services
31-9095,Pharmacy Aides,6421,Retail salespersons
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,3213,Animal health technologists and veterinary technicians
31-9097,Phlebotomists,3212,Medical laboratory technicians and pathologists' assistants
31-9099,"Healthcare Support Workers, All Other",3414,Other assisting occupations in support of health services
33-1011,First-Line Supervisors of Correctional Officers,4422,Correctional service officers
33-1012,First-Line Supervisors of Police and Detectives,0431,Commissioned police officers
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,4312,Firefighters
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",4423,"By-law enforcement and other regulatory officers, n.e.c."
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",6316,Other services supervisors
33-2011,Firefighters,4312,Firefighters
33-2021,Fire Inspectors and Investigators,0432,Fire chiefs and senior firefighting officers
33-2021,Fire Inspectors and Investigators,4312,Firefighters
33-2022,Forest Fire Inspectors and Prevention Specialists,2223,Forestry technologists and technicians
33-3011,Bailiffs,4421,Sheriffs and bailiffs
33-3012,Correctional Officers and Jailers,4422,Correctional service officers
33-3021,Detectives and Criminal Investigators,4311,Police officers (except commissioned)
33-3031,Fish and Game Wardens,2224,Conservation and fishery officers
33-3041,Parking Enforcement Workers,4423,"By-law enforcement and other regulatory officers, n.e.c."
33-3051,Police and Sheriff's Patrol Officers,1228,"Employment insurance, immigration, border services and revenue officers"
33-3051,Police and Sheriff's Patrol Officers,4311,Police officers (except commissioned)
33-3051,Police and Sheriff's Patrol Officers,4421,Sheriffs and bailiffs
33-3052,Transit and Railroad Police,4311,Police officers (except commissioned)
33-9011,Animal Control Workers,4423,"By-law enforcement and other regulatory officers, n.e.c."
33-9021,Private Detectives and Investigators,6541,Security guards and related security service occupations
33-9031,Gaming Surveillance Officers and Gaming Investigators,6541,Security guards and related security service occupations
33-9032,Security Guards,6541,Security guards and related security service occupations
33-9091,Crossing Guards,6541,Security guards and related security service occupations
33-9091,Crossing Guards,7611,Construction trades helpers and labourers
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",5254,"Program leaders and instructors in recreation, sport and fitness"
33-9093,Transportation Security Screeners,6541,Security guards and related security service occupations
33-9099,"Protective Service Workers, All Other",4413,Elementary and secondary school teacher assistants
33-9099,"Protective Service Workers, All Other",4421,Sheriffs and bailiffs
33-9099,"Protective Service Workers, All Other",6541,Security guards and related security service occupations
35-1011,Chefs and Head Cooks,6321,Chefs
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,6311,Food service supervisors
35-2011,"Cooks, Fast Food",6711,"Food counter attendants, kitchen helpers and related support occupations"
35-2012,"Cooks, Institution and Cafeteria",6322,Cooks
35-2013,"Cooks, Private Household",6322,Cooks
35-2014,"Cooks, Restaurant",6322,Cooks
35-2015,"Cooks, Short Order",6322,Cooks
35-2019,"Cooks, All Other",6322,Cooks
35-2021,Food Preparation Workers,6711,"Food counter attendants, kitchen helpers and related support occupations"
35-3011,Bartenders,6512,Bartenders
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",6711,"Food counter attendants, kitchen helpers and related support occupations"
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",6711,"Food counter attendants, kitchen helpers and related support occupations"
35-3031,Waiters and Waitresses,6513,Food and beverage servers
35-3041,"Food Servers, Nonrestaurant",6513,Food and beverage servers
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,6711,"Food counter attendants, kitchen helpers and related support occupations"
35-9021,Dishwashers,6711,"Food counter attendants, kitchen helpers and related support occupations"
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",6511,Maîtres d'hôtel and hosts/hostesses
35-9099,"Food Preparation and Serving Related Workers, All Other",6711,"Food counter attendants, kitchen helpers and related support occupations"
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,6312,Executive housekeepers
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,6315,Cleaning supervisors
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",6732,Specialized cleaners
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",6733,"Janitors, caretakers and building superintendents"
37-2012,Maids and Housekeeping Cleaners,6731,Light duty cleaners
37-2019,"Building Cleaning Workers, All Other",6732,Specialized cleaners
37-2021,Pest Control Workers,7444,Pest controllers and fumigators
37-3011,Landscaping and Groundskeeping Workers,2225,Landscape and horticulture technicians and specialists
37-3011,Landscaping and Groundskeeping Workers,8612,Landscaping and grounds maintenance labourers
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",8432,Nursery and greenhouse workers
37-3013,Tree Trimmers and Pruners,2225,Landscape and horticulture technicians and specialists
37-3013,Tree Trimmers and Pruners,7522,Public works maintenance equipment operators and related workers
37-3019,"Grounds Maintenance Workers, All Other",8612,Landscaping and grounds maintenance labourers
39-1011,Gaming Supervisors,6313,"Accommodation, travel, tourism and related services supervisors"
39-1012,Slot Supervisors,6313,"Accommodation, travel, tourism and related services supervisors"
39-1021,First-Line Supervisors of Personal Service Workers,4214,Early childhood educators and assistants
39-1021,First-Line Supervisors of Personal Service Workers,6313,"Accommodation, travel, tourism and related services supervisors"
39-1021,First-Line Supervisors of Personal Service Workers,6316,Other services supervisors
39-1021,First-Line Supervisors of Personal Service Workers,6522,Pursers and flight attendants
39-2011,Animal Trainers,6563,Pet groomers and animal care workers
39-2011,Animal Trainers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
39-2011,Animal Trainers,8431,General farm workers
39-2021,Nonfarm Animal Caretakers,6563,Pet groomers and animal care workers
39-3011,Gaming Dealers,6533,Casino occupations
39-3012,Gaming and Sports Book Writers and Runners,6533,Casino occupations
39-3019,"Gaming Service Workers, All Other",6533,Casino occupations
39-3021,Motion Picture Projectionists,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",6742,"Other service support occupations, n.e.c."
39-3091,Amusement and Recreation Attendants,6722,"Operators and attendants in amusement, recreation and sport"
39-3092,Costume Attendants,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
39-3092,Costume Attendants,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",6742,"Other service support occupations, n.e.c."
39-3099,"Entertainment Attendants and Related Workers, All Other",5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
39-4011,Embalmers,6346,Funeral directors and embalmers
39-4021,Funeral Attendants,6742,"Other service support occupations, n.e.c."
39-4031,"Morticians, Undertakers, and Funeral Directors",6346,Funeral directors and embalmers
39-5011,Barbers,6341,Hairstylists and barbers
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",6341,Hairstylists and barbers
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",6562,"Estheticians, electrologists and related occupations"
39-5091,"Makeup Artists, Theatrical and Performance",5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
39-5092,Manicurists and Pedicurists,6562,"Estheticians, electrologists and related occupations"
39-5093,Shampooers,6562,"Estheticians, electrologists and related occupations"
39-5094,Skincare Specialists,6562,"Estheticians, electrologists and related occupations"
39-6011,Baggage Porters and Bellhops,6721,"Support occupations in accommodation, travel and facilities set-up services"
39-6012,Concierges,6525,Hotel front desk clerks
39-7011,Tour Guides and Escorts,5212,Technical occupations related to museums and art galleries
39-7011,Tour Guides and Escorts,6531,Tour and travel guides
39-7011,Tour Guides and Escorts,6532,Outdoor sport and recreational guides
39-7012,Travel Guides,6531,Tour and travel guides
39-7012,Travel Guides,6532,Outdoor sport and recreational guides
39-9011,Childcare Workers,4214,Early childhood educators and assistants
39-9011,Childcare Workers,4411,Home child care providers
39-9021,Personal Care Aides,3413,"Nurse aides, orderlies and patient service associates"
39-9021,Personal Care Aides,4412,"Home support workers, housekeepers and related occupations"
39-9031,Fitness Trainers and Aerobics Instructors,5254,"Program leaders and instructors in recreation, sport and fitness"
39-9032,Recreation Workers,4167,"Recreation, sports and fitness policy researchers, consultants and program officers"
39-9032,Recreation Workers,5254,"Program leaders and instructors in recreation, sport and fitness"
39-9041,Residential Advisors,0632,Accommodation service managers
39-9099,"Personal Care and Service Workers, All Other",4412,"Home support workers, housekeepers and related occupations"
39-9099,"Personal Care and Service Workers, All Other",6742,"Other service support occupations, n.e.c."
41-1011,First-Line Supervisors of Retail Sales Workers,0621,Retail and wholesale trade managers
41-1011,First-Line Supervisors of Retail Sales Workers,6211,Retail sales supervisors
41-1012,First-Line Supervisors of Non-Retail Sales Workers,6221,Technical sales specialists - wholesale trade
41-1012,First-Line Supervisors of Non-Retail Sales Workers,6231,Insurance agents and brokers
41-1012,First-Line Supervisors of Non-Retail Sales Workers,6232,Real estate agents and salespersons
41-2011,Cashiers,6611,Cashiers
41-2011,Cashiers,6742,"Other service support occupations, n.e.c."
41-2012,Gaming Change Persons and Booth Cashiers,6611,Cashiers
41-2021,Counter and Rental Clerks,6421,Retail salespersons
41-2022,Parts Salespersons,1522,Storekeepers and partspersons
41-2031,Retail Salespersons,6421,Retail salespersons
41-3011,Advertising Sales Agents,1123,"Professional occupations in advertising, marketing and public relations"
41-3011,Advertising Sales Agents,6411,Sales and account representatives - wholesale trade (non-technical)
41-3021,Insurance Sales Agents,6231,Insurance agents and brokers
41-3031,"Securities, Commodities, and Financial Services Sales Agents",1113,"Securities agents, investment dealers and brokers"
41-3041,Travel Agents,6521,Travel counsellors
41-3099,"Sales Representatives, Services, All Other",6411,Sales and account representatives - wholesale trade (non-technical)
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",6221,Technical sales specialists - wholesale trade
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",6411,Sales and account representatives - wholesale trade (non-technical)
41-9011,Demonstrators and Product Promoters,6623,Other sales related occupations
41-9012,Models,5232,"Other performers, n.e.c."
41-9021,Real Estate Brokers,0121,"Insurance, real estate and financial brokerage managers"
41-9022,Real Estate Sales Agents,1224,Property administrators
41-9022,Real Estate Sales Agents,6232,Real estate agents and salespersons
41-9031,Sales Engineers,6221,Technical sales specialists - wholesale trade
41-9041,Telemarketers,6623,Other sales related occupations
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1513,"Couriers, messengers and door-to-door distributors"
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",6623,Other sales related occupations
41-9099,"Sales and Related Workers, All Other",6411,Sales and account representatives - wholesale trade (non-technical)
41-9099,"Sales and Related Workers, All Other",6623,Other sales related occupations
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1211,"Supervisors, general office and administrative support workers"
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1212,"Supervisors, finance and insurance office workers"
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1213,"Supervisors, library, correspondence and related information workers"
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1214,"Supervisors, mail and message distribution occupations"
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations"
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1221,Administrative officers
43-1011,First-Line Supervisors of Office and Administrative Support Workers,6314,Customer and information services supervisors
43-2011,"Switchboard Operators, Including Answering Service",1414,Receptionists
43-2021,Telephone Operators,1414,Receptionists
43-2099,"Communications Equipment Operators, All Other",1414,Receptionists
43-3011,Bill and Account Collectors,1435,Collectors
43-3021,Billing and Posting Clerks,1431,Accounting and related clerks
43-3021,Billing and Posting Clerks,1434,"Banking, insurance and other financial clerks"
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1311,Accounting technicians and bookkeepers
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1431,Accounting and related clerks
43-3041,Gaming Cage Workers,6533,Casino occupations
43-3051,Payroll and Timekeeping Clerks,1432,Payroll clerks
43-3061,Procurement Clerks,1524,Purchasing and inventory control workers
43-3071,Tellers,6551,Customer services representatives - financial institutions
43-3099,"Financial Clerks, All Other",1434,"Banking, insurance and other financial clerks"
43-4011,Brokerage Clerks,1434,"Banking, insurance and other financial clerks"
43-4021,Correspondence Clerks,1452,"Correspondence, publication and regulatory clerks"
43-4031,"Court, Municipal, and License Clerks",1227,Court officers and justices of the peace
43-4031,"Court, Municipal, and License Clerks",1416,Court clerks
43-4031,"Court, Municipal, and License Clerks",1452,"Correspondence, publication and regulatory clerks"
43-4041,"Credit Authorizers, Checkers, and Clerks",1434,"Banking, insurance and other financial clerks"
43-4051,Customer Service Representatives,6552,Other customer and information services representatives
43-4061,"Eligibility Interviewers, Government Programs",1228,"Employment insurance, immigration, border services and revenue officers"
43-4061,"Eligibility Interviewers, Government Programs",4212,Social and community service workers
43-4071,File Clerks,1253,Records management technicians
43-4071,File Clerks,1411,General office support workers
43-4081,"Hotel, Motel, and Resort Desk Clerks",6525,Hotel front desk clerks
43-4111,"Interviewers, Except Eligibility and Loan",1454,Survey interviewers and statistical clerks
43-4121,"Library Assistants, Clerical",1451,Library assistants and clerks
43-4131,Loan Interviewers and Clerks,1434,"Banking, insurance and other financial clerks"
43-4131,Loan Interviewers and Clerks,6235,Financial sales representatives
43-4141,New Accounts Clerks,6235,Financial sales representatives
43-4151,Order Clerks,6552,Other customer and information services representatives
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",1415,Personnel clerks
43-4171,Receptionists and Information Clerks,1414,Receptionists
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,6523,Airline ticket and service agents
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,6524,"Ground and water transport ticket agents, cargo service representatives and related clerks"
43-4199,"Information and Record Clerks, All Other",1411,General office support workers
43-5011,Cargo and Freight Agents,6523,Airline ticket and service agents
43-5011,Cargo and Freight Agents,6524,"Ground and water transport ticket agents, cargo service representatives and related clerks"
43-5021,Couriers and Messengers,1513,"Couriers, messengers and door-to-door distributors"
43-5031,"Police, Fire, and Ambulance Dispatchers",1525,Dispatchers
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",1525,Dispatchers
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",1526,Transportation route and crew schedulers
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",2275,Railway traffic controllers and marine traffic regulators
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",7305,"Supervisors, motor transport and other ground transit operators"
43-5041,"Meter Readers, Utilities",1454,Survey interviewers and statistical clerks
43-5051,Postal Service Clerks,1511,"Mail, postal and related workers"
43-5052,Postal Service Mail Carriers,1512,Letter carriers
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",1511,"Mail, postal and related workers"
43-5061,"Production, Planning, and Expediting Clerks",1523,Production logistics co-ordinators
43-5071,"Shipping, Receiving, and Traffic Clerks",1521,Shippers and receivers
43-5071,"Shipping, Receiving, and Traffic Clerks",1524,Purchasing and inventory control workers
43-5081,Stock Clerks and Order Fillers,1522,Storekeepers and partspersons
43-5081,Stock Clerks and Order Fillers,6622,"Store shelf stockers, clerks and order fillers"
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",4423,"By-law enforcement and other regulatory officers, n.e.c."
43-6011,Executive Secretaries and Executive Administrative Assistants,1221,Administrative officers
43-6011,Executive Secretaries and Executive Administrative Assistants,1222,Executive assistants
43-6012,Legal Secretaries,1242,Legal administrative assistants
43-6013,Medical Secretaries,1243,Medical administrative assistants
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1241,Administrative assistants
43-9011,Computer Operators,2281,Computer network technicians
43-9021,Data Entry Keyers,1422,Data entry clerks
43-9022,Word Processors and Typists,1411,General office support workers
43-9031,Desktop Publishers,1423,Desktop publishing operators and related occupations
43-9041,Insurance Claims and Policy Processing Clerks,1434,"Banking, insurance and other financial clerks"
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",1511,"Mail, postal and related workers"
43-9061,"Office Clerks, General",1411,General office support workers
43-9071,"Office Machine Operators, Except Computer",1411,General office support workers
43-9081,Proofreaders and Copy Markers,1452,"Correspondence, publication and regulatory clerks"
43-9111,Statistical Assistants,1254,Statistical officers and related research support occupations
43-9111,Statistical Assistants,1454,Survey interviewers and statistical clerks
43-9199,"Office and Administrative Support Workers, All Other",1251,"Court reporters, medical transcriptionists and related occupations"
43-9199,"Office and Administrative Support Workers, All Other",1411,General office support workers
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",8211,"Supervisors, logging and forestry"
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
45-2011,Agricultural Inspectors,2222,Agricultural and fish products inspectors
45-2011,Agricultural Inspectors,2223,Forestry technologists and technicians
45-2021,Animal Breeders,0821,Managers in agriculture
45-2041,"Graders and Sorters, Agricultural Products",8431,General farm workers
45-2041,"Graders and Sorters, Agricultural Products",8611,Harvesting labourers
45-2041,"Graders and Sorters, Agricultural Products",9465,"Testers and graders, food, beverage and associated products processing"
45-2091,Agricultural Equipment Operators,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
45-2091,Agricultural Equipment Operators,8431,General farm workers
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",8431,General farm workers
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",8432,Nursery and greenhouse workers
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",8611,Harvesting labourers
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8431,General farm workers
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8613,Aquaculture and marine harvest labourers
45-2099,"Agricultural Workers, All Other",8431,General farm workers
45-3011,Fishers and Related Fishing Workers,8261,Fishing masters and officers
45-3011,Fishers and Related Fishing Workers,8262,Fishermen/women
45-3011,Fishers and Related Fishing Workers,8441,Fishing vessel deckhands
