soc2010,soc2010_title,noc2011,noc2011_title
11-9121,Natural Sciences Managers,0212,Architecture and science managers
11-9131,Postmasters and Mail Superintendents,0132,Postal and courier services managers
11-9141,"Property, Real Estate, and Community Association Managers",0121,"Insurance, real estate and financial brokerage managers"
11-9141,"Property, Real Estate, and Community Association Managers",1224,Property administrators
11-9151,Social and Community Service Managers,0423,"Managers in social, community and correctional services"
11-9161,Emergency Management Directors,0414,Other managers in public administration
11-9199,"Managers, All Other",0125,Other business services managers
11-9199,"Managers, All Other",0213,Computer and information systems managers
11-9199,"Managers, All Other",0513,"Recreation, sports and fitness program and service directors"
11-9199,"Managers, All Other",0632,Accommodation service managers
11-9199,"Managers, All Other",0651,"Managers in customer and personal services, n.e.c."
11-9199,"Managers, All Other",0711,Construction managers
11-9199,"Managers, All Other",0714,Facility operation and maintenance managers
11-9199,"Managers, All Other",4167,"Recreation, sports and fitness policy researchers, consultants and program officers"
11-9199,"Managers, All Other",5131,"Producers, directors, choreographers and related occupations"
11-9199,"Managers, All Other",5242,Interior designers and interior decorators
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1123,"Professional occupations in advertising, marketing and public relations"
13-1021,"Buyers and Purchasing Agents, Farm Products",1225,Purchasing agents and officers
13-1021,"Buyers and Purchasing Agents, Farm Products",6222,Retail and wholesale buyers
13-1022,"Wholesale and Retail Buyers, Except Farm Products",6222,Retail and wholesale buyers
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1225,Purchasing agents and officers
13-1031,"Claims Adjusters, Examiners, and Investigators",1312,Insurance adjusters and claims examiners
13-1032,"Insurance Appraisers, Auto Damage",1312,Insurance adjusters and claims examiners
13-1041,Compliance Officers,1121,Human resources professionals
13-1041,Compliance Officers,2262,Engineering inspectors and regulatory officers
13-1041,Compliance Officers,4161,"Natural and applied science policy researchers, consultants and program officers"
13-1041,Compliance Officers,4165,"Health policy researchers, consultants and program officers"
13-1041,Compliance Officers,4216,Other instructors
13-1041,Compliance Officers,4423,"By-law enforcement and other regulatory officers, n.e.c."
13-1051,Cost Estimators,2234,Construction estimators
13-1071,Human Resources Specialists,1223,Human resources and recruitment officers
13-1074,Farm Labor Contractors,1223,Human resources and recruitment officers
13-1075,Labor Relations Specialists,1121,Human resources professionals
13-1081,Logisticians,0911,Manufacturing managers
13-1111,Management Analysts,1122,Professional occupations in business management consulting
13-1121,"Meeting, Convention, and Event Planners",1226,Conference and event planners
13-1131,Fundraisers,1123,"Professional occupations in advertising, marketing and public relations"
