nocs2006,nocs2006_title,noc2011,noc2011_title
F11,"Technical occupations in libraries, archives, museums and art galleries",145,"Library, correspondence and other clerks"
F11,"Technical occupations in libraries, archives, museums and art galleries",521,"Technical occupations in libraries, public archives, museums and art galleries"
F111,Library and archive technicians and assistants,1451,Library assistants and clerks
F111,Library and archive technicians and assistants,5211,Library and public archive technicians
F112,Technical occupations related to museums and art galleries,5212,Technical occupations related to museums and art galleries
F12,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",522,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
F121,Photographers,5221,Photographers
F122,Film and video camera operators,5222,Film and video camera operators
F123,Graphic arts technicians,5223,Graphic arts technicians
F124,Broadcast technicians,5224,Broadcast technicians
F125,Audio and video recording technicians,5225,Audio and video recording technicians
F126,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
F127,"Support occupations in motion pictures, broadcasting and the performing arts",5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
F13,Announcers and other performers,523,"Announcers and other performers, n.e.c."
F131,Announcers and other broadcasters,5231,Announcers and other broadcasters
F132,Other performers,5232,"Other performers, n.e.c."
F14,Creative designers and craftspersons,524,Creative designers and craftspersons
F141,Graphic designers and illustrators,5241,Graphic designers and illustrators
F142,Interior designers,5242,Interior designers and interior decorators
F143,"Theatre, fashion, exhibit and other creative designers",5243,"Theatre, fashion, exhibit and other creative designers"
F144,Artisans and craftspersons,5244,Artisans and craftspersons
F145,"Patternmakers - textile, leather and fur products",5245,"Patternmakers - textile, leather and fur products"
F15,"Athletes, coaches, referees and related occupations",525,"Athletes, coaches, referees and related occupations"
F151,Athletes,5251,Athletes
F152,Coaches,5252,Coaches
F153,Sports officials and referees,5253,Sports officials and referees
F154,"Program leaders and instructors in recreation, sport and fitness",5254,"Program leaders and instructors in recreation, sport and fitness"
G,Sales and service occupations,0,Management occupations
G,Sales and service occupations,4,"Occupations in education, law and social, community and government services"
G,Sales and service occupations,5,"Occupations in art, culture, recreation and sport"
G,Sales and service occupations,6,Sales and service occupations
G0,Sales and service supervisors,06,Middle management occupations in retail and wholesale trade and customer services
G0,Sales and service supervisors,62,Retail sales supervisors and specialized sales occupations
G0,Sales and service supervisors,63,Service supervisors and specialized service occupations
G01,Sales and service supervisors,062,Retail and wholesale trade managers
G01,Sales and service supervisors,621,Retail sales supervisors
G01,Sales and service supervisors,631,Service supervisors
G011,Retail trade supervisors,0621,Retail and wholesale trade managers
G011,Retail trade supervisors,6211,Retail sales supervisors
G012,Food service supervisors,6311,Food service supervisors
G013,Executive housekeepers,6312,Executive housekeepers
G014,Dry cleaning and laundry supervisors,6316,Other services supervisors
G015,Cleaning supervisors,6315,Cleaning supervisors
G016,Other service supervisors,6313,"Accommodation, travel, tourism and related services supervisors"
G016,Other service supervisors,6316,Other services supervisors
G1,"Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",62,Retail sales supervisors and specialized sales occupations
G1,"Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",64,Sales representatives and salespersons - wholesale and retail trade
G11,"Sales representatives, wholesale trade",641,Sales and account representatives - wholesale trade (non-technical)
G111,Sales representatives - wholesale trade (non-technical),6411,Sales and account representatives - wholesale trade (non-technical)
G12,"Technical sales specialists, wholesale trade",622,Technical sales specialists in wholesale trade and retail and wholesale buyers
G121,Technical sales specialists - wholesale trade,6221,Technical sales specialists - wholesale trade
G13,Insurance and real estate sales occupations and buyers,622,Technical sales specialists in wholesale trade and retail and wholesale buyers
G13,Insurance and real estate sales occupations and buyers,623,"Insurance, real estate and financial sales occupations"
G131,Insurance agents and brokers,6231,Insurance agents and brokers
G132,Real estate agents and salespersons,6232,Real estate agents and salespersons
G133,Retail and wholesale buyers,6222,Retail and wholesale buyers
G134,Grain elevator operators,6221,Technical sales specialists - wholesale trade
G2,Retail salespersons and sales clerks,52,"Technical occupations in art, culture, recreation and sport"
G2,Retail salespersons and sales clerks,64,Sales representatives and salespersons - wholesale and retail trade
G21,Retail salespersons and sales clerks,524,Creative designers and craftspersons
G21,Retail salespersons and sales clerks,642,Retail salespersons
G211,Retail salespersons and sales clerks,5242,Interior designers and interior decorators
G211,Retail salespersons and sales clerks,6421,Retail salespersons
G3,Cashiers,66,Sales support occupations
G31,Cashiers,661,Cashiers
G311,Cashiers,6611,Cashiers
G4,Chefs and cooks,63,Service supervisors and specialized service occupations
G41,Chefs and cooks,632,Chefs and cooks
G411,Chefs,6321,Chefs
G412,Cooks,6322,Cooks
G5,Occupations in food and beverage service,65,Service representatives and other customer and personal services occupations
G51,Occupations in food and beverage service,651,Occupations in food and beverage service
G511,Maîtres d'hôtel and hosts/hostesses,6511,Maîtres d'hôtel and hosts/hostesses
G512,Bartenders,6512,Bartenders
G513,Food and beverage servers,6513,Food and beverage servers
G6,Occupations in protective services,43,Occupations in front-line public protection services
G6,Occupations in protective services,44,"Care providers and educational, legal and public protection support occupations"
G6,Occupations in protective services,65,Service representatives and other customer and personal services occupations
G61,Police officers and firefighters,431,Occupations in front-line public protection services
G611,Police officers (except commissioned),4311,Police officers (except commissioned)
G612,Firefighters,4312,Firefighters
G62,Other occupations in protective service,431,Occupations in front-line public protection services
G62,Other occupations in protective service,442,Legal and public protection support occupations
G62,Other occupations in protective service,654,Security guards and related security service occupations
G621,Sheriffs and bailiffs,4421,Sheriffs and bailiffs
G622,Correctional service officers,4422,Correctional service officers
G623,"By-law enforcement and other regulatory officers, n.e.c.",4423,"By-law enforcement and other regulatory officers, n.e.c."
G624,"Other ranks, armed forces",4313,Non-commissioned ranks of the Canadian Forces
G625,Other protective service occupations,6541,Security guards and related security service occupations
G63,Security guards and related occupations,654,Security guards and related security service occupations
G631,Security guards and related occupations,6541,Security guards and related security service occupations
G7,Occupations in travel and accommodation including attendants in recreation and sport,63,Service supervisors and specialized service occupations
G7,Occupations in travel and accommodation including attendants in recreation and sport,65,Service representatives and other customer and personal services occupations
G7,Occupations in travel and accommodation including attendants in recreation and sport,67,"Service support and other service occupations, n.e.c."
G71,Occupations in travel and accommodation,652,Occupations in travel and accommodation
G711,Travel counsellors,6521,Travel counsellors
G712,Pursers and flight attendants,6522,Pursers and flight attendants
G713,Airline sales and service agents,6523,Airline ticket and service agents
G714,"Ticket agents, cargo service representatives and related clerks (except airline)",6524,"Ground and water transport ticket agents, cargo service representatives and related clerks"
G715,Hotel front desk clerks,6525,Hotel front desk clerks
G72,Tour and recreational guides and casino occupations,653,Tourism and amusement services occupations
G72,Tour and recreational guides and casino occupations,631,Service supervisors
G721,Tour and travel guides,6531,Tour and travel guides
G722,Outdoor sport and recreational guides,6532,Outdoor sport and recreational guides
G723,Casino occupations,6313,"Accommodation, travel, tourism and related services supervisors"
G723,Casino occupations,6533,Casino occupations
G73,"Other occupations in travel, accommodation, amusement and recreation",672,"Support occupations in accommodation, travel and amusement services"
G731,"Operators and attendants in amusement, recreation and sport",6722,"Operators and attendants in amusement, recreation and sport"
G732,Other attendants in accommodation and travel,6721,"Support occupations in accommodation, travel and facilities set-up services"
G8,Childcare and home support workers,44,"Care providers and educational, legal and public protection support occupations"
G81,Childcare and home support workers,441,Home care providers and educational support occupations
G811,"Visiting homemakers, housekeepers and related occupations",4411,Home child care providers
G811,"Visiting homemakers, housekeepers and related occupations",4412,"Home support workers, housekeepers and related occupations"
G812,Elementary and secondary school teacher assistants,4413,Elementary and secondary school teacher assistants
G814,"Babysitters, nannies and parents' helpers",4411,Home child care providers
G9,Sales and service occupations n.e.c.,63,Service supervisors and specialized service occupations
G9,Sales and service occupations n.e.c.,65,Service representatives and other customer and personal services occupations
G9,Sales and service occupations n.e.c.,66,Sales support occupations
G9,Sales and service occupations n.e.c.,67,"Service support and other service occupations, n.e.c."
G91,Technical occupations in personal service,634,Specialized occupations in personal and customer services
G911,Hairstylists and barbers,6341,Hairstylists and barbers
G912,Funeral directors and embalmers,6346,Funeral directors and embalmers
G92,Other occupations in personal service,656,Other occupations in personal service
G921,"Image, social and other personal consultants",6561,"Image, social and other personal consultants"
G922,"Estheticians, electrologists and related occupations",6562,"Estheticians, electrologists and related occupations"
G923,Pet groomers and animal care workers,6563,Pet groomers and animal care workers
G924,Other personal service occupations,6564,Other personal service occupations
G93,Cleaners,673,Cleaners
G931,Light duty cleaners,6731,Light duty cleaners
G932,Specialized cleaners,6732,Specialized cleaners
G933,"Janitors, caretakers and building superintendents",6733,"Janitors, caretakers and building superintendents"
G94,Butchers and bakers,633,Butchers and bakers
G941,"Butchers, meat cutters and fishmongers - retail and wholesale",6331,"Butchers, meat cutters and fishmongers - retail and wholesale"
G942,Bakers,6332,Bakers
G96,"Food counter attendants, kitchen helpers and related occupations",671,"Food counter attendants, kitchen helpers and related support occupations"
G961,"Food counter attendants, kitchen helpers and related occupations",6711,"Food counter attendants, kitchen helpers and related support occupations"
G97,Other sales and related occupations,662,Other sales support and related occupations
G97,Other sales and related occupations,671,"Food counter attendants, kitchen helpers and related support occupations"
G971,Service station attendants,6621,Service station attendants
G972,Grocery clerks and store shelf stockers,6622,"Store shelf stockers, clerks and order fillers"
G973,Other elemental sales occupations,6623,Other sales related occupations
G973,Other elemental sales occupations,6711,"Food counter attendants, kitchen helpers and related support occupations"
G98,Other elemental service occupations,674,"Other service support and related occupations, n.e.c."
G981,Dry cleaning and laundry occupations,6741,"Dry cleaning, laundry and related occupations"
G982,"Ironing, pressing and finishing occupations",6741,"Dry cleaning, laundry and related occupations"
G983,Other elemental service occupations,6742,"Other service support occupations, n.e.c."
H,"Trades, transport and equipment operators and related occupations",6,Sales and service occupations
H,"Trades, transport and equipment operators and related occupations",7,"Trades, transport and equipment operators and related occupations"
H,"Trades, transport and equipment operators and related occupations",9,Occupations in manufacturing and utilities
H0,Contractors and supervisors in trades and transportation,72,"Industrial, electrical and construction trades"
H0,Contractors and supervisors in trades and transportation,73,Maintenance and equipment operation trades
H01,"Contractors and supervisors, trades and related workers",720,"Contractors and supervisors, industrial, electrical and construction trades and related workers"
H01,"Contractors and supervisors, trades and related workers",730,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators"
H011,"Supervisors, machinists and related occupations",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
H012,"Contractors and supervisors, electrical trades and telecommunications occupations",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
H013,"Contractors and supervisors, pipefitting trades",7203,"Contractors and supervisors, pipefitting trades"
H014,"Contractors and supervisors, metal forming, shaping and erecting trades",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
H015,"Contractors and supervisors, carpentry trades",7204,"Contractors and supervisors, carpentry trades"
H016,"Contractors and supervisors, mechanic trades",7301,"Contractors and supervisors, mechanic trades"
H017,"Contractors and supervisors, heavy construction equipment crews",7302,"Contractors and supervisors, heavy equipment operator crews"
H018,"Supervisors, printing and related occupations",7303,"Supervisors, printing and related occupations"
H019,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
H02,"Supervisors, railway and motor transportation occupations",730,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators"
H021,"Supervisors, railway transport operations",7304,"Supervisors, railway transport operations"
H022,"Supervisors, motor transport and other ground transit operators",7305,"Supervisors, motor transport and other ground transit operators"
H1,Construction trades,72,"Industrial, electrical and construction trades"
H11,"Plumbers, pipefitters and gas fitters",725,"Plumbers, pipefitters and gas fitters"
H111,Plumbers,7251,Plumbers
H112,"Steamfitters, pipefitters and sprinkler system installers",7252,"Steamfitters, pipefitters and sprinkler system installers"
H113,Gas fitters,7253,Gas fitters
H12,Carpenters and cabinetmakers,727,Carpenters and cabinetmakers
H121,Carpenters,7271,Carpenters
H122,Cabinetmakers,7272,Cabinetmakers
H13,Masonry and plastering trades,728,Masonry and plastering trades
H131,Bricklayers,7281,Bricklayers
H132,Concrete finishers,7282,Concrete finishers
H133,Tilesetters,7283,Tilesetters
H134,"Plasterers, drywall installers and finishers and lathers",7284,"Plasterers, drywall installers and finishers and lathers"
H14,Other construction trades,729,Other construction trades
H141,Roofers and shinglers,7291,Roofers and shinglers
H142,Glaziers,7292,Glaziers
H143,Insulators,7293,Insulators
H144,Painters and decorators,7294,Painters and decorators (except interior decorators)
H145,Floor covering installers,7295,Floor covering installers
H2,"Stationary engineers, power station operators and electrical trades and telecommunications occupations",72,"Industrial, electrical and construction trades"
H2,"Stationary engineers, power station operators and electrical trades and telecommunications occupations",92,"Processing, manufacturing and utilities supervisors and central control operators"
H21,Electrical trades and telecommunication occupations,724,Electrical trades and electrical power line and telecommunications workers
H211,Electricians (except industrial and power system),7241,Electricians (except industrial and power system)
H212,Industrial electricians,7242,Industrial electricians
H213,Power system electricians,7243,Power system electricians
H214,Electrical power line and cable workers,7244,Electrical power line and cable workers
H215,Telecommunications line and cable workers,7245,Telecommunications line and cable workers
H216,Telecommunications installation and repair workers,7246,Telecommunications installation and repair workers
H217,Cable television service and maintenance technicians,7247,Cable television service and maintenance technicians
H22,Stationary engineers and power station and system operators,924,Utilities equipment operators and controllers
H221,Stationary engineers and auxiliary equipment operators,9241,Power engineers and power systems operators
H222,Power systems and power station operators,9241,Power engineers and power systems operators
H3,"Machinists, metal forming, shaping and erecting occupations",72,"Industrial, electrical and construction trades"
H3,"Machinists, metal forming, shaping and erecting occupations",73,Maintenance and equipment operation trades
H31,Machinists and related occupations,723,"Machining, metal forming, shaping and erecting trades"
H311,Machinists and machining and tooling inspectors,7231,Machinists and machining and tooling inspectors
H312,Tool and die makers,7232,Tool and die makers
H32,"Metal forming, shaping and erecting trades",723,"Machining, metal forming, shaping and erecting trades"
H32,"Metal forming, shaping and erecting trades",738,"Printing press operators and other trades and related occupations, n.e.c."
H321,Sheet metal workers,7233,Sheet metal workers
H322,Boilermakers,7234,Boilermakers
H323,Structural metal and platework fabricators and fitters,7235,Structural metal and platework fabricators and fitters
H324,Ironworkers,7236,Ironworkers
H325,Blacksmiths and die setters,7384,"Other trades and related occupations, n.e.c."
H326,Welders and related machine operators,7237,Welders and related machine operators
H4,Mechanics,73,Maintenance and equipment operation trades
H41,Machinery and transportation equipment mechanics (except motor vehicle),731,Machinery and transportation equipment mechanics (except motor vehicle)
H411,Construction millwrights and industrial mechanics (except textile),7311,Construction millwrights and industrial mechanics
H412,Heavy-duty equipment mechanics,7312,Heavy-duty equipment mechanics
H413,Refrigeration and air conditioning mechanics,7313,Refrigeration and air conditioning mechanics
H414,Railway carmen/women,7314,Railway carmen/women
H415,Aircraft mechanics and aircraft inspectors,7315,Aircraft mechanics and aircraft inspectors
H416,Machine fitters,7316,Machine fitters
H417,Textile machinery mechanics and repairers,7311,Construction millwrights and industrial mechanics
H418,Elevator constructors and mechanics,7318,Elevator constructors and mechanics
H42,Automotive service technicians,732,Automotive service technicians
H421,"Automotive service technicians, truck and bus mechanics and mechanical repairers",7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
H422,Motor vehicle body repairers,7322,Motor vehicle body repairers
H43,Other mechanics,733,Other mechanics and related repairers
H431,Oil and solid fuel heating mechanics,7331,Oil and solid fuel heating mechanics
H432,Electric appliance servicers and repairers,7332,Appliance servicers and repairers
H433,Electrical mechanics,7333,Electrical mechanics
H434,Motorcycle and other related mechanics,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
H435,Other small engine and equipment mechanics,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
H435,Other small engine and equipment mechanics,7335,Other small engine and small equipment repairers
H5,Other trades n.e.c.,63,Service supervisors and specialized service occupations
H5,Other trades n.e.c.,73,Maintenance and equipment operation trades
H5,Other trades n.e.c.,74,"Other installers, repairers and servicers and material handlers"
H5,Other trades n.e.c.,75,Transport and heavy equipment operation and related maintenance occupations
H51,"Upholsterers, tailors, shoe repairers, jewellers and related occupations",634,Specialized occupations in personal and customer services
H511,Upholsterers,6345,Upholsterers
H512,"Tailors, dressmakers, furriers and milliners",6342,"Tailors, dressmakers, furriers and milliners"
H513,Shoe repairers and shoemakers,6343,Shoe repairers and shoemakers
H514,"Jewellers, watch repairers and related occupations",6344,"Jewellers, jewellery and watch repairers and related occupations"
H52,"Printing press operators, commercial divers and other trades and related occupations, n.e.c.",738,"Printing press operators and other trades and related occupations, n.e.c."
H521,Printing press operators,7381,Printing press operators
H522,Commercial divers,7384,"Other trades and related occupations, n.e.c."
H523,Other trades and related occupations,7384,"Other trades and related occupations, n.e.c."
H53,"Other installers, repairers and servicers",744,"Other installers, repairers and servicers"
H53,"Other installers, repairers and servicers",753,Other transport equipment operators and related maintenance workers
H531,Residential and commercial installers and servicers,7441,Residential and commercial installers and servicers
H532,Waterworks and gas maintenance workers,7442,Waterworks and gas maintenance workers
H533,Automotive mechanical installers and servicers,7535,Other automotive mechanical installers and servicers
H534,Pest controllers and fumigators,7444,Pest controllers and fumigators
H535,Other repairers and servicers,7445,Other repairers and servicers
H6,Heavy equipment and crane operators including drillers,73,Maintenance and equipment operation trades
H6,Heavy equipment and crane operators including drillers,75,Transport and heavy equipment operation and related maintenance occupations
H61,Heavy equipment operators,752,Heavy equipment operators
H611,Heavy equipment operators (except crane),7521,Heavy equipment operators (except crane)
H612,Public works maintenance equipment operators,7522,Public works maintenance equipment operators and related workers
H62,"Crane operators, drillers and blasters",737,"Crane operators, drillers and blasters"
H621,Crane operators,7371,Crane operators
H622,"Drillers and blasters - surface mining, quarrying and construction",7372,"Drillers and blasters - surface mining, quarrying and construction"
H623,Water well drillers,7373,Water well drillers
H7,"Transportation equipment operators and related workers, excluding labourers",73,Maintenance and equipment operation trades
H7,"Transportation equipment operators and related workers, excluding labourers",75,Transport and heavy equipment operation and related maintenance occupations
H71,Motor vehicle and transit drivers,751,Motor vehicle and transit drivers
H711,Truck drivers,7511,Transport truck drivers
H712,"Bus drivers, subway operators and other transit operators",7512,"Bus drivers, subway operators and other transit operators"
H713,Taxi and limousine drivers and chauffeurs,7513,Taxi and limousine drivers and chauffeurs
H714,Delivery and courier service drivers,7514,Delivery and courier service drivers
H72,Train crew operating occupations,736,Train crew operating occupations
H721,Railway and yard locomotive engineers,7361,Railway and yard locomotive engineers
H722,Railway conductors and brakemen/women,7362,Railway conductors and brakemen/women
H73,Other transport equipment operators and related workers,753,Other transport equipment operators and related maintenance workers
H731,Railway yard workers,7531,Railway yard and track maintenance workers
H732,Railway track maintenance workers,7531,Railway yard and track maintenance workers
H733,"Deck crew, water transport",7532,Water transport deck and engine room crew
H734,"Engine room crew, water transport",7532,Water transport deck and engine room crew
H735,Lock and cable ferry operators and related occupations,7533,Boat and cable ferry operators and related occupations
H736,Boat operators,7533,Boat and cable ferry operators and related occupations
H737,Air transport ramp attendants,7534,Air transport ramp attendants
H8,"Trades helpers, construction and transportation labourers and related occupations",67,"Service support and other service occupations, n.e.c."
H8,"Trades helpers, construction and transportation labourers and related occupations",74,"Other installers, repairers and servicers and material handlers"
H8,"Trades helpers, construction and transportation labourers and related occupations",75,Transport and heavy equipment operation and related maintenance occupations
H8,"Trades helpers, construction and transportation labourers and related occupations",76,"Trades helpers, construction labourers and related occupations"
H81,Longshore workers and material handlers,672,"Support occupations in accommodation, travel and amusement services"
H81,Longshore workers and material handlers,745,Longshore workers and material handlers
H811,Longshore workers,7451,Longshore workers
H812,Material handlers,6721,"Support occupations in accommodation, travel and facilities set-up services"
H812,Material handlers,7452,Material handlers
H82,Trades helpers and labourers,752,Heavy equipment operators
H82,Trades helpers and labourers,761,Trades helpers and labourers
H821,Construction trades helpers and labourers,7611,Construction trades helpers and labourers
H822,Other trades helpers and labourers,7522,Public works maintenance equipment operators and related workers
H822,Other trades helpers and labourers,7612,Other trades helpers and labourers
H83,"Public works and other labourers, n.e.c.",762,"Public works and other labourers, n.e.c."
H831,Public works and maintenance labourers,7621,Public works and maintenance labourers
H832,Railway and motor transport labourers,7622,Railway and motor transport labourers
I,Occupations unique to primary industry,0,Management occupations
I,Occupations unique to primary industry,8,"Natural resources, agriculture and related production occupations"
I0,Occupations unique to agriculture excluding labourers,07-09,"Middle management occupations in trades, transportation, production and utilities"
I0,Occupations unique to agriculture excluding labourers,82,"Supervisors and technical occupations in natural resources, agriculture and related production"
I0,Occupations unique to agriculture excluding labourers,84,"Workers in natural resources, agriculture and related production"
I01,"Contractors, operators and supervisors in agriculture, horticulture and aquaculture",082,"Managers in agriculture, horticulture and aquaculture"
I01,"Contractors, operators and supervisors in agriculture, horticulture and aquaculture",825,"Contractors and supervisors, agriculture, horticulture and related operations and services"
I011,Farmers and farm managers,0821,Managers in agriculture
I012,Agricultural and related service contractors and managers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
I013,Farm supervisors and specialized livestock workers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
I014,Nursery and greenhouse operators and managers,0822,Managers in horticulture
I015,Landscaping and grounds maintenance contractors and managers,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
I016,"Supervisors, landscape and horticulture",8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
I017,Aquaculture operators and managers,0823,Managers in aquaculture
I02,Agriculture and horticulture workers,843,Agriculture and horticulture workers
I021,General farm workers,8431,General farm workers
I022,Nursery and greenhouse workers,8432,Nursery and greenhouse workers
I1,"Occupations unique to forestry operations, mining, oil and gas extraction and fishing, excluding labourers",82,"Supervisors and technical occupations in natural resources, agriculture and related production"
I1,"Occupations unique to forestry operations, mining, oil and gas extraction and fishing, excluding labourers",84,"Workers in natural resources, agriculture and related production"
I11,"Supervisors, logging and forestry",821,"Supervisors, logging and forestry"
I111,"Supervisors, logging and forestry",8211,"Supervisors, logging and forestry"
I12,"Supervisors, mining, oil and gas",822,"Contractors and supervisors, mining, oil and gas"
I121,"Supervisors, mining and quarrying",8221,"Supervisors, mining and quarrying"
I122,"Supervisors, oil and gas drilling and service",8222,"Contractors and supervisors, oil and gas drilling and services"
I13,"Underground miners, oil and gas drillers and related workers",823,"Underground miners, oil and gas drillers and related occupations"
I131,Underground production and development miners,8231,Underground production and development miners
I132,"Oil and gas well drillers, servicers, testers and related workers",8232,"Oil and gas well drillers, servicers, testers and related workers"
I14,Mine service workers and operators in oil and gas drilling,841,Mine service workers and operators in oil and gas drilling
I141,Underground mine service and support workers,8411,Underground mine service and support workers
I142,Oil and gas well drilling workers and services operators,8412,Oil and gas well drilling and related workers and services operators
I15,Logging machinery operators,824,Logging machinery operators
I151,Logging machinery operators,8241,Logging machinery operators
I16,Logging and forestry workers,842,Logging and forestry workers
I161,Chain saw and skidder operators,8421,Chain saw and skidder operators
I162,Silviculture and forestry workers,8422,Silviculture and forestry workers
I17,Fishing vessel masters and skippers and fishermen/women,826,Fishing vessel masters and fishermen/women
I171,Fishing masters and officers,8261,Fishing masters and officers
I172,Fishing vessel skippers and fishermen/women,8262,Fishermen/women
I18,Other fishing and trapping occupations,844,Other workers in fishing and trapping and hunting occupations
I181,Fishing vessel deckhands,8441,Fishing vessel deckhands
I182,Trappers and hunters,8442,Trappers and hunters
I2,Primary production labourers,86,"Harvesting, landscaping and natural resources labourers"
I21,Primary production labourers,861,"Harvesting, landscaping and natural resources labourers"
I211,Harvesting labourers,8611,Harvesting labourers
I212,Landscaping and grounds maintenance labourers,8612,Landscaping and grounds maintenance labourers
I213,Aquaculture and marine harvest labourers,8613,Aquaculture and marine harvest labourers
I214,Mine labourers,8614,Mine labourers
I215,"Oil and gas drilling, servicing and related labourers",8615,"Oil and gas drilling, servicing and related labourers"
I216,Logging and forestry labourers,8616,Logging and forestry labourers
J,"Occupations unique to processing, manufacturing and utilities",9,Occupations in manufacturing and utilities
J0,Supervisors in manufacturing,92,"Processing, manufacturing and utilities supervisors and central control operators"
J01,"Supervisors, processing occupations",921,"Supervisors, processing and manufacturing occupations"
J011,"Supervisors, mineral and metal processing",9211,"Supervisors, mineral and metal processing"
J012,"Supervisors, petroleum, gas and chemical processing and utilities",9212,"Supervisors, petroleum, gas and chemical processing and utilities"
J013,"Supervisors, food, beverage and tobacco processing",9213,"Supervisors, food, beverage and associated products processing"
J014,"Supervisors, plastic and rubber products manufacturing",9214,"Supervisors, plastic and rubber products manufacturing"
J015,"Supervisors, forest products processing",9215,"Supervisors, forest products processing"
J016,"Supervisors, textile processing",9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
J02,"Supervisors, assembly and fabrication",921,"Supervisors, processing and manufacturing occupations"
J02,"Supervisors, assembly and fabrication",922,"Supervisors, assembly and fabrication"
J021,"Supervisors, motor vehicle assembling",9221,"Supervisors, motor vehicle assembling"
J022,"Supervisors, electronics manufacturing",9222,"Supervisors, electronics manufacturing"
J023,"Supervisors, electrical products manufacturing",9223,"Supervisors, electrical products manufacturing"
J024,"Supervisors, furniture and fixtures manufacturing",9224,"Supervisors, furniture and fixtures manufacturing"
J025,"Supervisors, fabric, fur and leather products manufacturing",9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
J026,"Supervisors, other mechanical and metal products manufacturing",9226,"Supervisors, other mechanical and metal products manufacturing"
J027,"Supervisors, other products manufacturing and assembly",9227,"Supervisors, other products manufacturing and assembly"
J1,Machine operators in manufacturing,92,"Processing, manufacturing and utilities supervisors and central control operators"
J1,Machine operators in manufacturing,94,Processing and manufacturing machine operators and related production workers
J1,Machine operators in manufacturing,95,Assemblers in manufacturing
J11,Central control and process operators in manufacturing and processing,923,Central control and process operators in processing and manufacturing
J11,Central control and process operators in manufacturing and processing,943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing
J111,"Central control and process operators, mineral and metal processing",9231,"Central control and process operators, mineral and metal processing"
J112,"Petroleum, gas and chemical process operators",9232,"Petroleum, gas and chemical process operators"
J113,Pulping control operators,9235,"Pulping, papermaking and coating control operators"
J113,Pulping control operators,9432,Pulp mill machine operators
J114,Papermaking and coating control operators,9235,"Pulping, papermaking and coating control operators"
J114,Papermaking and coating control operators,9433,Papermaking and finishing machine operators
J12,Machine operators and related workers in metal and mineral products processing,941,Machine operators and related workers in mineral and metal products processing and manufacturing
J121,"Machine operators, mineral and metal processing",9411,"Machine operators, mineral and metal processing"
J122,Foundry workers,9412,Foundry workers
J123,Glass forming and finishing machine operators and glass cutters,9413,Glass forming and finishing machine operators and glass cutters
J124,"Concrete, clay and stone forming operators",9414,"Concrete, clay and stone forming operators"
J125,"Inspectors and testers, mineral and metal processing",9415,"Inspectors and testers, mineral and metal processing"
J13,"Machine operators and related workers in chemical, plastic and rubber processing",924,Utilities equipment operators and controllers
J13,"Machine operators and related workers in chemical, plastic and rubber processing",942,"Machine operators and related workers in chemical, plastic and rubber processing"
J131,Chemical plant machine operators,9421,Chemical plant machine operators
J132,Plastics processing machine operators,9422,Plastics processing machine operators
J133,Rubber processing machine operators and related workers,9423,Rubber processing machine operators and related workers
J134,Water and waste plant operators,9243,Water and waste treatment plant operators
J14,Machine operators and related workers in pulp and paper production and wood processing,943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing
J141,Sawmill machine operators,9431,Sawmill machine operators
J142,Pulp mill machine operators,9432,Pulp mill machine operators
J143,Papermaking and finishing machine operators,9433,Papermaking and finishing machine operators
J144,Other wood processing machine operators,9434,Other wood processing machine operators
J145,Paper converting machine operators,9435,Paper converting machine operators
J146,Lumber graders and other wood processing inspectors and graders,9436,Lumber graders and other wood processing inspectors and graders
J15,Machine operators and related workers in textile processing,944,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing"
J151,Textile fibre and yarn preparation machine operators,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
J152,"Weavers, knitters and other fabric-making occupations",9442,"Weavers, knitters and other fabric making occupations"
