nocs2006,nocs2006_title,noc2011,noc2011_title
B1,Finance and insurance administration occupations,13,"Finance, insurance and related business administrative occupations"
B1,Finance and insurance administration occupations,62,Retail sales supervisors and specialized sales occupations
B11,Finance and insurance administrative occupations,131,"Finance, insurance and related business administrative occupations"
B11,Finance and insurance administrative occupations,623,"Insurance, real estate and financial sales occupations"
B111,Bookkeepers,1311,Accounting technicians and bookkeepers
B112,Loan officers,6235,Financial sales representatives
B113,Insurance adjusters and claims examiners,1312,Insurance adjusters and claims examiners
B114,Insurance underwriters,1313,Insurance underwriters
B115,"Assessors, valuators and appraisers",1314,"Assessors, valuators and appraisers"
B116,"Customs, ship and other brokers",1315,"Customs, ship and other brokers"
B2,Secretaries,12,Administrative and financial supervisors and administrative occupations
B21,"Secretaries, recorders and transcriptionists",124,"Office administrative assistants - general, legal and medical"
B21,"Secretaries, recorders and transcriptionists",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
B211,Secretaries (except legal and medical),1241,Administrative assistants
B212,Legal secretaries,1242,Legal administrative assistants
B213,Medical secretaries,1243,Medical administrative assistants
B214,Court recorders and medical transcriptionists,1251,"Court reporters, medical transcriptionists and related occupations"
B3,Administrative and regulatory occupations,12,Administrative and financial supervisors and administrative occupations
B31,Administrative and regulatory occupations,122,Administrative and regulatory occupations
B311,Administrative officers,1221,Administrative officers
B312,Executive assistants,1222,Executive assistants
B313,Personnel and recruitment officers,1223,Human resources and recruitment officers
B314,Property administrators,1224,Property administrators
B315,Purchasing agents and officers,1225,Purchasing agents and officers
B316,Conference and event planners,1226,Conference and event planners
B317,Court officers and justices of the peace,1227,Court officers and justices of the peace
B318,"Immigration, employment insurance and revenue officers",1228,"Employment insurance, immigration, border services and revenue officers"
B4,Clerical supervisors,12,Administrative and financial supervisors and administrative occupations
B4,Clerical supervisors,63,Service supervisors and specialized service occupations
B41,Clerical supervisors,121,Administrative services supervisors
B41,Clerical supervisors,125,"Court reporters, transcriptionists, records management technicians and statistical officers"
B41,Clerical supervisors,631,Service supervisors
B411,"Supervisors, general office and administrative support clerks",1211,"Supervisors, general office and administrative support workers"
B411,"Supervisors, general office and administrative support clerks",1213,"Supervisors, library, correspondence and related information workers"
B411,"Supervisors, general office and administrative support clerks",1252,Health information management occupations
B412,"Supervisors, finance and insurance clerks",1212,"Supervisors, finance and insurance office workers"
B412,"Supervisors, finance and insurance clerks",6314,Customer and information services supervisors
B413,"Supervisors, library, correspondence and related information clerks",1213,"Supervisors, library, correspondence and related information workers"
B413,"Supervisors, library, correspondence and related information clerks",6314,Customer and information services supervisors
B414,"Supervisors, mail and message distribution occupations",1214,"Supervisors, mail and message distribution occupations"
B415,"Supervisors, recording, distributing and scheduling occupations",1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations"
B5,Clerical occupations,12,Administrative and financial supervisors and administrative occupations
B5,Clerical occupations,14,Office support occupations
B5,Clerical occupations,15,"Distribution, tracking and scheduling co-ordination occupations"
B5,Clerical occupations,65,Service representatives and other customer and personal services occupations
B51,"Clerical occupations, general office skills",124,"Office administrative assistants - general, legal and medical"
B51,"Clerical occupations, general office skills",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
B51,"Clerical occupations, general office skills",141,General office workers
B51,"Clerical occupations, general office skills",145,"Library, correspondence and other clerks"
B511,General office clerks,1241,Administrative assistants
B511,General office clerks,1411,General office support workers
B511,General office clerks,1454,Survey interviewers and statistical clerks
B513,Records management and filing clerks,1252,Health information management occupations
B513,Records management and filing clerks,1253,Records management technicians
B513,Records management and filing clerks,1411,General office support workers
B514,Receptionists and switchboard operators,1414,Receptionists
B52,Office equipment operators,141,General office workers
B52,Office equipment operators,142,Office equipment operators
B522,Data entry clerks,1422,Data entry clerks
B523,Desktop publishing operators and related occupations,1423,Desktop publishing operators and related occupations
B524,Telephone operators,1414,Receptionists
B53,Finance and insurance clerks,143,"Financial, insurance and related administrative support workers"
B53,Finance and insurance clerks,655,Customer and information services representatives
B531,Accounting and related clerks,1431,Accounting and related clerks
B532,Payroll clerks,1432,Payroll clerks
B533,Customer service representatives - financial services,6551,Customer services representatives - financial institutions
B534,"Banking, insurance and other financial clerks",1434,"Banking, insurance and other financial clerks"
B535,Collectors,1435,Collectors
B54,Administrative support clerks,141,General office workers
B54,Administrative support clerks,145,"Library, correspondence and other clerks"
B541,Administrative clerks,1411,General office support workers
B541,Administrative clerks,1452,"Correspondence, publication and regulatory clerks"
B542,Personnel clerks,1415,Personnel clerks
B543,Court clerks,1416,Court clerks
B55,"Library, correspondence and related information clerks",145,"Library, correspondence and other clerks"
B55,"Library, correspondence and related information clerks",655,Customer and information services representatives
B551,Library clerks,1451,Library assistants and clerks
B552,"Correspondence, publication and related clerks",1452,"Correspondence, publication and regulatory clerks"
B553,"Customer service, information and related clerks",6552,Other customer and information services representatives
B554,Survey interviewers and statistical clerks,1454,Survey interviewers and statistical clerks
B56,Mail and message distribution occupations,151,Mail and message distribution occupations
B561,"Mail, postal and related clerks",1511,"Mail, postal and related workers"
B562,Letter carriers,1512,Letter carriers
