noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
7302,"Contractors and supervisors, heavy equipment operator crews",8342,Earthmoving and related plant operators,Heavy construction crew foremen/women
7302,"Contractors and supervisors, heavy equipment operator crews",8343,"Crane, hoist and related plant operators",Crane crew foremen/women
7302,"Contractors and supervisors, heavy equipment operator crews",9333,Freight handlers,"Longshoremen/women, stevedores and freight handlers foremen/women"
7303,"Supervisors, printing and related occupations",7321,Pre-press technicians,"Supervisors, camera, platemaking and other prepress occupations"
7303,"Supervisors, printing and related occupations",7322,Printers,"Supervisors, pressroom - printing"
7303,"Supervisors, printing and related occupations",7323,Print finishing and binding workers,"Supervisors, binding and finishing machine operators"
7303,"Supervisors, printing and related occupations",8132,Photographic products machine operators,"Supervisors, photographic and film processors"
7304,"Supervisors, railway transport operations",1324,"Supply, distribution and related managers",Stationmasters and yardmasters
7304,"Supervisors, railway transport operations",8311,Locomotive engine drivers,"Supervisors, railway transport operations (except stationmasters and yardmasters)"
7305,"Supervisors, motor transport and other ground transit operators",4323,Transport clerks,"Dispatchers, motor transport and other ground transit operators"
7305,"Supervisors, motor transport and other ground transit operators",8331,Bus and tram drivers,"Supervisors, motor transport and other ground transit operators (except dispatchers)"
7311,Construction millwrights and industrial mechanics,7215,Riggers and cable splicers,Ship riggers
7311,Construction millwrights and industrial mechanics,7224,"Metal polishers, wheel grinders and tool sharpeners",Card and napper grinders
7311,Construction millwrights and industrial mechanics,7233,Agricultural and industrial machinery mechanics and repairers,Construction millwrights and industrial mechanics (except ship riggers and card and napper grinders)
7312,Heavy-duty equipment mechanics,7233,Agricultural and industrial machinery mechanics and repairers,Heavy-duty equipment mechanics
7313,Refrigeration and air conditioning mechanics,7127,Air conditioning and refrigeration mechanics,Except contractors and supervisors and oil and solid fuel heating mechanics
7314,Railway carmen/women,7231,Motor vehicle mechanics and repairers,Railway carmen/women
7315,Aircraft mechanics and aircraft inspectors,7232,Aircraft engine mechanics and repairers,Except contractors and supervisors and aircraft engine fitters
7316,Machine fitters,7232,Aircraft engine mechanics and repairers,Aircraft engine fitters
7316,Machine fitters,7233,Agricultural and industrial machinery mechanics and repairers,Machine fitters (except aircraft engine fitters)
7318,Elevator constructors and mechanics,7412,Electrical mechanics and fitters,Elevator constructors and mechanics
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",7231,Motor vehicle mechanics and repairers,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
7322,Motor vehicle body repairers,7125,Glaziers,Automotive glass technicians
7322,Motor vehicle body repairers,7132,Spray painters and varnishers,Motor vehicle painters - motor vehicle repair
7322,Motor vehicle body repairers,7213,Sheet-metal workers,Motor vehicle body repairers
7331,Oil and solid fuel heating mechanics,7127,Air conditioning and refrigeration mechanics,Oil and solid fuel heating mechanics
7332,Appliance servicers and repairers,7412,Electrical mechanics and fitters,Appliance servicers and repairers
7333,Electrical mechanics,7412,Electrical mechanics and fitters,Electrical mechanics
7334,"Motorcycle, all-terrain vehicle and other related mechanics",7231,Motor vehicle mechanics and repairers,"Motorcycle, all-terrain vehicle and other related mechanics"
7335,Other small engine and small equipment repairers,7231,Motor vehicle mechanics and repairers,Other small engine and small equipment repairers
7361,Railway and yard locomotive engineers,8311,Locomotive engine drivers,"Except supervisors, railway transport operations"
7361,Railway and yard locomotive engineers,8312,"Railway brake, signal and switch operators",Yard and switch engineers
7362,Railway conductors and brakemen/women,5112,Transport conductors,
7362,Railway conductors and brakemen/women,8312,"Railway brake, signal and switch operators",Brakemen/women
7371,Crane operators,7215,Riggers and cable splicers,Riggers
7371,Crane operators,8343,"Crane, hoist and related plant operators","Except crane crew foremen/women and cable car, ski lift and amusement ride operators"
7372,"Drillers and blasters - surface mining, quarrying and construction",7542,Shotfirers and blasters,"Blasters and powdermen/women - surface mining, quarrying and construction"
7372,"Drillers and blasters - surface mining, quarrying and construction",8111,Miners and quarriers,"Drillers - surface mining, quarrying and construction"
7373,Water well drillers,8113,Well drillers and borers and related workers,Water well drillers
7381,Printing press operators,7322,Printers,"Except supervisors, pressroom - printing and plateless printing equipment operators"
7384,"Other trades and related occupations, n.e.c.",7113,"Stonemasons, stone cutters, splitters and carvers",Stonework patternmakers
7384,"Other trades and related occupations, n.e.c.",7114,"Concrete placers, concrete finishers and related workers",Model and mould makers - concrete products
7384,"Other trades and related occupations, n.e.c.",7119,Building frame and related trades workers not elsewhere classified,Steeplejacks and smokestack repairers
7384,"Other trades and related occupations, n.e.c.",7221,"Blacksmiths, hammersmiths and forging press workers",Blacksmiths and hammersmiths
7384,"Other trades and related occupations, n.e.c.",7222,Toolmakers and related workers,Locksmiths and gunsmiths
7384,"Other trades and related occupations, n.e.c.",7224,"Metal polishers, wheel grinders and tool sharpeners",Saw filers
7384,"Other trades and related occupations, n.e.c.",7231,Motor vehicle mechanics and repairers,Recreation vehicle technicians
7384,"Other trades and related occupations, n.e.c.",7311,Precision-instrument makers and repairers,"Calibrators, scientific instruments and scales"
7384,"Other trades and related occupations, n.e.c.",7314,Potters and related workers,Plaster pattern makers
7384,"Other trades and related occupations, n.e.c.",7316,"Sign writers, decorative painters, engravers and etchers",Glass calibrators
7384,"Other trades and related occupations, n.e.c.",7541,Underwater divers,
7384,"Other trades and related occupations, n.e.c.",7549,Craft and related workers not elsewhere classified,"Trades and related occupations, n.e.c."
7441,Residential and commercial installers and servicers,7112,Bricklayers and related workers,Interlocking stone installers
7441,Residential and commercial installers and servicers,7115,Carpenters and joiners,"Residential and commercial installers and servicers - door, windows and other wood products"
7441,Residential and commercial installers and servicers,7119,Building frame and related trades workers not elsewhere classified,Residential and commercial installers and servicers - building interior and exterior
7441,Residential and commercial installers and servicers,7122,Floor layers and tile setters,Floor sanders and finishers
7441,Residential and commercial installers and servicers,7124,Insulation workers,Weather strip installers
7441,Residential and commercial installers and servicers,7126,Plumbers and pipe fitters,"Residential and commercial installers and servicers - water, gas and sewage systems"
7441,Residential and commercial installers and servicers,7412,Electrical mechanics and fitters,Residential and commercial installers and servicers - electrical appliances
7441,Residential and commercial installers and servicers,7422,Information and communications technology installers and servicers,Residential and commercial installers and servicers - communication equipment
7441,Residential and commercial installers and servicers,7549,Craft and related workers not elsewhere classified,"Residential and commercial installers and servicers, n.e.c."
7441,Residential and commercial installers and servicers,8219,Assemblers not elsewhere classified,Curtain and furniture installers
7442,Waterworks and gas maintenance workers,7126,Plumbers and pipe fitters,Waterworks and gas maintenance workers
7444,Pest controllers and fumigators,7544,Fumigators and other pest and weed controllers,"Except contractors and supervisors, pest control and fumigation and chemical applicators - lawn and tree care"
7445,Other repairers and servicers,7234,Bicycle and related repairers,Non-motorized transport equipment repairers
7445,Other repairers and servicers,7311,Precision-instrument makers and repairers,"Surveying instrument, optical instrument, photographic equipment or other precision instrument repairers"
7445,Other repairers and servicers,7312,Musical instrument makers and tuners,Musical instrument repairers and tuners
7445,Other repairers and servicers,7412,Electrical mechanics and fitters,Other repairers and servicers - electric appliances
7445,Other repairers and servicers,7549,Craft and related workers not elsewhere classified,"Other repairers and servicers, n.e.c."
7451,Longshore workers,9333,Freight handlers,Longshore workers
7452,Material handlers,8344,Lifting truck operators,
7452,Material handlers,9321,Hand packers,Except hand packers - beverage and associated products processing
7452,Material handlers,9329,Manufacturing labourers not elsewhere classified,Material handlers in manufacturing (except hand packers)
7452,Material handlers,9333,Freight handlers,"Except supervisors, longshore workers and air transport ramp attendants"
7511,Transport truck drivers,8332,Heavy truck and lorry drivers,"Except garbage, recycling, sprinkling and salt truck drivers and aircraft refuelers"
7512,"Bus drivers, subway operators and other transit operators",8331,Bus and tram drivers,Except supervisors
7513,Taxi and limousine drivers and chauffeurs,8322,"Car, taxi and van drivers",Taxi and limousine drivers and chauffeurs
7514,Delivery and courier service drivers,8322,"Car, taxi and van drivers",Delivery and courier service drivers
7514,Delivery and courier service drivers,9623,Meter readers and vending-machine collectors,Vending machine driver-suppliers
7521,Heavy equipment operators (except crane),8342,Earthmoving and related plant operators,"Except supervisors, zamboni drivers and public works maintenance equipment operators"
7522,Public works maintenance equipment operators and related workers,8332,Heavy truck and lorry drivers,"Garbage, recycling, sprinkling and salt truck drivers"
7522,Public works maintenance equipment operators and related workers,8342,Earthmoving and related plant operators,"Except supervisors, zamboni drivers and heavy equipment operators (except crane)"
7531,Railway yard and track maintenance workers,7233,Agricultural and industrial machinery mechanics and repairers,Locomotive servicers
7531,Railway yard and track maintenance workers,8312,"Railway brake, signal and switch operators",Railway yard and track maintenance workers (except locomotive servicers)
7532,Water transport deck and engine room crew,8182,Steam engine and boiler operators,Ship stokers and ship boiler tenders
7532,Water transport deck and engine room crew,8350,Ships' deck crews and related workers,Except boat and cable ferry operators and related occupations
7533,Boat and cable ferry operators and related occupations,8350,Ships' deck crews and related workers,Boat and cable ferry operators and related occupations
7534,Air transport ramp attendants,8332,Heavy truck and lorry drivers,Aircraft refuelers
7534,Air transport ramp attendants,9112,"Cleaners and helpers in offices, hotels and other establishments",Aircraft cleaners
7534,Air transport ramp attendants,9333,Freight handlers,Air transport ramp attendants (except aircraft refuelers and cleaners)
7535,Other automotive mechanical installers and servicers,7231,Motor vehicle mechanics and repairers,Other automotive mechanical installers and servicers (except heavy equipment servicers)
7535,Other automotive mechanical installers and servicers,7233,Agricultural and industrial machinery mechanics and repairers,Heavy equipment servicers
7611,Construction trades helpers and labourers,7119,Building frame and related trades workers not elsewhere classified,Scaffold erectors and demolition workers
7611,Construction trades helpers and labourers,7126,Plumbers and pipe fitters,Pipelayers
7611,Construction trades helpers and labourers,9311,Mining and quarrying labourers,Quarry labourers
7611,Construction trades helpers and labourers,9312,Civil engineering labourers,Except road and sewer maintenance workers - public works
7611,Construction trades helpers and labourers,9313,Building construction labourers,
7612,Other trades helpers and labourers,9629,Elementary workers not elsewhere classified,Other trades helpers and labourers
7621,Public works and maintenance labourers,9312,Civil engineering labourers,Road and sewer maintenance workers - public works
7621,Public works and maintenance labourers,9611,Garbage and recycling collectors,
7621,Public works and maintenance labourers,9613,Sweepers and related labourers,Street and park sweepers
7621,Public works and maintenance labourers,9623,Meter readers and vending-machine collectors,Parking meter collectors
7622,Railway and motor transport labourers,9629,Elementary workers not elsewhere classified,Railway and motor transport labourers
8211,"Supervisors, logging and forestry",6210,Forestry and related workers,"Supervisors, logging and forestry"
8221,"Supervisors, mining and quarrying",3121,Mining supervisors,"Supervisors, mining and quarrying"
8222,"Contractors and supervisors, oil and gas drilling and services",3121,Mining supervisors,"Contractors and supervisors, oil and gas drilling and services"
8231,Underground production and development miners,7542,Shotfirers and blasters,Blasters and powdermen/women - underground mining
8231,Underground production and development miners,8111,Miners and quarriers,"Except drillers - surface mining, quarrying and construction"
8231,Underground production and development miners,8113,Well drillers and borers and related workers,Drillers - underground mining
8232,"Oil and gas well drillers, servicers, testers and related workers",8113,Well drillers and borers and related workers,"Oil and gas well drillers, servicers, testers and related workers"
8241,Logging machinery operators,8341,Mobile farm and forestry plant operators,Logging machinery operators
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",5164,Pet groomers and animal care workers,Horse trainers
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6111,Field crop and vegetable growers,"Contractors, supervisors and skilled workers - field crops and vegetables"
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6112,Tree and shrub crop growers,"Contractors, supervisors and skilled workers - fruit farms, vineyard and maple products"
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6113,"Gardeners, horticultural and nursery growers","Contractors, supervisors and skilled workers - vegetable farms, greenhouse"
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6114,Mixed crop growers,"Contractors, supervisors and skilled workers - mixed crops"
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6121,Livestock and dairy producers,"Contractors, supervisors and skilled workers - livestock and dairy farms"
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6122,Poultry producers,"Contractors, supervisors and skilled workers - poultry"
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6123,Apiarists and sericulturists,"Contractors, supervisors and skilled workers - bee farms"
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6129,Animal producers not elsewhere classified,"Contractors, supervisors and skilled workers - animal farms, n.e.c"
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",6130,Mixed crop and animal producers,"Contractors, supervisors and skilled workers - mixed crop and animal farms"
8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",6113,"Gardeners, horticultural and nursery growers","Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
8261,Fishing masters and officers,6222,Inland and coastal waters fishery workers,Fishing masters and officers - inland and coastal fishing
8261,Fishing masters and officers,6223,Deep-sea fishery workers,Fishing masters and officers - offshore fishing
8262,Fishermen/women,6222,Inland and coastal waters fishery workers,Fishermen/women - inland and coastal fishing
8262,Fishermen/women,6223,Deep-sea fishery workers,Fishermen/women - offshore fishing
8411,Underground mine service and support workers,9311,Mining and quarrying labourers,Underground mine service and support workers
8412,Oil and gas well drilling and related workers and services operators,8113,Well drillers and borers and related workers,Oil and gas well drilling and related workers and services operators
8421,Chain saw and skidder operators,6210,Forestry and related workers,"Except supervisors, timber cruisers and silviculture and forestry workers"
8421,Chain saw and skidder operators,8341,Mobile farm and forestry plant operators,Logging tractor operators
8422,Silviculture and forestry workers,5411,Fire fighters,Forest firefighters
8422,Silviculture and forestry workers,6210,Forestry and related workers,"Except supervisors, timber cruisers and chain saw and skidder operators"
8431,General farm workers,5164,Pet groomers and animal care workers,Horse breakers
8431,General farm workers,8341,Mobile farm and forestry plant operators,Farm equipment operators
8431,General farm workers,9211,Crop farm labourers,General farm workers - field crops and vegetables
8431,General farm workers,9212,Livestock farm labourers,
8431,General farm workers,9213,Mixed crop and livestock farm labourers,
8432,Nursery and greenhouse workers,9214,Garden and horticultural labourers,Except landscaping and grounds maintenance labourers
8441,Fishing vessel deckhands,6223,Deep-sea fishery workers,Trawlermen/women
8441,Fishing vessel deckhands,9216,Fishery and aquaculture labourers,Except aquaculture and marine harvest labourers
8442,Trappers and hunters,6224,Hunters and trappers,
8611,Harvesting labourers,9211,Crop farm labourers,Harvesting labourers
8612,Landscaping and grounds maintenance labourers,7544,Fumigators and other pest and weed controllers,Chemical applicators - lawn and tree care
8612,Landscaping and grounds maintenance labourers,9214,Garden and horticultural labourers,Except nursery and greenhouse workers
8613,Aquaculture and marine harvest labourers,9216,Fishery and aquaculture labourers,Aquaculture and marine harvest labourers
8614,Mine labourers,9311,Mining and quarrying labourers,Mine labourers
8615,"Oil and gas drilling, servicing and related labourers",9311,Mining and quarrying labourers,"Oil and gas drilling, servicing and related labourers"
8616,Logging and forestry labourers,9215,Forestry labourers,
9211,"Supervisors, mineral and metal processing",3122,Manufacturing supervisors,"Supervisors, mineral and metal processing"
9212,"Supervisors, petroleum, gas and chemical processing and utilities",3122,Manufacturing supervisors,"Supervisors, petroleum, gas and chemical processing and utilities"
9213,"Supervisors, food, beverage and associated products processing",3122,Manufacturing supervisors,"Supervisors, food, beverage and associated products processing"
9214,"Supervisors, plastic and rubber products manufacturing",3122,Manufacturing supervisors,"Supervisors, plastic and rubber products manufacturing"
9215,"Supervisors, forest products processing",3122,Manufacturing supervisors,"Supervisors, forest products processing"
9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",3122,Manufacturing supervisors,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
9221,"Supervisors, motor vehicle assembling",3122,Manufacturing supervisors,"Supervisors, motor vehicle assembling"
9222,"Supervisors, electronics manufacturing",3122,Manufacturing supervisors,"Supervisors, electronics manufacturing"
9223,"Supervisors, electrical products manufacturing",3122,Manufacturing supervisors,"Supervisors, electrical products manufacturing"
9224,"Supervisors, furniture and fixtures manufacturing",3122,Manufacturing supervisors,"Supervisors, furniture and fixtures manufacturing"
9226,"Supervisors, other mechanical and metal products manufacturing",3122,Manufacturing supervisors,"Supervisors, other mechanical and metal products manufacturing"
9227,"Supervisors, other products manufacturing and assembly",3122,Manufacturing supervisors,"Supervisors, other products manufacturing and assembly"
9231,"Central control and process operators, mineral and metal processing",3135,Metal production process controllers,
9231,"Central control and process operators, mineral and metal processing",3139,Process control technicians not elsewhere classified,"Central control and process operators, mineral processing"
9232,"Petroleum, gas and chemical process operators",3133,Chemical processing plant controllers,
9232,"Petroleum, gas and chemical process operators",3134,Petroleum and natural gas refining plant operators,
9235,"Pulping, papermaking and coating control operators",3139,Process control technicians not elsewhere classified,"Pulping, papermaking and coating control operators"
9241,Power engineers and power systems operators,3131,Power production plant operators,
9241,Power engineers and power systems operators,8182,Steam engine and boiler operators,"Stationary engineers, steam plant and boiler operators"
9243,Water and waste treatment plant operators,3132,Incinerator and water treatment plant operators,
9411,"Machine operators, mineral and metal processing",8112,Mineral and stone processing plant operators,Except machine operators - stone processing
9411,"Machine operators, mineral and metal processing",8121,Metal processing plant operators,
9412,Foundry workers,7211,Metal moulders and coremakers,
9413,Glass forming and finishing machine operators and glass cutters,7315,"Glass makers, cutters, grinders and finishers","Glass blowers, cutters, grinders and finishers, hand - manufacturing"
9413,Glass forming and finishing machine operators and glass cutters,8181,Glass and ceramics plant operators,"Except kiln and forming and finishing machine operators - brick, tile, clay, pottery and porcelain"
9414,"Concrete, clay and stone forming operators",7113,"Stonemasons, stone cutters, splitters and carvers",Stonecutters and carvers - manufacturing
9414,"Concrete, clay and stone forming operators",7314,Potters and related workers,Abrasive wheel moulders and pottery and porcelain moulders and casters (except artisans and kiln operators)
9414,"Concrete, clay and stone forming operators",8112,Mineral and stone processing plant operators,Machine operators - stone processing
9414,"Concrete, clay and stone forming operators",8114,"Cement, stone and other mineral products machine operators",
9414,"Concrete, clay and stone forming operators",8181,Glass and ceramics plant operators,"Kiln and forming and finishing machine operators - brick, tile, clay, pottery and porcelain"
9415,"Inspectors and testers, mineral and metal processing",7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - mineral and metal processing"
9416,Metalworking and forging machine operators,7212,Welders and flamecutters,Flame cutting machine operators - metal fabrication
9416,Metalworking and forging machine operators,7221,"Blacksmiths, hammersmiths and forging press workers",Forging machine operators
9416,Metalworking and forging machine operators,7223,Metal working machine tool setters and operators,Metalworking machine operators
9417,Machining tool operators,7223,Metal working machine tool setters and operators,Machining tool operators (except tool grinders)
9417,Machining tool operators,7224,"Metal polishers, wheel grinders and tool sharpeners",Tool grinders - metal machining
9418,Other metal products machine operators,7223,Metal working machine tool setters and operators,"Except machinists, metalworking machine operators, machine tool operators and foremen/women"
9418,Other metal products machine operators,7224,"Metal polishers, wheel grinders and tool sharpeners",Knife blade polishers and polishing machine operators - metal products
9418,Other metal products machine operators,7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - other metal products"
9418,Other metal products machine operators,8189,Stationary plant and machine operators not elsewhere classified,Wire rope sling and cable splicers
9421,Chemical plant machine operators,7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - chemical processing"
9421,Chemical plant machine operators,8131,Chemical products plant and machine operators,
9421,Chemical plant machine operators,8183,"Packing, bottling and labelling machine operators",Packaging machine operators - chemical processing
9422,Plastics processing machine operators,8142,Plastic products machine operators,
9423,Rubber processing machine operators and related workers,7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - rubber products"
9423,Rubber processing machine operators and related workers,8141,Rubber products machine operators,
9431,Sawmill machine operators,8172,Wood processing plant operators,Sawmill machine operators
9432,Pulp mill machine operators,7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - pulp"
9432,Pulp mill machine operators,8171,Pulp and papermaking plant operators,"Pulp mill machine operators (except inspectors, graders and testers)"
9433,Papermaking and finishing machine operators,7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - paper"
9433,Papermaking and finishing machine operators,8171,Pulp and papermaking plant operators,"Papermaking and finishing machine operators (except inspectors, graders and testers)"
9434,Other wood processing machine operators,7521,Wood treaters,
9434,Other wood processing machine operators,8172,Wood processing plant operators,Plywood press operators and veneer cutters
9435,Paper converting machine operators,8143,Paper products machine operators,
9436,Lumber graders and other wood processing inspectors and graders,7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - wood processing"
9437,Woodworking machine operators,7523,Woodworking-machine tool setters and operators,
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",7535,"Pelt dressers, tanners and fellmongers",Hide and pelt processing workers (except graders and machine operators)
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",8151,"Fibre preparing, spinning and winding machine operators",
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",8154,"Bleaching, dyeing and fabric cleaning machine operators",
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",8155,Fur and leather preparing machine operators,
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",8159,"Textile, fur and leather products machine operators not elsewhere classified","Folding and measuring machine tenders and printing machine operators - textile fibre and yarn, hide and pelt processing"
9442,"Weavers, knitters and other fabric making occupations",8152,Weaving and knitting machine operators,
9442,"Weavers, knitters and other fabric making occupations",8159,"Textile, fur and leather products machine operators not elsewhere classified",Braid makers and pattern punchers - textiles
9445,"Fabric, fur and leather cutters",7532,Garment and related pattern-makers and cutters,"Except patternmakers - textile, leather and fur products"
9445,"Fabric, fur and leather cutters",8156,Shoemaking and related machine operators,"Cutters, shoe parts - footwear manufacturing"
9446,Industrial sewing machine operators,7533,"Sewing, embroidery and related workers",Sewers and menders - garment manufacturing
9446,Industrial sewing machine operators,8153,Sewing machine operators,
9446,Industrial sewing machine operators,8156,Shoemaking and related machine operators,Shoe sewers
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",7531,"Tailors, dressmakers, furriers and hatters",Fur graders - manufacturing
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",7535,"Pelt dressers, tanners and fellmongers",Pelt and hide graders
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - textile and fabric manufacturing"
9461,"Process control and machine operators, food, beverage and associated products processing",7511,"Butchers, fishmongers and related food preparers",Meat salters
9461,"Process control and machine operators, food, beverage and associated products processing",7513,Dairy-products makers,
9461,"Process control and machine operators, food, beverage and associated products processing",7514,"Fruit, vegetable and related preservers",
9461,"Process control and machine operators, food, beverage and associated products processing",7516,Tobacco preparers and tobacco products makers,Except tobacco graders and samplers
9461,"Process control and machine operators, food, beverage and associated products processing",8160,Food and related products machine operators,"Machine operators - food, beverage and tobacco processing"
9461,"Process control and machine operators, food, beverage and associated products processing",8183,"Packing, bottling and labelling machine operators","Packing and bottling  machine operators - food, beverage and associated products processing"
9462,"Industrial butchers and meat cutters, poultry preparers and related workers",7511,"Butchers, fishmongers and related food preparers","Industrial butchers and meat cutters, poultry preparers and related workers"
9463,Fish and seafood plant workers,7511,"Butchers, fishmongers and related food preparers",Fish cutters and fish smokers - fish processing
9463,Fish and seafood plant workers,8160,Food and related products machine operators,Machine operators - fish processing
9465,"Testers and graders, food, beverage and associated products processing",7515,Food and beverage tasters and graders,
9465,"Testers and graders, food, beverage and associated products processing",7516,Tobacco preparers and tobacco products makers,Tobacco graders and samplers
9471,Plateless printing equipment operators,7322,Printers,Plateless printing equipment operators
9472,"Camera, platemaking and other prepress occupations",7321,Pre-press technicians,"Camera, platemaking and other prepress occupations"
9473,Binding and finishing machine operators,7323,Print finishing and binding workers,Except supervisors
9474,Photographic and film processors,8132,Photographic products machine operators,Except supervisors
9521,Aircraft assemblers and aircraft assembly inspectors,7543,Product graders and testers (excluding foods and beverages),Aircraft assembly inspectors and testers
9521,Aircraft assemblers and aircraft assembly inspectors,8211,Mechanical machinery assemblers,Aircraft assemblers
9522,"Motor vehicle assemblers, inspectors and testers",7543,Product graders and testers (excluding foods and beverages),Motor vehicle inspectors and testers
9522,"Motor vehicle assemblers, inspectors and testers",8211,Mechanical machinery assemblers,Motor vehicle assemblers
9523,"Electronics assemblers, fabricators, inspectors and testers",7543,Product graders and testers (excluding foods and beverages),Electronics inspectors and testers
9523,"Electronics assemblers, fabricators, inspectors and testers",8189,Stationary plant and machine operators not elsewhere classified,Silicon wafer fabricators
9523,"Electronics assemblers, fabricators, inspectors and testers",8212,Electrical and electronic equipment assemblers,Electronics assemblers and fabricators
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",7543,Product graders and testers (excluding foods and beverages),"Inspectors and testers -  electrical appliance, apparatus and equipment manufacturing"
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",8212,Electrical and electronic equipment assemblers,"Assemblers electrical appliance, apparatus and equipment manufacturing"
9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",7543,Product graders and testers (excluding foods and beverages),Inspectors and testers -industrial electrical motors and transformers
9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",8212,Electrical and electronic equipment assemblers,"Assemblers and fabricators, industrial electrical motors and transformers"
9526,Mechanical assemblers and inspectors,7543,Product graders and testers (excluding foods and beverages),Mechanical inspectors and testers
9526,Mechanical assemblers and inspectors,8211,Mechanical machinery assemblers,Mechanical assemblers
9527,"Machine operators and inspectors, electrical apparatus manufacturing",7543,Product graders and testers (excluding foods and beverages),Inspectors and testers -  electrical apparatus manufacturing
9527,"Machine operators and inspectors, electrical apparatus manufacturing",8212,Electrical and electronic equipment assemblers,"Machine operators, electrical apparatus manufacturing"
9531,Boat assemblers and inspectors,7543,Product graders and testers (excluding foods and beverages),Boat inspectors and testers
9531,Boat assemblers and inspectors,8219,Assemblers not elsewhere classified,Boat assemblers
9532,Furniture and fixture assemblers and inspectors,7534,Upholsterers and related workers,Mattress makers
9532,Furniture and fixture assemblers and inspectors,7543,Product graders and testers (excluding foods and beverages),"Inspectors, graders and testers - furniture and fixture"
9532,Furniture and fixture assemblers and inspectors,8219,Assemblers not elsewhere classified,Furniture and fixture assemblers
9533,Other wood products assemblers and inspectors,7543,Product graders and testers (excluding foods and beverages),Other wood products inspectors and testers
9533,Other wood products assemblers and inspectors,8219,Assemblers not elsewhere classified,Other wood products assemblers
9534,Furniture finishers and refinishers,7132,Spray painters and varnishers,Furniture finishers and refinishers
9535,"Plastic products assemblers, finishers and inspectors",7543,Product graders and testers (excluding foods and beverages),Plastic products inspectors and testers
9535,"Plastic products assemblers, finishers and inspectors",8219,Assemblers not elsewhere classified,Plastic products assemblers and finishers
9536,"Industrial painters, coaters and metal finishing process operators",7132,Spray painters and varnishers,Painters and coaters - industrial
9536,"Industrial painters, coaters and metal finishing process operators",8122,"Metal finishing, plating and coating machine operators",
9537,"Other products assemblers, finishers and inspectors",7533,"Sewing, embroidery and related workers",Umbrella makers
9537,"Other products assemblers, finishers and inspectors",7543,Product graders and testers (excluding foods and beverages),Other products inspectors and testers
9537,"Other products assemblers, finishers and inspectors",7549,Craft and related workers not elsewhere classified,Optical lens grinders and polishers  - non-prescription
9537,"Other products assemblers, finishers and inspectors",8156,Shoemaking and related machine operators,Machine operators - footwear
9537,"Other products assemblers, finishers and inspectors",8159,"Textile, fur and leather products machine operators not elsewhere classified",Hatmaking machine operators and folding machine operators - garment manufacturing
9537,"Other products assemblers, finishers and inspectors",8219,Assemblers not elsewhere classified,"Other products assemblers and finishers, n.e.c."
9611,Labourers in mineral and metal processing,9329,Manufacturing labourers not elsewhere classified,Labourers in mineral and metal processing
9612,Labourers in metal fabrication,7224,"Metal polishers, wheel grinders and tool sharpeners","Grinders, sharpeners and polishers - metal products manufacturing"
9612,Labourers in metal fabrication,9329,Manufacturing labourers not elsewhere classified,"Labourers in metal fabrication (except grinders, sharpeners and polishers)"
9613,Labourers in chemical products processing and utilities,9329,Manufacturing labourers not elsewhere classified,Labourers in chemical products processing and utilities
