noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
1213,"Supervisors, library, correspondence and related information workers",3354,Government licensing officials,"Supervisors, regulatory clerks"
1213,"Supervisors, library, correspondence and related information workers",9623,Meter readers and vending-machine collectors,"Supervisors, meter readers"
1214,"Supervisors, mail and message distribution occupations",3341,Office supervisors,Mail and postal clerks supervisors
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",3331,Clearing and forwarding agents,"Freight forwarding logisticians, shipping and receiving supervisors"
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",3341,Office supervisors,"Supervisors, production, purchasing, parts, stock shipping and receiving clerks"
1221,Administrative officers,3343,Administrative and executive secretaries,Administrative officers
1222,Executive assistants,3343,Administrative and executive secretaries,Executive assistants
1223,Human resources and recruitment officers,3333,Employment agents and contractors,
1224,Property administrators,3334,Real estate agents and property managers,Property managers
1225,Purchasing agents and officers,3323,Buyers,Purchasing agents and officers
1226,Conference and event planners,3332,Conference and event planners,
1227,Court officers and justices of the peace,3411,Legal and related associate professionals,Court officers and justices of the peace
1228,"Employment insurance, immigration, border services and revenue officers",3351,Customs and border inspectors,
1228,"Employment insurance, immigration, border services and revenue officers",3352,Government tax and excise officials,
1228,"Employment insurance, immigration, border services and revenue officers",3353,Government social benefits officials,Employment insurance officers
1241,Administrative assistants,3343,Administrative and executive secretaries,Administrative assistants
1241,Administrative assistants,4120,Secretaries (general),
1242,Legal administrative assistants,3342,Legal secretaries,
1242,Legal administrative assistants,3411,Legal and related associate professionals,Legal assistants
1243,Medical administrative assistants,3344,Medical secretaries,Except medical transcriptionists
1251,"Court reporters, medical transcriptionists and related occupations",3343,Administrative and executive secretaries,Court reporters
1251,"Court reporters, medical transcriptionists and related occupations",3344,Medical secretaries,Medical transcriptionists
1251,"Court reporters, medical transcriptionists and related occupations",4131,Typists and word processing operators,"Stenographers, reporters, transcribers and related occupations (except court reporters and medical transcriptionists)"
1252,Health information management occupations,3252,Medical records and health information technicians,Health information management occupations
1253,Records management technicians,4415,Filing and copying clerks,Records management technicians
1254,Statistical officers and related research support occupations,3314,"Statistical, mathematical and related associate professionals",
