noc2006,noc2006_title,noc2011,noc2011_title
643,Occupations in Travel and Accommodation,652,Occupations in travel and accommodation
644,Tour and Recreational Guides and Casino Occupations,631,Service supervisors
644,Tour and Recreational Guides and Casino Occupations,653,Tourism and amusement services occupations
645,Occupations in Food and Beverage Service,651,Occupations in food and beverage service
645,Occupations in Food and Beverage Service,652,Occupations in travel and accommodation
645,Occupations in Food and Beverage Service,653,Tourism and amusement services occupations
645,Occupations in Food and Beverage Service,654,Security guards and related security service occupations
645,Occupations in Food and Beverage Service,655,Customer and information services representatives
645,Occupations in Food and Beverage Service,656,Other occupations in personal service
646,Other Occupations in Protective Service,431,Occupations in front-line public protection services
646,Other Occupations in Protective Service,442,Legal and public protection support occupations
646,Other Occupations in Protective Service,654,Security guards and related security service occupations
647,Childcare and Home Support Workers,441,Home care providers and educational support occupations
648,Other Occupations in Personal Service,656,Other occupations in personal service
661,Cashiers,661,Cashiers
662,Other Sales and Related Occupations,662,Other sales support and related occupations
662,Other Sales and Related Occupations,671,"Food counter attendants, kitchen helpers and related support occupations"
664,"Food Counter Attendants, Kitchen Helpers and Related Occupations",671,"Food counter attendants, kitchen helpers and related support occupations"
665,Security Guards and Related Occupations,654,Security guards and related security service occupations
666,Cleaners,673,Cleaners
667,"Other Occupations in Travel, Accommodation, Amusement and Recreation",672,"Support occupations in accommodation, travel and amusement services"
668,Other Elemental Service Occupations,674,"Other service support and related occupations, n.e.c."
721,"Contractors and Supervisors, Trades and Related Workers",720,"Contractors and supervisors, industrial, electrical and construction trades and related workers"
721,"Contractors and Supervisors, Trades and Related Workers",730,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators"
722,"Supervisors, Railway and Motor Transportation Occupations",730,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators"
723,Machinists and Related Occupations,723,"Machining, metal forming, shaping and erecting trades"
724,Electrical Trades and Telecommunication Occupations,724,Electrical trades and electrical power line and telecommunications workers
726,"Metal Forming, Shaping and Erecting Trades",723,"Machining, metal forming, shaping and erecting trades"
726,"Metal Forming, Shaping and Erecting Trades",738,"Printing press operators and other trades and related occupations, n.e.c."
733,Other Mechanics,733,Other mechanics and related repairers
734,"Upholsterers, Tailors, Shoe Repairers, Jewellers and Related Occupations",634,Specialized occupations in personal and customer services
735,Stationary Engineers and Power Station and System Operators,924,Utilities equipment operators and controllers
738,"Printing Press Operators, Commercial Divers and Other Trades and Related Occupations, n.e.c.",738,"Printing press operators and other trades and related occupations, n.e.c."
741,Motor Vehicle and Transit Drivers,751,Motor vehicle and transit drivers
742,Heavy Equipment Operators,752,Heavy equipment operators
743,Other Transport Equipment Operators and Related Workers,753,Other transport equipment operators and related maintenance workers
744,"Other Installers, Repairers and Servicers",744,"Other installers, repairers and servicers"
744,"Other Installers, Repairers and Servicers",753,Other transport equipment operators and related maintenance workers
745,Longshore Workers and Material Handlers,672,"Support occupations in accommodation, travel and amusement services"
745,Longshore Workers and Material Handlers,745,Longshore workers and material handlers
761,Trades Helpers and Labourers,752,Heavy equipment operators
761,Trades Helpers and Labourers,761,Trades helpers and labourers
822,"Supervisors, Mining, Oil and Gas",822,"Contractors and supervisors, mining, oil and gas"
823,"Underground Miners, Oil and Gas Drillers and Related Workers",823,"Underground miners, oil and gas drillers and related occupations"
825,"Contractors, Operators and Supervisors in Agriculture, Horticulture and Aquaculture",082,"Managers in agriculture, horticulture and aquaculture"
825,"Contractors, Operators and Supervisors in Agriculture, Horticulture and Aquaculture",825,"Contractors and supervisors, agriculture, horticulture and related operations and services"
826,Fishing Vessel Masters and Skippers and Fishermen/women,826,Fishing vessel masters and fishermen/women
844,Other Fishing and Trapping Occupations,844,Other workers in fishing and trapping and hunting occupations
861,Primary Production Labourers,861,"Harvesting, landscaping and natural resources labourers"
921,"Supervisors, Processing Occupations",921,"Supervisors, processing and manufacturing occupations"
922,"Supervisors, Assembly and Fabrication",921,"Supervisors, processing and manufacturing occupations"
922,"Supervisors, Assembly and Fabrication",922,"Supervisors, assembly and fabrication"
923,Central Control and Process Operators in Manufacturing and Processing,923,Central control and process operators in processing and manufacturing
923,Central Control and Process Operators in Manufacturing and Processing,943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing
923,Central Control and Process Operators in Manufacturing and Processing,924,Utilities equipment operators and controllers
941,Machine Operators and Related Workers in Metal and Mineral Products Processing,941,Machine operators and related workers in mineral and metal products processing and manufacturing
942,"Machine Operators and Related Workers in Chemical, Plastic and Rubber Processing",924,Utilities equipment operators and controllers
942,"Machine Operators and Related Workers in Chemical, Plastic and Rubber Processing",942,"Machine operators and related workers in chemical, plastic and rubber processing"
943,Machine Operators and Related Workers in Pulp and Paper Production and Wood Processing,943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing
944,Machine Operators and Related Workers in Textile Processing,944,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing"
945,"Machine Operators and Related Workers in Fabric, Fur and Leather Products Manufacturing",944,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing"
946,"Machine Operators and Related Workers in Food, Beverage and Tobacco Processing",946,"Machine operators and related workers in food, beverage and associated products processing"
947,Printing Machine Operators and Related Occupations,947,Printing equipment operators and related occupations
948,"Mechanical, Electrical and Electronics Assemblers",952,"Mechanical, electrical and electronics assemblers"
949,Other Assembly and Related Occupations,953,Other assembly and related occupations
951,"Machining, Metalworking, Woodworking and Related Machine Operators",941,Machine operators and related workers in mineral and metal products processing and manufacturing
951,"Machining, Metalworking, Woodworking and Related Machine Operators",943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing
951,"Machining, Metalworking, Woodworking and Related Machine Operators",953,Other assembly and related occupations
0011,Legislators,0011,Legislators
0011,Legislators,0012,Senior government managers and officials
0012,Senior Government Managers and Officials,0012,Senior government managers and officials
0014,"Senior Managers - Health, Education, Social and Community Services and Membership Organizations",0014,"Senior managers - health, education, social and community services and membership organizations"
0015,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c.",0014,"Senior managers - health, education, social and community services and membership organizations"
0015,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c.",0015,"Senior managers - trade, broadcasting and other services, n.e.c."
0016,"Senior Managers - Goods Production, Utilities, Transportation and Construction",0016,"Senior managers - construction, transportation, production and utilities"
0123,Other Business Services Managers,0124,"Advertising, marketing and public relations managers"
0123,Other Business Services Managers,0125,Other business services managers
0312,Administrators - Post-Secondary Education and Vocational Training,0421,Administrators - post-secondary education and vocational training
0313,School Principals and Administrators of Elementary and Secondary Education,0422,School principals and administrators of elementary and secondary education
0314,"Managers in Social, Community and Correctional Services",0423,"Managers in social, community and correctional services"
,,0421,Administrators - post-secondary education and vocational training
,,0422,School principals and administrators of elementary and secondary education
,,0423,"Managers in social, community and correctional services"
,,0431,Commissioned police officers
,,0432,Fire chiefs and senior firefighting officers
,,0433,Commissioned officers of the Canadian Forces
,,0601,Corporate sales managers
0611,"Sales, Marketing and Advertising Managers",0124,"Advertising, marketing and public relations managers"
0611,"Sales, Marketing and Advertising Managers",0601,Corporate sales managers
0611,"Sales, Marketing and Advertising Managers",0621,Retail and wholesale trade managers
0611,"Sales, Marketing and Advertising Managers",1123,"Professional occupations in advertising, marketing and public relations"
0621,Retail Trade Managers,0124,"Advertising, marketing and public relations managers"
0621,Retail Trade Managers,0601,Corporate sales managers
0621,Retail Trade Managers,0621,Retail and wholesale trade managers
0641,Commissioned Police Officers,0431,Commissioned police officers
0642,Fire Chiefs and Senior Firefighting Officers,0432,Fire chiefs and senior firefighting officers
0643,"Commissioned Officers, Armed Forces",0433,Commissioned officers of the Canadian Forces
0651,Other Services Managers,0651,"Managers in customer and personal services, n.e.c."
0712,Residential Home Builders and Renovators,0712,Home building and renovation managers
0713,Transportation Managers,0731,Managers in transportation
0721,Facility Operation and Maintenance Managers,0714,Facility operation and maintenance managers
0721,Facility Operation and Maintenance Managers,0731,Managers in transportation
0811,Primary Production Managers (Except Agriculture),0811,Managers in natural resources production and fishing
,,0821,Managers in agriculture
,,0822,Managers in horticulture
,,0823,Managers in aquaculture
1121,Specialists in Human Resources,1121,Human resources professionals
1122,Professional Occupations in Business Services to Management,1122,Professional occupations in business management consulting
1122,Professional Occupations in Business Services to Management,1123,"Professional occupations in advertising, marketing and public relations"
1211,"Supervisors, General Office and Administrative Support Clerks",1211,"Supervisors, general office and administrative support workers"
1211,"Supervisors, General Office and Administrative Support Clerks",1213,"Supervisors, library, correspondence and related information workers"
1211,"Supervisors, General Office and Administrative Support Clerks",1252,Health information management occupations
1212,"Supervisors, Finance and Insurance Clerks",1212,"Supervisors, finance and insurance office workers"
1212,"Supervisors, Finance and Insurance Clerks",6314,Customer and information services supervisors
1213,"Supervisors, Library, Correspondence and Related Information Clerks",1213,"Supervisors, library, correspondence and related information workers"
1213,"Supervisors, Library, Correspondence and Related Information Clerks",6314,Customer and information services supervisors
1215,"Supervisors, Recording, Distributing and Scheduling Occupations",1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations"
1223,Personnel and Recruitment Officers,1223,Human resources and recruitment officers
1228,"Immigration, Employment Insurance and Revenue Officers",1228,"Employment insurance, immigration, border services and revenue officers"
,,1251,"Court reporters, medical transcriptionists and related occupations"
,,1252,Health information management occupations
,,1253,Records management technicians
,,1254,Statistical officers and related research support occupations
1231,Bookkeepers,1311,Accounting technicians and bookkeepers
1232,Loan Officers,6235,Financial sales representatives
1233,Insurance Adjusters and Claims Examiners,1312,Insurance adjusters and claims examiners
1234,Insurance Underwriters,1313,Insurance underwriters
1235,"Assessors, Valuators and Appraisers",1314,"Assessors, valuators and appraisers"
1236,"Customs, Ship and Other Brokers",1315,"Customs, ship and other brokers"
1241,Secretaries (Except Legal and Medical),1241,Administrative assistants
1242,Legal Secretaries,1242,Legal administrative assistants
1243,Medical Secretaries,1243,Medical administrative assistants
1244,Court Recorders and Medical Transcriptionists,1251,"Court reporters, medical transcriptionists and related occupations"
1411,General Office Clerks,1241,Administrative assistants
1411,General Office Clerks,1411,General office support workers
1411,General Office Clerks,1454,Survey interviewers and statistical clerks
1413,Records Management and Filing Clerks,1252,Health information management occupations
1413,Records Management and Filing Clerks,1253,Records management technicians
1413,Records Management and Filing Clerks,1411,General office support workers
1414,Receptionists and Switchboard Operators,1414,Receptionists
,,1415,Personnel clerks
,,1416,Court clerks
1424,Telephone Operators,1414,Receptionists
1433,Customer Service Representatives - Financial Services,6551,Customer services representatives - financial institutions
1441,Administrative Clerks,1411,General office support workers
1441,Administrative Clerks,1452,"Correspondence, publication and regulatory clerks"
1442,Personnel Clerks,1415,Personnel clerks
1443,Court Clerks,1416,Court clerks
1451,Library Clerks,1451,Library assistants and clerks
1452,"Correspondence, Publication and Related Clerks",1452,"Correspondence, publication and regulatory clerks"
1453,"Customer Service, Information and Related Clerks",6552,Other customer and information services representatives
1454,Survey Interviewers and Statistical Clerks,1454,Survey interviewers and statistical clerks
1461,"Mail, Postal and Related Clerks",1511,"Mail, postal and related workers"
1462,Letter Carriers,1512,Letter carriers
1463,"Couriers, Messengers and Door-to-Door Distributors",1513,"Couriers, messengers and door-to-door distributors"
1471,Shippers and Receivers,1521,Shippers and receivers
1472,Storekeepers and Parts Clerks,1522,Storekeepers and partspersons
1473,Production Clerks,1523,Production logistics co-ordinators
1474,Purchasing and Inventory Clerks,1524,Purchasing and inventory control workers
1475,Dispatchers and Radio Operators,1525,Dispatchers
1476,Transportation Route and Crew Schedulers,1526,Transportation route and crew schedulers
2111,Physicists and Astronomers,2111,Physicists and astronomers
2113,"Geologists, Geochemists and Geophysicists",2113,Geoscientists and oceanographers
2114,Meteorologists,2111,Physicists and astronomers
2114,Meteorologists,2114,Meteorologists and climatologists
2161,"Mathematicians, Statisticians and Actuaries",1254,Statistical officers and related research support occupations
2161,"Mathematicians, Statisticians and Actuaries",2161,"Mathematicians, statisticians and actuaries"
2213,Meteorological Technicians,2255,Technical occupations in geomatics and meteorology
2255,Mapping and Related Technologists and Technicians,2255,Technical occupations in geomatics and meteorology
2261,Non-Destructive Testers and Inspectors,2261,Non-destructive testers and inspection technicians
2272,Air Traffic Control and Related Occupations,2272,Air traffic controllers and related occupations
2283,Systems Testing Technicians,2283,Information systems testing technicians
,,3011,Nursing co-ordinators and supervisors
,,3012,Registered nurses and registered psychiatric nurses
,,3124,Allied primary health practitioners
3123,Other Professional Occupations in Health Diagnosing and Treating,3125,Other professional occupations in health diagnosing and treating
3144,Other Professional Occupations in Therapy and Assessment,3144,Other professional occupations in therapy and assessment
3151,Head Nurses and Supervisors,3011,Nursing co-ordinators and supervisors
3152,Registered Nurses,3012,Registered nurses and registered psychiatric nurses
3152,Registered Nurses,3124,Allied primary health practitioners
3211,Medical Laboratory Technologists and Pathologists' Assistants,3211,Medical laboratory technologists
3211,Medical Laboratory Technologists and Pathologists' Assistants,3212,Medical laboratory technicians and pathologists' assistants
3212,Medical Laboratory Technicians,3212,Medical laboratory technicians and pathologists' assistants
