nocs2006,nocs2006_title,soc2010,soc2010_title
A322,Administrators - post-secondary education and vocational training,11-9039,"Education Administrators, All Other"
A323,School principals and administrators of elementary and secondary education,11-1011,Chief Executives
A323,School principals and administrators of elementary and secondary education,11-9032,"Education Administrators, Elementary and Secondary School"
A324,"Managers in social, community and correctional services",11-9031,"Education Administrators, Preschool and Childcare Center/Program"
A324,"Managers in social, community and correctional services",11-9151,Social and Community Service Managers
A324,"Managers in social, community and correctional services",21-2021,"Directors, Religious Activities and Education"
A331,Government managers - health and social policy development and program administration,11-3011,Administrative Services Managers
A332,"Government managers - economic analysis, policy development and program administration",11-3011,Administrative Services Managers
A333,Government managers - education policy development and program administration,11-3011,Administrative Services Managers
A334,Other managers in public administration,11-1021,General and Operations Managers
A334,Other managers in public administration,11-3011,Administrative Services Managers
A334,Other managers in public administration,11-9161,Emergency Management Directors
A341,"Library, archive, museum and art gallery managers",11-1021,General and Operations Managers
A342,"Managers - publishing, motion pictures, broadcasting and performing arts",11-1021,General and Operations Managers
A343,"Recreation, sports and fitness program and service directors",11-9071,Gaming Managers
A343,"Recreation, sports and fitness program and service directors",11-9199,"Managers, All Other"
A351,Commissioned police officers,11-1021,General and Operations Managers
A351,Commissioned police officers,33-1012,First-Line Supervisors of Police and Detectives
A352,Fire chiefs and senior firefighting officers,11-1021,General and Operations Managers
A352,Fire chiefs and senior firefighting officers,33-2021,Fire Inspectors and Investigators
A353,"Commissioned officers, armed forces",11-1021,General and Operations Managers
A353,"Commissioned officers, armed forces",55-1011,Air Crew Officers
A353,"Commissioned officers, armed forces",55-1012,Aircraft Launch and Recovery Officers
A353,"Commissioned officers, armed forces",55-1013,Armored Assault Vehicle Officers
A353,"Commissioned officers, armed forces",55-1014,Artillery and Missile Officers
A353,"Commissioned officers, armed forces",55-1015,Command and Control Center Officers
A353,"Commissioned officers, armed forces",55-1016,Infantry Officers
A353,"Commissioned officers, armed forces",55-1017,Special Forces Officers
A353,"Commissioned officers, armed forces",55-1019,"Military Officer Special and Tactical Operations Leaders, All Other"
A361,Other services managers,11-9199,"Managers, All Other"
A371,Construction managers,11-9021,Construction Managers
A371,Construction managers,11-9199,"Managers, All Other"
A371,Construction managers,13-1199,"Business Operations Specialists, All Other"
A371,Construction managers,15-1199,"Computer Occupations, All Other"
A372,Residential home builders and renovators,11-9021,Construction Managers
A373,Transportation managers,11-3071,"Transportation, Storage, and Distribution Managers"
A381,Primary production managers (except agriculture),11-1021,General and Operations Managers
A381,Primary production managers (except agriculture),11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
A391,Manufacturing managers,11-3051,Industrial Production Managers
A391,Manufacturing managers,13-1081,Logisticians
A392,Utilities managers,11-1021,General and Operations Managers
A392,Utilities managers,11-3051,Industrial Production Managers
B011,Financial auditors and accountants,13-2011,Accountants and Auditors
B012,Financial and investment analysts,13-2051,Financial Analysts
B012,Financial and investment analysts,13-2099,"Financial Specialists, All Other"
B013,"Securities agents, investment dealers and brokers",41-3031,"Securities, Commodities, and Financial Services Sales Agents"
B014,Other financial officers,13-2052,Personal Financial Advisors
B014,Other financial officers,13-2061,Financial Examiners
B014,Other financial officers,13-2072,Loan Officers
B014,Other financial officers,13-2099,"Financial Specialists, All Other"
B021,Specialists in human resources,13-1041,Compliance Officers
B021,Specialists in human resources,13-1075,Labor Relations Specialists
B021,Specialists in human resources,13-1141,"Compensation, Benefits, and Job Analysis Specialists"
B021,Specialists in human resources,13-1151,Training and Development Specialists
B021,Specialists in human resources,23-1022,"Arbitrators, Mediators, and Conciliators"
B022,Professional occupations in business services to management,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
B022,Professional occupations in business services to management,13-1111,Management Analysts
B022,Professional occupations in business services to management,13-1131,Fundraisers
B022,Professional occupations in business services to management,13-1161,Market Research Analysts and Marketing Specialists
B022,Professional occupations in business services to management,27-3031,Public Relations Specialists
B022,Professional occupations in business services to management,41-3011,Advertising Sales Agents
B111,Bookkeepers,43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
B112,Loan officers,13-2041,Credit Analysts
B112,Loan officers,13-2071,Credit Counselors
B112,Loan officers,13-2072,Loan Officers
B112,Loan officers,43-4131,Loan Interviewers and Clerks
B112,Loan officers,43-4141,New Accounts Clerks
B113,Insurance adjusters and claims examiners,13-1031,"Claims Adjusters, Examiners, and Investigators"
B113,Insurance adjusters and claims examiners,13-1032,"Insurance Appraisers, Auto Damage"
B114,Insurance underwriters,13-2053,Insurance Underwriters
B115,"Assessors, valuators and appraisers",13-2021,Appraisers and Assessors of Real Estate
B116,"Customs, ship and other brokers",13-1199,"Business Operations Specialists, All Other"
B211,Secretaries (except legal and medical),43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
B212,Legal secretaries,43-6012,Legal Secretaries
B213,Medical secretaries,31-9094,Medical Transcriptionists
B213,Medical secretaries,43-6013,Medical Secretaries
B214,Court recorders and medical transcriptionists,23-2091,Court Reporters
B214,Court recorders and medical transcriptionists,31-9094,Medical Transcriptionists
B214,Court recorders and medical transcriptionists,43-9199,"Office and Administrative Support Workers, All Other"
B311,Administrative officers,11-3011,Administrative Services Managers
B311,Administrative officers,13-2031,Budget Analysts
B311,Administrative officers,25-1191,Graduate Teaching Assistants
B311,Administrative officers,43-1011,First-Line Supervisors of Office and Administrative Support Workers
B311,Administrative officers,43-6011,Executive Secretaries and Executive Administrative Assistants
B312,Executive assistants,43-6011,Executive Secretaries and Executive Administrative Assistants
B313,Personnel and recruitment officers,13-1071,Human Resources Specialists
B313,Personnel and recruitment officers,13-1074,Farm Labor Contractors
B314,Property administrators,11-9141,"Property, Real Estate, and Community Association Managers"
B314,Property administrators,41-9022,Real Estate Sales Agents
B315,Purchasing agents and officers,13-1021,"Buyers and Purchasing Agents, Farm Products"
B315,Purchasing agents and officers,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
B316,Conference and event planners,13-1121,"Meeting, Convention, and Event Planners"
B317,Court officers and justices of the peace,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
B317,Court officers and justices of the peace,43-4031,"Court, Municipal, and License Clerks"
B318,"Immigration, employment insurance and revenue officers",13-2081,"Tax Examiners and Collectors, and Revenue Agents"
B318,"Immigration, employment insurance and revenue officers",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
B318,"Immigration, employment insurance and revenue officers",33-3051,Police and Sheriff's Patrol Officers
B318,"Immigration, employment insurance and revenue officers",43-4061,"Eligibility Interviewers, Government Programs"
B411,"Supervisors, general office and administrative support clerks",29-2071,Medical Records and Health Information Technicians
B411,"Supervisors, general office and administrative support clerks",29-9099,"Healthcare Practitioners and Technical Workers, All Other"
B411,"Supervisors, general office and administrative support clerks",43-1011,First-Line Supervisors of Office and Administrative Support Workers
B412,"Supervisors, finance and insurance clerks",43-1011,First-Line Supervisors of Office and Administrative Support Workers
B413,"Supervisors, library, correspondence and related information clerks",43-1011,First-Line Supervisors of Office and Administrative Support Workers
B414,"Supervisors, mail and message distribution occupations",43-1011,First-Line Supervisors of Office and Administrative Support Workers
B415,"Supervisors, recording, distributing and scheduling occupations",43-1011,First-Line Supervisors of Office and Administrative Support Workers
B415,"Supervisors, recording, distributing and scheduling occupations",53-1011,Aircraft Cargo Handling Supervisors
B415,"Supervisors, recording, distributing and scheduling occupations",53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
B415,"Supervisors, recording, distributing and scheduling occupations",53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
B511,General office clerks,43-4071,File Clerks
B511,General office clerks,43-4111,"Interviewers, Except Eligibility and Loan"
B511,General office clerks,43-4199,"Information and Record Clerks, All Other"
B511,General office clerks,43-5041,"Meter Readers, Utilities"
B511,General office clerks,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
B511,General office clerks,43-9022,Word Processors and Typists
B511,General office clerks,43-9061,"Office Clerks, General"
B511,General office clerks,43-9071,"Office Machine Operators, Except Computer"
B511,General office clerks,43-9111,Statistical Assistants
B511,General office clerks,43-9199,"Office and Administrative Support Workers, All Other"
B513,Records management and filing clerks,29-2071,Medical Records and Health Information Technicians
B513,Records management and filing clerks,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
B513,Records management and filing clerks,43-4071,File Clerks
B513,Records management and filing clerks,43-4199,"Information and Record Clerks, All Other"
B513,Records management and filing clerks,43-9022,Word Processors and Typists
B513,Records management and filing clerks,43-9061,"Office Clerks, General"
B513,Records management and filing clerks,43-9071,"Office Machine Operators, Except Computer"
B513,Records management and filing clerks,43-9199,"Office and Administrative Support Workers, All Other"
B514,Receptionists and switchboard operators,27-4013,Radio Operators
B514,Receptionists and switchboard operators,43-2011,"Switchboard Operators, Including Answering Service"
B514,Receptionists and switchboard operators,43-2021,Telephone Operators
B514,Receptionists and switchboard operators,43-2099,"Communications Equipment Operators, All Other"
B514,Receptionists and switchboard operators,43-4171,Receptionists and Information Clerks
B522,Data entry clerks,43-9021,Data Entry Keyers
B523,Desktop publishing operators and related occupations,43-9031,Desktop Publishers
B523,Desktop publishing operators and related occupations,51-5111,Prepress Technicians and Workers
B524,Telephone operators,27-4013,Radio Operators
B524,Telephone operators,43-2011,"Switchboard Operators, Including Answering Service"
B524,Telephone operators,43-2021,Telephone Operators
B524,Telephone operators,43-2099,"Communications Equipment Operators, All Other"
B524,Telephone operators,43-4171,Receptionists and Information Clerks
B531,Accounting and related clerks,13-2082,Tax Preparers
B531,Accounting and related clerks,43-3021,Billing and Posting Clerks
B531,Accounting and related clerks,43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
B532,Payroll clerks,43-3051,Payroll and Timekeeping Clerks
B533,Customer service representatives - financial services,43-3071,Tellers
B534,"Banking, insurance and other financial clerks",43-3021,Billing and Posting Clerks
B534,"Banking, insurance and other financial clerks",43-3099,"Financial Clerks, All Other"
B534,"Banking, insurance and other financial clerks",43-4011,Brokerage Clerks
B534,"Banking, insurance and other financial clerks",43-4041,"Credit Authorizers, Checkers, and Clerks"
B534,"Banking, insurance and other financial clerks",43-4131,Loan Interviewers and Clerks
B534,"Banking, insurance and other financial clerks",43-9041,Insurance Claims and Policy Processing Clerks
B535,Collectors,43-3011,Bill and Account Collectors
B541,Administrative clerks,43-4021,Correspondence Clerks
B541,Administrative clerks,43-4031,"Court, Municipal, and License Clerks"
B541,Administrative clerks,43-4071,File Clerks
B541,Administrative clerks,43-4199,"Information and Record Clerks, All Other"
B541,Administrative clerks,43-9022,Word Processors and Typists
B541,Administrative clerks,43-9061,"Office Clerks, General"
B541,Administrative clerks,43-9071,"Office Machine Operators, Except Computer"
B541,Administrative clerks,43-9081,Proofreaders and Copy Markers
B541,Administrative clerks,43-9199,"Office and Administrative Support Workers, All Other"
B542,Personnel clerks,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"
B543,Court clerks,23-1012,Judicial Law Clerks
B543,Court clerks,43-4031,"Court, Municipal, and License Clerks"
B551,Library clerks,43-4121,"Library Assistants, Clerical"
B552,"Correspondence, publication and related clerks",43-4021,Correspondence Clerks
B552,"Correspondence, publication and related clerks",43-4031,"Court, Municipal, and License Clerks"
B552,"Correspondence, publication and related clerks",43-9081,Proofreaders and Copy Markers
B553,"Customer service, information and related clerks",43-4051,Customer Service Representatives
B553,"Customer service, information and related clerks",43-4151,Order Clerks
B554,Survey interviewers and statistical clerks,43-4111,"Interviewers, Except Eligibility and Loan"
B554,Survey interviewers and statistical clerks,43-5041,"Meter Readers, Utilities"
B554,Survey interviewers and statistical clerks,43-9111,Statistical Assistants
B561,"Mail, postal and related clerks",43-5051,Postal Service Clerks
B561,"Mail, postal and related clerks",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
B561,"Mail, postal and related clerks",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
B562,Letter carriers,43-5052,Postal Service Mail Carriers
B563,"Couriers, messengers and door-to-door distributors",41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
B563,"Couriers, messengers and door-to-door distributors",43-5021,Couriers and Messengers
B571,Shippers and receivers,43-5071,"Shipping, Receiving, and Traffic Clerks"
B572,Storekeepers and parts clerks,41-2022,Parts Salespersons
B572,Storekeepers and parts clerks,43-5081,Stock Clerks and Order Fillers
B573,Production clerks,43-5061,"Production, Planning, and Expediting Clerks"
B574,Purchasing and inventory clerks,43-3061,Procurement Clerks
B574,Purchasing and inventory clerks,43-5071,"Shipping, Receiving, and Traffic Clerks"
B575,Dispatchers and radio operators,43-5031,"Police, Fire, and Ambulance Dispatchers"
B575,Dispatchers and radio operators,43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
B576,Transportation route and crew schedulers,43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
C011,Physicists and astronomers,19-1021,Biochemists and Biophysicists
C011,Physicists and astronomers,19-2011,Astronomers
C011,Physicists and astronomers,19-2012,Physicists
C011,Physicists and astronomers,19-2021,Atmospheric and Space Scientists
C012,Chemists,19-1021,Biochemists and Biophysicists
C012,Chemists,19-2021,Atmospheric and Space Scientists
C012,Chemists,19-2031,Chemists
C013,"Geologists, geochemists and geophysicists",19-2042,"Geoscientists, Except Hydrologists and Geographers"
C013,"Geologists, geochemists and geophysicists",19-2043,Hydrologists
C014,Meteorologists,19-1021,Biochemists and Biophysicists
C014,Meteorologists,19-2011,Astronomers
C014,Meteorologists,19-2012,Physicists
C014,Meteorologists,19-2021,Atmospheric and Space Scientists
C015,Other professional occupations in physical sciences,19-1013,Soil and Plant Scientists
C015,Other professional occupations in physical sciences,19-2032,Materials Scientists
C015,Other professional occupations in physical sciences,19-2099,"Physical Scientists, All Other"
C021,Biologists and related scientists,19-1011,Animal Scientists
C021,Biologists and related scientists,19-1012,Food Scientists and Technologists
C021,Biologists and related scientists,19-1013,Soil and Plant Scientists
C021,Biologists and related scientists,19-1022,Microbiologists
C021,Biologists and related scientists,19-1023,Zoologists and Wildlife Biologists
C021,Biologists and related scientists,19-1029,"Biological Scientists, All Other"
C021,Biologists and related scientists,19-2041,"Environmental Scientists and Specialists, Including Health"
C022,Forestry professionals,19-1032,Foresters
C023,"Agricultural representatives, consultants and specialists",19-1031,Conservation Scientists
C023,"Agricultural representatives, consultants and specialists",25-9021,Farm and Home Management Advisors
C031,Civil engineers,17-2051,Civil Engineers
C031,Civil engineers,17-2081,Environmental Engineers
C032,Mechanical engineers,17-2141,Mechanical Engineers
C032,Mechanical engineers,17-2161,Nuclear Engineers
C033,Electrical and electronics engineers,17-2071,Electrical Engineers
C033,Electrical and electronics engineers,17-2072,"Electronics Engineers, Except Computer"
C034,Chemical engineers,17-2031,Biomedical Engineers
C034,Chemical engineers,17-2041,Chemical Engineers
C041,Industrial and manufacturing engineers,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
C041,Industrial and manufacturing engineers,17-2112,Industrial Engineers
C042,Metallurgical and materials engineers,17-2131,Materials Engineers
C043,Mining engineers,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
C044,Geological engineers,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
C045,Petroleum engineers,17-2171,Petroleum Engineers
C046,Aerospace engineers,17-2011,Aerospace Engineers
C047,Computer engineers (except software engineers and designers),15-1143,Computer Network Architects
C047,Computer engineers (except software engineers and designers),17-2061,Computer Hardware Engineers
C047,Computer engineers (except software engineers and designers),17-2072,"Electronics Engineers, Except Computer"
C048,"Other professional engineers, n.e.c.",17-2021,Agricultural Engineers
C048,"Other professional engineers, n.e.c.",17-2031,Biomedical Engineers
C048,"Other professional engineers, n.e.c.",17-2121,Marine Engineers and Naval Architects
C048,"Other professional engineers, n.e.c.",17-2199,"Engineers, All Other"
C051,Architects,17-1011,"Architects, Except Landscape and Naval"
C052,Landscape architects,17-1012,Landscape Architects
C053,Urban and land use planners,19-3051,Urban and Regional Planners
C054,Land surveyors,17-1022,Surveyors
C061,"Mathematicians, statisticians and actuaries",15-2011,Actuaries
C061,"Mathematicians, statisticians and actuaries",15-2021,Mathematicians
C061,"Mathematicians, statisticians and actuaries",15-2031,Operations Research Analysts
C061,"Mathematicians, statisticians and actuaries",15-2041,Statisticians
C061,"Mathematicians, statisticians and actuaries",15-2091,Mathematical Technicians
C061,"Mathematicians, statisticians and actuaries",15-2099,"Mathematical Science Occupations, All Other"
C061,"Mathematicians, statisticians and actuaries",19-1041,Epidemiologists
C061,"Mathematicians, statisticians and actuaries",19-4061,Social Science Research Assistants
C061,"Mathematicians, statisticians and actuaries",43-9111,Statistical Assistants
C071,Information systems analysts and consultants,15-1121,Computer Systems Analysts
C071,Information systems analysts and consultants,15-1122,Information Security Analysts
C071,Information systems analysts and consultants,15-1132,"Software Developers, Applications"
C071,Information systems analysts and consultants,15-1133,"Software Developers, Systems Software"
C071,Information systems analysts and consultants,15-1199,"Computer Occupations, All Other"
C072,Database analysts and data administrators,15-1141,Database Administrators
C072,Database analysts and data administrators,15-1199,"Computer Occupations, All Other"
C072,Database analysts and data administrators,15-2099,"Mathematical Science Occupations, All Other"
C073,Software engineers and designers,15-1111,Computer and Information Research Scientists
C073,Software engineers and designers,15-1132,"Software Developers, Applications"
C073,Software engineers and designers,15-1133,"Software Developers, Systems Software"
C074,Computer programmers and interactive media developers,15-1131,Computer Programmers
C074,Computer programmers and interactive media developers,15-1132,"Software Developers, Applications"
C074,Computer programmers and interactive media developers,15-1133,"Software Developers, Systems Software"
C075,Web designers and developers,15-1134,Web Developers
C075,Web designers and developers,15-1199,"Computer Occupations, All Other"
C111,Chemical technologists and technicians,19-1012,Food Scientists and Technologists
C111,Chemical technologists and technicians,19-4011,Agricultural and Food Science Technicians
C111,Chemical technologists and technicians,19-4031,Chemical Technicians
C111,Chemical technologists and technicians,19-4051,Nuclear Technicians
C111,Chemical technologists and technicians,19-4092,Forensic Science Technicians
C112,Geological and mineral technologists and technicians,19-4041,Geological and Petroleum Technicians
C112,Geological and mineral technologists and technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other"
C113,Meteorological technicians,17-1021,Cartographers and Photogrammetrists
C113,Meteorological technicians,17-3031,Surveying and Mapping Technicians
C113,Meteorological technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other"
C121,Biological technologists and technicians,19-4011,Agricultural and Food Science Technicians
C121,Biological technologists and technicians,19-4021,Biological Technicians
C121,Biological technologists and technicians,19-4092,Forensic Science Technicians
C122,Agricultural and fish products inspectors,45-2011,Agricultural Inspectors
C123,Forestry technologists and technicians,19-4093,Forest and Conservation Technicians
C123,Forestry technologists and technicians,33-2022,Forest Fire Inspectors and Prevention Specialists
C123,Forestry technologists and technicians,45-2011,Agricultural Inspectors
C124,Conservation and fishery officers,33-3031,Fish and Game Wardens
C125,Landscape and horticulture technicians and specialists,37-3011,Landscaping and Groundskeeping Workers
C125,Landscape and horticulture technicians and specialists,37-3013,Tree Trimmers and Pruners
C131,Civil engineering technologists and technicians,17-3022,Civil Engineering Technicians
C131,Civil engineering technologists and technicians,17-3025,Environmental Engineering Technicians
C131,Civil engineering technologists and technicians,17-3029,"Engineering Technicians, Except Drafters, All Other"
C131,Civil engineering technologists and technicians,19-4091,"Environmental Science and Protection Technicians, Including Health"
C131,Civil engineering technologists and technicians,53-6041,Traffic Technicians
C131,Civil engineering technologists and technicians,55-3017,Radar and Sonar Technicians
C132,Mechanical engineering technologists and technicians,17-3021,Aerospace Engineering and Operations Technicians
C132,Mechanical engineering technologists and technicians,17-3024,Electro-Mechanical Technicians
C132,Mechanical engineering technologists and technicians,17-3027,Mechanical Engineering Technicians
C132,Mechanical engineering technologists and technicians,19-4051,Nuclear Technicians
C133,Industrial engineering and manufacturing technologists and technicians,17-3026,Industrial Engineering Technicians
C133,Industrial engineering and manufacturing technologists and technicians,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
C133,Industrial engineering and manufacturing technologists and technicians,51-9199,"Production Workers, All Other"
C134,Construction estimators,13-1051,Cost Estimators
C141,Electrical and electronics engineering technologists and technicians,17-3023,Electrical and Electronic Engineering Technicians
C141,Electrical and electronics engineering technologists and technicians,17-3024,Electro-Mechanical Technicians
C141,Electrical and electronics engineering technologists and technicians,27-4099,"Media and Communication Equipment Workers, All Other"
C141,Electrical and electronics engineering technologists and technicians,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
C141,Electrical and electronics engineering technologists and technicians,49-9062,Medical Equipment Repairers
C142,Electronic service technicians (household and business equipment),49-2011,"Computer, Automated Teller, and Office Machine Repairers"
C142,Electronic service technicians (household and business equipment),49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers"
C142,Electronic service technicians (household and business equipment),49-2097,Electronic Home Entertainment Equipment Installers and Repairers
C142,Electronic service technicians (household and business equipment),49-2098,Security and Fire Alarm Systems Installers
C143,Industrial instrument technicians and mechanics,17-3029,"Engineering Technicians, Except Drafters, All Other"
C144,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",49-2091,Avionics Technicians
C151,Architectural technologists and technicians,17-3011,Architectural and Civil Drafters
C152,Industrial designers,27-1021,Commercial and Industrial Designers
C153,Drafting technologists and technicians,17-3011,Architectural and Civil Drafters
C153,Drafting technologists and technicians,17-3012,Electrical and Electronics Drafters
C153,Drafting technologists and technicians,17-3013,Mechanical Drafters
C153,Drafting technologists and technicians,17-3019,"Drafters, All Other"
C154,Land survey technologists and technicians,17-3031,Surveying and Mapping Technicians
C155,Mapping and related technologists and technicians,17-1021,Cartographers and Photogrammetrists
C155,Mapping and related technologists and technicians,17-3031,Surveying and Mapping Technicians
C155,Mapping and related technologists and technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other"
C161,Non-destructive testers and inspectors,17-3029,"Engineering Technicians, Except Drafters, All Other"
C161,Non-destructive testers and inspectors,55-3017,Radar and Sonar Technicians
C162,Engineering inspectors and regulatory officers,13-1041,Compliance Officers
C162,Engineering inspectors and regulatory officers,47-4011,Construction and Building Inspectors
C162,Engineering inspectors and regulatory officers,53-6051,Transportation Inspectors
C163,Inspectors in public and environmental health and occupational health and safety,29-9011,Occupational Health and Safety Specialists
C163,Inspectors in public and environmental health and occupational health and safety,29-9012,Occupational Health and Safety Technicians
C164,Construction inspectors,47-4011,Construction and Building Inspectors
C171,"Air pilots, flight engineers and flying instructors",53-2011,"Airline Pilots, Copilots, and Flight Engineers"
C171,"Air pilots, flight engineers and flying instructors",53-2012,Commercial Pilots
C172,Air traffic control and related occupations,53-2021,Air Traffic Controllers
C172,Air traffic control and related occupations,53-2022,Airfield Operations Specialists
C173,"Deck officers, water transport",53-5021,"Captains, Mates, and Pilots of Water Vessels"
C174,"Engineer officers, water transport",53-5031,Ship Engineers
C175,Railway traffic controllers and marine traffic regulators,43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
C181,Computer network technicians,15-1142,Network and Computer Systems Administrators
C181,Computer network technicians,15-1152,Computer Network Support Specialists
C181,Computer network technicians,15-1199,"Computer Occupations, All Other"
C181,Computer network technicians,43-9011,Computer Operators
C182,User support technicians,15-1151,Computer User Support Specialists
C183,Systems testing technicians,15-1132,"Software Developers, Applications"
C183,Systems testing technicians,15-1133,"Software Developers, Systems Software"
C183,Systems testing technicians,15-1199,"Computer Occupations, All Other"
D011,Specialist physicians,19-1022,Microbiologists
D011,Specialist physicians,19-1041,Epidemiologists
D011,Specialist physicians,19-1042,"Medical Scientists, Except Epidemiologists"
D011,Specialist physicians,19-1099,"Life Scientists, All Other"
D011,Specialist physicians,29-1061,Anesthesiologists
D011,Specialist physicians,29-1063,"Internists, General"
D011,Specialist physicians,29-1064,Obstetricians and Gynecologists
D011,Specialist physicians,29-1065,"Pediatricians, General"
D011,Specialist physicians,29-1066,Psychiatrists
D011,Specialist physicians,29-1067,Surgeons
D011,Specialist physicians,29-1069,"Physicians and Surgeons, All Other"
D012,General practitioners and family physicians,29-1062,Family and General Practitioners
D013,Dentists,29-1021,"Dentists, General"
D013,Dentists,29-1022,Oral and Maxillofacial Surgeons
D013,Dentists,29-1023,Orthodontists
D013,Dentists,29-1024,Prosthodontists
D013,Dentists,29-1029,"Dentists, All Other Specialists"
D014,Veterinarians,19-1041,Epidemiologists
D014,Veterinarians,29-1131,Veterinarians
D021,Optometrists,29-1041,Optometrists
D022,Chiropractors,29-1011,Chiropractors
D023,Other professional occupations in health diagnosing and treating,29-1081,Podiatrists
D023,Other professional occupations in health diagnosing and treating,29-1199,"Health Diagnosing and Treating Practitioners, All Other"
D031,Pharmacists,19-1042,"Medical Scientists, Except Epidemiologists"
D031,Pharmacists,29-1051,Pharmacists
D032,Dietitians and nutritionists,29-1031,Dietitians and Nutritionists
D041,Audiologists and speech-language pathologists,29-1127,Speech-Language Pathologists
D041,Audiologists and speech-language pathologists,29-1181,Audiologists
D042,Physiotherapists,29-1123,Physical Therapists
D043,Occupational therapists,29-1122,Occupational Therapists
D044,Other professional occupations in therapy and assessment,29-1125,Recreational Therapists
D044,Other professional occupations in therapy and assessment,29-1128,Exercise Physiologists
D044,Other professional occupations in therapy and assessment,29-1129,"Therapists, All Other"
D044,Other professional occupations in therapy and assessment,29-9091,Athletic Trainers
D111,Head nurses and supervisors,29-1141,Registered Nurses
D112,Registered nurses,29-1071,Physician Assistants
D112,Registered nurses,29-1141,Registered Nurses
D112,Registered nurses,29-1151,Nurse Anesthetists
D112,Registered nurses,29-1161,Nurse Midwives
D112,Registered nurses,29-1171,Nurse Practitioners
D211,Medical laboratory technologists and pathologists' assistants,29-2011,Medical and Clinical Laboratory Technologists
D211,Medical laboratory technologists and pathologists' assistants,29-2012,Medical and Clinical Laboratory Technicians
D211,Medical laboratory technologists and pathologists' assistants,31-9097,Phlebotomists
D212,Medical laboratory technicians,29-2012,Medical and Clinical Laboratory Technicians
D212,Medical laboratory technicians,31-9097,Phlebotomists
D213,Veterinary and animal health technologists and technicians,29-2056,Veterinary Technologists and Technicians
D213,Veterinary and animal health technologists and technicians,31-9096,Veterinary Assistants and Laboratory Animal Caretakers
D214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",29-1126,Respiratory Therapists
D214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",29-2031,Cardiovascular Technologists and Technicians
D214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",29-2054,Respiratory Therapy Technicians
D214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",29-2099,"Health Technologists and Technicians, All Other"
D215,Medical radiation technologists,29-1124,Radiation Therapists
D215,Medical radiation technologists,29-2033,Nuclear Medicine Technologists
D215,Medical radiation technologists,29-2034,Radiologic Technologists
D215,Medical radiation technologists,29-2035,Magnetic Resonance Imaging Technologists
D215,Medical radiation technologists,29-2099,"Health Technologists and Technicians, All Other"
D216,Medical sonographers,29-2032,Diagnostic Medical Sonographers
D217,Cardiology technologists,29-2031,Cardiovascular Technologists and Technicians
D217,Cardiology technologists,29-2054,Respiratory Therapy Technicians
D217,Cardiology technologists,29-2099,"Health Technologists and Technicians, All Other"
D218,"Electroencephalographic and other diagnostic technologists, n.e.c.",29-2031,Cardiovascular Technologists and Technicians
D218,"Electroencephalographic and other diagnostic technologists, n.e.c.",29-2054,Respiratory Therapy Technicians
D218,"Electroencephalographic and other diagnostic technologists, n.e.c.",29-2099,"Health Technologists and Technicians, All Other"
D219,Other medical technologists and technicians (except dental health),29-2051,Dietetic Technicians
D219,Other medical technologists and technicians (except dental health),29-2052,Pharmacy Technicians
D219,Other medical technologists and technicians (except dental health),29-2053,Psychiatric Technicians
D219,Other medical technologists and technicians (except dental health),29-2054,Respiratory Therapy Technicians
D219,Other medical technologists and technicians (except dental health),29-2091,Orthotists and Prosthetists
D219,Other medical technologists and technicians (except dental health),29-2099,"Health Technologists and Technicians, All Other"
