nocs2006,nocs2006_title,soc2010,soc2010_title
J133,Rubber processing machine operators and related workers,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
J133,Rubber processing machine operators and related workers,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
J133,Rubber processing machine operators and related workers,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J133,Rubber processing machine operators and related workers,51-9191,Adhesive Bonding Machine Operators and Tenders
J133,Rubber processing machine operators and related workers,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
J133,Rubber processing machine operators and related workers,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
J133,Rubber processing machine operators and related workers,51-9197,Tire Builders
J134,Water and waste plant operators,51-8031,Water and Wastewater Treatment Plant and System Operators
J134,Water and waste plant operators,53-7072,"Pump Operators, Except Wellhead Pumpers"
J141,Sawmill machine operators,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
J142,Pulp mill machine operators,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
J142,Pulp mill machine operators,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
J142,Pulp mill machine operators,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
J143,Papermaking and finishing machine operators,51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
J144,Other wood processing machine operators,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
J144,Other wood processing machine operators,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
J144,Other wood processing machine operators,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
J145,Paper converting machine operators,51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
J146,Lumber graders and other wood processing inspectors and graders,45-4023,Log Graders and Scalers
J146,Lumber graders and other wood processing inspectors and graders,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J151,Textile fibre and yarn preparation machine operators,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
J151,Textile fibre and yarn preparation machine operators,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
J152,"Weavers, knitters and other fabric-making occupations",51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
J153,Textile dyeing and finishing machine operators,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
J153,Textile dyeing and finishing machine operators,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
J154,"Textile inspectors, graders and samplers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J161,Sewing machine operators,51-6031,Sewing Machine Operators
J161,Sewing machine operators,51-6042,Shoe Machine Operators and Tenders
J162,"Fabric, fur and leather cutters",51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
J162,"Fabric, fur and leather cutters",51-9031,"Cutters and Trimmers, Hand"
J163,Hide and pelt processing workers,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
J163,Hide and pelt processing workers,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
J164,"Inspectors and testers, fabric, fur and leather products manufacturing",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J171,"Process control and machine operators, food and beverage processing",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
J171,"Process control and machine operators, food and beverage processing",51-3092,Food Batchmakers
J171,"Process control and machine operators, food and beverage processing",51-3093,Food Cooking Machine Operators and Tenders
J171,"Process control and machine operators, food and beverage processing",51-3099,"Food Processing Workers, All Other"
J171,"Process control and machine operators, food and beverage processing",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
J171,"Process control and machine operators, food and beverage processing",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
J171,"Process control and machine operators, food and beverage processing",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
J171,"Process control and machine operators, food and beverage processing",51-9111,Packaging and Filling Machine Operators and Tenders
J171,"Process control and machine operators, food and beverage processing",51-9193,Cooling and Freezing Equipment Operators and Tenders
J171,"Process control and machine operators, food and beverage processing",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
J171,"Process control and machine operators, food and beverage processing",53-7072,"Pump Operators, Except Wellhead Pumpers"
J172,"Industrial butchers and meat cutters, poultry preparers and related workers",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
J172,"Industrial butchers and meat cutters, poultry preparers and related workers",51-3023,Slaughterers and Meat Packers
J172,"Industrial butchers and meat cutters, poultry preparers and related workers",51-3099,"Food Processing Workers, All Other"
J173,Fish plant workers,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
J174,Tobacco processing machine operators,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
J174,Tobacco processing machine operators,51-3092,Food Batchmakers
J174,Tobacco processing machine operators,51-3093,Food Cooking Machine Operators and Tenders
J174,Tobacco processing machine operators,51-3099,"Food Processing Workers, All Other"
J174,Tobacco processing machine operators,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
J174,Tobacco processing machine operators,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
J174,Tobacco processing machine operators,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
J174,Tobacco processing machine operators,51-9111,Packaging and Filling Machine Operators and Tenders
J174,Tobacco processing machine operators,51-9193,Cooling and Freezing Equipment Operators and Tenders
J174,Tobacco processing machine operators,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
J174,Tobacco processing machine operators,53-7072,"Pump Operators, Except Wellhead Pumpers"
J175,"Testers and graders, food and beverage processing",45-2041,"Graders and Sorters, Agricultural Products"
J181,Printing machine operators,51-5112,Printing Press Operators
J182,"Camera, platemaking and other prepress occupations",51-5111,Prepress Technicians and Workers
J182,"Camera, platemaking and other prepress occupations",51-5112,Printing Press Operators
J182,"Camera, platemaking and other prepress occupations",51-9151,Photographic Process Workers and Processing Machine Operators
J183,Binding and finishing machine operators,51-5113,Print Binding and Finishing Workers
J184,Photographic and film processors,51-9151,Photographic Process Workers and Processing Machine Operators
