code,title,noc1d,noc2d,noc3d,noc4d,Level,Hierarchical_structure
125,"Court reporters, transcriptionists, records management technicians and statistical officers",1,12,125,NA,3,Minor group
1251,"Court reporters, medical transcriptionists and related occupations",1,12,125,1251,4,Unit group
1252,Health information management occupations,1,12,125,1252,4,Unit group
1253,Records management technicians,1,12,125,1253,4,Unit group
1254,Statistical officers and related research support occupations,1,12,125,1254,4,Unit group
13,"Finance, insurance and related business administrative occupations",1,13,NA,NA,2,Major group
131,"Finance, insurance and related business administrative occupations",1,13,131,NA,3,Minor group
1311,Accounting technicians and bookkeepers,1,13,131,1311,4,Unit group
1312,Insurance adjusters and claims examiners,1,13,131,1312,4,Unit group
1313,Insurance underwriters,1,13,131,1313,4,Unit group
1314,"Assessors, valuators and appraisers",1,13,131,1314,4,Unit group
1315,"Customs, ship and other brokers",1,13,131,1315,4,Unit group
14,Office support occupations,1,14,NA,NA,2,Major group
141,General office workers,1,14,141,NA,3,Minor group
1411,General office support workers,1,14,141,1411,4,Unit group
1414,Receptionists,1,14,141,1414,4,Unit group
1415,Personnel clerks,1,14,141,1415,4,Unit group
1416,Court clerks,1,14,141,1416,4,Unit group
142,Office equipment operators,1,14,142,NA,3,Minor group
1422,Data entry clerks,1,14,142,1422,4,Unit group
1423,Desktop publishing operators and related occupations,1,14,142,1423,4,Unit group
143,"Financial, insurance and related administrative support workers",1,14,143,NA,3,Minor group
1431,Accounting and related clerks,1,14,143,1431,4,Unit group
1432,Payroll clerks,1,14,143,1432,4,Unit group
1434,"Banking, insurance and other financial clerks",1,14,143,1434,4,Unit group
1435,Collectors,1,14,143,1435,4,Unit group
145,"Library, correspondence and other clerks",1,14,145,NA,3,Minor group
1451,Library assistants and clerks,1,14,145,1451,4,Unit group
1452,"Correspondence, publication and regulatory clerks",1,14,145,1452,4,Unit group
1454,Survey interviewers and statistical clerks,1,14,145,1454,4,Unit group
15,"Distribution, tracking and scheduling co-ordination occupations",1,15,NA,NA,2,Major group
151,Mail and message distribution occupations,1,15,151,NA,3,Minor group
1511,"Mail, postal and related workers",1,15,151,1511,4,Unit group
1512,Letter carriers,1,15,151,1512,4,Unit group
1513,"Couriers, messengers and door-to-door distributors",1,15,151,1513,4,Unit group
152,"Supply chain logistics, tracking and scheduling co-ordination occupations",1,15,152,NA,3,Minor group
1521,Shippers and receivers,1,15,152,1521,4,Unit group
1522,Storekeepers and partspersons,1,15,152,1522,4,Unit group
1523,Production logistics co-ordinators,1,15,152,1523,4,Unit group
1524,Purchasing and inventory control workers,1,15,152,1524,4,Unit group
1525,Dispatchers,1,15,152,1525,4,Unit group
1526,Transportation route and crew schedulers,1,15,152,1526,4,Unit group
2,Natural and applied sciences and related occupations,2,NA,NA,NA,1,Broad occupational category
21,Professional occupations in natural and applied sciences,2,21,NA,NA,2,Major group
211,Physical science professionals,2,21,211,NA,3,Minor group
2111,Physicists and astronomers,2,21,211,2111,4,Unit group
2112,Chemists,2,21,211,2112,4,Unit group
2113,Geoscientists and oceanographers,2,21,211,2113,4,Unit group
2114,Meteorologists and climatologists,2,21,211,2114,4,Unit group
2115,Other professional occupations in physical sciences,2,21,211,2115,4,Unit group
212,Life science professionals,2,21,212,NA,3,Minor group
2121,Biologists and related scientists,2,21,212,2121,4,Unit group
2122,Forestry professionals,2,21,212,2122,4,Unit group
2123,"Agricultural representatives, consultants and specialists",2,21,212,2123,4,Unit group
213,"Civil, mechanical, electrical and chemical engineers",2,21,213,NA,3,Minor group
2131,Civil engineers,2,21,213,2131,4,Unit group
2132,Mechanical engineers,2,21,213,2132,4,Unit group
2133,Electrical and electronics engineers,2,21,213,2133,4,Unit group
2134,Chemical engineers,2,21,213,2134,4,Unit group
214,Other engineers,2,21,214,NA,3,Minor group
2141,Industrial and manufacturing engineers,2,21,214,2141,4,Unit group
2142,Metallurgical and materials engineers,2,21,214,2142,4,Unit group
2143,Mining engineers,2,21,214,2143,4,Unit group
2144,Geological engineers,2,21,214,2144,4,Unit group
2145,Petroleum engineers,2,21,214,2145,4,Unit group
2146,Aerospace engineers,2,21,214,2146,4,Unit group
2147,Computer engineers (except software engineers and designers),2,21,214,2147,4,Unit group
2148,"Other professional engineers, n.e.c.",2,21,214,2148,4,Unit group
215,"Architects, urban planners and land surveyors",2,21,215,NA,3,Minor group
2151,Architects,2,21,215,2151,4,Unit group
2152,Landscape architects,2,21,215,2152,4,Unit group
2153,Urban and land use planners,2,21,215,2153,4,Unit group
2154,Land surveyors,2,21,215,2154,4,Unit group
216,"Mathematicians, statisticians and actuaries",2,21,216,NA,3,Minor group
2161,"Mathematicians, statisticians and actuaries",2,21,216,2161,4,Unit group
217,Computer and information systems professionals,2,21,217,NA,3,Minor group
2171,Information systems analysts and consultants,2,21,217,2171,4,Unit group
2172,Database analysts and data administrators,2,21,217,2172,4,Unit group
2173,Software engineers and designers,2,21,217,2173,4,Unit group
2174,Computer programmers and interactive media developers,2,21,217,2174,4,Unit group
2175,Web designers and developers,2,21,217,2175,4,Unit group
22,Technical occupations related to natural and applied sciences,2,22,NA,NA,2,Major group
221,Technical occupations in physical sciences,2,22,221,NA,3,Minor group
2211,Chemical technologists and technicians,2,22,221,2211,4,Unit group
2212,Geological and mineral technologists and technicians,2,22,221,2212,4,Unit group
222,Technical occupations in life sciences,2,22,222,NA,3,Minor group
2221,Biological technologists and technicians,2,22,222,2221,4,Unit group
2222,Agricultural and fish products inspectors,2,22,222,2222,4,Unit group
2223,Forestry technologists and technicians,2,22,222,2223,4,Unit group
2224,Conservation and fishery officers,2,22,222,2224,4,Unit group
2225,Landscape and horticulture technicians and specialists,2,22,222,2225,4,Unit group
223,"Technical occupations in civil, mechanical and industrial engineering",2,22,223,NA,3,Minor group
2231,Civil engineering technologists and technicians,2,22,223,2231,4,Unit group
2232,Mechanical engineering technologists and technicians,2,22,223,2232,4,Unit group
2233,Industrial engineering and manufacturing technologists and technicians,2,22,223,2233,4,Unit group
2234,Construction estimators,2,22,223,2234,4,Unit group
224,Technical occupations in electronics and electrical engineering,2,22,224,NA,3,Minor group
2241,Electrical and electronics engineering technologists and technicians,2,22,224,2241,4,Unit group
