occ1980,occ1980_title,soc1980,soc1980_title
346,MAIL PREPARING AND PAPER HANDLING MACHINE OPERATORS,4723,MAIL PREPARING AND HANDLING MACHINE OPERATORS
347,"OFFICE MACHINE OPERATORS, N.E.C.",4729,"OFFICE MACHINE OPERATORS, NOT ELSEWHERE CLASSIFIED"
348,TELEPHONE OPERATORS,4732,TELEPHONE OPERATORS
349,TELEGRAPHERS,4733,TELEGRAPHERS
353,"COMMUNICATIONS EQUIPMENT OPERATORS, N.E.C.",4739,"COMMUNICATIONS EQUIPMENT OPERATORS, NOT ELSEWHERE C"
354,"POSTAL CLERKS, EXC. MAIL CARRIERS",4742,"POSTAL CLERKS, EXCEPT MAIL CARRIERS"
355,"MAIL CARRIERS, POSTAL SERVICE",4743,"MAIL CARRIERS, POST OFFICE"
356,"MAIL CLERKS, EXC. POSTAL SERVICE",4744,"MAIL CLERKS, EXCEPT POST OFFICE"
357,MESSENGERS,4745,MESSENGERS
359,DISPATCHERS,4751,DISPATCHERS
363,PRODUCTION COORDINATORS,4752,PRODUCTION AND PLANNING CLERKS
364,"TRAFFIC, SHIPPING, AND RECEIVING CLERKS",4753,"TRAFFIC, SHIPPING, AND RECEIVING CLERKS"
365,STOCK AND INVENTORY CLERKS,4754,STOCK AND INVENTORY CLERKS
366,METER READERS,4755,METER READERS
368,"WEIGHERS, MEASURERS, AND CHECKERS",4756,"WEIGHERS, MEASURERS, AND CHECKERS"
369,SAMPLERS,4757,SAMPLERS
373,EXPEDITERS,4758,EXPEDITERS
374,"MATERIAL RECORDING, SCHEDULING, AND DISTRIBUTING CLERKS, N.E.C.",4759,"MATERIAL RECORDING, SCHEDULING, AND DISTRIBUTING CL"
375,"INSURANCE ADJUSTERS, EXAMINERS, AND INVESTIGATORS",4782,"INSURANCE ADJUSTERS, EXAMINERS, AND INVESTIGATORS"
376,"INVESTIGATORS AND ADJUSTERS, EXCEPT INSURANCE",4783,"INVESTIGATORS AND ADJUSTERS, EXCEPT INSURANCE"
377,"ELIGIBILITY CLERKS, SOCIAL WELFARE",4784,"CLERKS, SOCIAL WELFARE"
378,BILL AND ACCOUNT COLLECTORS,4786,BILL AND ACCOUNT COLLECTORS
379,GENERAL OFFICE CLERKS,463,GENERAL OFFICE OCCUPATIONS
383,BANK TELLERS,4791,BANK TELLERS
384,PROOFREADERS,4792,PROOF READERS
385,DATA-ENTRY KEYERS,4793,DATA ENTRY KEYERS
386,STATISTICAL CLERKS,4794,STATISTICAL CLERKS
387,TEACHERS AIDES,4795,TEACHER AIDES
389,"ADMINISTRATIVE SUPPORT OCCUPATIONS, N.E.C.",4787,LICENSE CLERKS
389,"ADMINISTRATIVE SUPPORT OCCUPATIONS, N.E.C.",4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLERI"
403,LAUNDERERS AND IRONERS,503,LAUNDERERS AND IRONERS
404,"COOKS, PRIVATE HOUSEHOLD",504,"COOKS, PRIVATE HOUSEHOLD"
405,HOUSEKEEPERS AND BUTLERS,505,HOUSEKEEPERS AND BUTLERS
406,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",506,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD"
407,PRIVATE HOUSEHOLD CLEANERS AND SERVANTS,502,DAY WORKERS
407,PRIVATE HOUSEHOLD CLEANERS AND SERVANTS,507,PRIVATE HOUSEHOLD CLEANERS AND SERVANTS
407,PRIVATE HOUSEHOLD CLEANERS AND SERVANTS,509,"PRIVATE HOUSEHOLD OCCUPATIONS, NOT ELSEWHERE CLASSI"
413,"SUPERVISORS, FIREFIGHTING AND FIRE PREVENTION OCCUPATIONS",5111,SUPERVISORS; FIREFIGHTING AND FIRE PREVENTION OCCUP
414,"SUPERVISORS, POLICE AND DETECTIVES",5112,SUPERVISORS; POLICE AND DETECTIVES
415,"SUPERVISORS, GUARDS",5113,SUPERVISORS; GUARDS
416,FIRE INSPECTION AND FIRE PREVENTION OCCUPATIONS,5122,FIRE INSPECTION AND FIRE PREVENTION OCCUPATIONS
417,FIREFIGHTING OCCUPATIONS,5123,FIREFIGHTING OCCUPATIONS
418,"POLICE AND DETECTIVES, PUBLIC SERVICE",5132,"POLICE AND DETECTIVES, PUBLIC SERVICE"
423,"SHERIFFS, BAILIFFS, AND OTHER LAW ENFORCEMENT OFFICERS",5134,"SHERIFFS, BAILIFFS AND OTHER LAW ENFORCEMENT OFFICE"
424,CORRECTIONAL INSTITUTION OFFICERS,5133,CORRECTIONAL INSTITUTION OFFICERS
425,CROSSING GUARDS,5142,CROSSING GUARDS
426,"GUARDS AND POLICE, EXC. PUBLIC SERVICE",5144,"GUARDS AND POLICE, EXCEPT PUBLIC SERVICE"
427,"PROTECTIVE SERVICE OCCUPATIONS, N.E.C.",5149,"PROTECTIVE SERVICE OCCUPATIONS, NEC"
433,"SUPERVISORS, FOOD PREPARATION AND SERVICE OCCUPATIONS",5211,SUPERVISORS; FOOD AND BEVERAGE PREPARATION AND SERV
434,BARTENDERS,5212,BARTENDERS
435,WAITERS AND WAITRESSES,5213,WAITERS AND WAITRESSES
436,"COOKS, EXCEPT SHORT ORDER",5214,"COOKS, EXCEPT SHORT ORDER"
437,SHORT-ORDER COOKS,5215,SHORT-ORDER COOKS
438,"FOOD COUNTER, FOUNTAIN AND RELATED OCCUPATIONS",5216,"FOOD COUNTER, FOUNTAIN AND RELATED OCCUPATIONS"
439,"KITCHEN WORKERS, FOOD PREPARATION",5217,"KITCHEN WORKERS, FOOD PREPARATION"
443,WAITERS/WAITRESSES ASSISTANTS,5218,WAITERS'/WAITRESSES' ASSISTANTS
444,MISCELLANEOUS FOOD PREPARATION OCCUPATIONS,5219,MISCELLANEOUS FOOD AND BEVERAGE PREPARATION OCCUPAT
445,DENTAL ASSISTANTS,5232,DENTAL ASSISTANTS
446,"HEALTH AIDES, EXCEPT NURSING",5233,"HEALTH AIDES, EXCEPT NURSING"
447,"NURSING AIDES, ORDERLIES, AND ATTENDANTS",5236,"NURSING AIDES, ORDERLIES, AND ATTENDANTS"
448,"SUPERVISORS, CLEANING AND BUILDING SERVICE WORKERS",5241,SUPERVISORS; CLEANING AND BUILDING SERVICE WORKERS
449,MAIDS AND HOUSEMEN,5242,MAIDS AND HOUSEMEN
449,MAIDS AND HOUSEMEN,5249,"CLEANING AND BUILDING SERVICE OCCUPATIONS, NOT ELSE"
453,JANITORS AND CLEANERS,5244,JANITORS AND CLEANERS
454,ELEVATOR OPERATORS,5245,ELEVATOR OPERATORS
455,PEST CONTROL OCCUPATIONS,5246,PEST CONTROL OCCUPATIONS
456,"SUPERVISORS, PERSONAL SERVICE OCCUPATIONS",5251,SUPERVISORS; PERSONAL SERVICE OCCUPATIONS
457,BARBERS,5252,BARBERS
458,HAIRDRESSERS AND COSMETOLOGISTS,5253,HAIRDRESSERS AND COSMETOLOGISTS
459,"ATTENDANTS, AMUSEMENT AND RECREATION FACILITIES",5254,"ATTENDANTS, AMUSEMENT AND RECREATION FACILITIES"
463,GUIDES,5255,GUIDES
464,USHERS,5256,USHERS
465,PUBLIC TRANSPORTATION ATTENDANTS,5257,PUBLIC TRANSPORTATION ATTENDANTS
466,BAGGAGE PORTERS AND BELLHOPS,5262,BAGGAGE PORTERS AND BELLHOPS
467,WELFARE SERVICE AIDES,5263,WELFARE SERVICE AIDES
468,"CHILD CARE WORKERS, EXCEPT PRIVATE HOUSEHOLD",5264,"CHILD CARE WORKERS, EXCEPT PRIVATE HOUSEHOLD"
469,"PERSONAL SERVICE OCCUPATIONS, N.E.C.",5258,WARDROBE AND DRESSING ROOM ATTENDANTS
469,"PERSONAL SERVICE OCCUPATIONS, N.E.C.",5269,"PERSONAL SERVICE OCCUPATIONS, NOT ELSEWHERE CLASSIF"
473,"FARMERS, EXCEPT HORTICULTURAL",5512,GENERAL FARMERS
473,"FARMERS, EXCEPT HORTICULTURAL",5513,"CROP, VEGETABLE, FRUIT AND TREE NUT FARMERS"
473,"FARMERS, EXCEPT HORTICULTURAL",5514,"LIVESTOCK, DAIRY, POULTRY AND FISH FARMERS"
474,HORTICULTURAL SPECIALTY FARMERS,5515,HORTICULTURAL SPECIALTY FARMERS
475,"MANAGERS, FARMS, EXCEPT HORTICULTURAL",5522,MANAGERS; GENERAL FARM
475,"MANAGERS, FARMS, EXCEPT HORTICULTURAL",5523,"MANAGERS; CROP, VEGETABLE, FRUIT AND TREE NUT FARM"
475,"MANAGERS, FARMS, EXCEPT HORTICULTURAL",5524,"MANAGERS; LIVESTOCK, DAIRY, POULTRY AND FISH FARM"
476,"MANAGERS, HORTICULTURAL SPECIALTY FARMS",5525,MANAGERS; HORTICULTURAL SPECIALTY FARM
477,"SUPERVISORS, FARM WORKERS",5611,SUPERVISORS; FARM WORKERS
479,FARM WORKERS,5612,GENERAL FARM WORKERS
479,FARM WORKERS,5613,FIELD CROP AND VEGETABLE FARM WORKERS (HAND)
479,FARM WORKERS,5614,ORCHARD AND VINEYARD AND RELATED WORKERS (HAND)
479,FARM WORKERS,5615,IRRIGATION WORKERS
479,FARM WORKERS,5616,FARM MACHINERY OPERATORS
479,FARM WORKERS,5617,LIVESTOCK WORKERS
483,MARINE LIFE CULTIVATION WORKERS,5618,MARINE LIFE CULTIVATION WORKERS
484,NURSERY WORKERS,5619,NURSERY WORKERS
485,"SUPERVISORS, RELATED AGRICULTURAL OCCUPATIONS",5621,SUPERVISORS; RELATED AGRICULTURAL WORKERS
486,"GROUNDSKEEPERS AND GARDENERS, EXCEPT FARM",5622,"GROUNDSKEEPERS AND GARDENERS, EXCEPT FARM"
487,"ANIMAL CARETAKERS, EXCEPT FARM",5624,"ANIMAL CARETAKERS, EXCEPT FARM"
488,"GRADERS AND SORTERS, AGRICULTURAL PRODUCTS",5625,GRADERS AND SORTERS; AGRICULTURAL PRODUCTS
489,"INSPECTORS, AGRICULTURAL PRODUCTS",5627,INSPECTORS; AGRICULTURAL PRODUCTS
494,"SUPERVISORS, FORESTRY AND LOGGING WORKERS",571,SUPERVISORS; FORESTRY AND LOGGING WORKERS
495,"FORESTRY WORKERS, EXCEPT LOGGING",572,"FORESTRY WORKERS, EXCEPT LOGGING"
496,TIMBER CUTTING AND LOGGING OCCUPATIONS,573,TIMBER CUTTING AND RELATED OCCUPATIONS
496,TIMBER CUTTING AND LOGGING OCCUPATIONS,579,"LOGGING OCCUPATIONS, NOT ELSEWHERE CLASSIFIED"
497,"CAPTAINS AND OTHER OFFICERS, FISHING VESSELS",8241,SHIP CAPTAINS AND MATES
498,FISHERS,583,FISHERS
499,HUNTERS AND TRAPPERS,584,HUNTERS AND TRAPPERS
503,"SUPERVISORS, MECHANICS AND REPAIRERS",60,SUPERVISORS; MECHANICS AND REPAIRERS
505,"AUTOMOBILE MECHANICS, EXC. APPRENTICES",6111,AUTOMOBILE MECHANICS
506,AUTOMOBILE MECHANIC APPRENTICES,6111,AUTOMOBILE MECHANICS
507,"BUS, TRUCK, AND STATIONARY ENGINE MECHANICS",6112,"BUS AND TRUCK ENGINE, AND DIESEL ENGINE MECHANICS"
508,AIRCRAFT ENGINE MECHANICS,6113,AIRCRAFT ENGINE MECHANICS
509,SMALL ENGINE REPAIRERS,6114,SMALL ENGINE REPAIRERS
514,AUTOMOBILE BODY AND RELATED REPAIRERS,6115,AUTOMOTIVE BODY AND RELATED REPAIRERS
515,"AIRCRAFT MECHANICS, EXC. ENGINE",6116,AIRCRAFT MECHANICS (EXCEPT ENGINE SPECIALISTS)
516,HEAVY EQUIPMENT MECHANICS,6117,HEAVY EQUIPMENT MECHANICS
517,FARM EQUIPMENT MECHANICS,6118,FARM EQUIPMENT MECHANICS
518,INDUSTRIAL MACHINERY REPAIRERS,613,INDUSTRIAL MACHINERY REPAIRERS *
519,MACHINERY MAINTENANCE OCCUPATIONS,614,MACHINERY MAINTENANCE OCCUPATIONS
523,"ELECTRONIC REPAIRERS, COMMUNICATIONS AND INDUSTRIAL EQUIPMENT",6151,COMMUNICATIONS EQUIPMENT REPAIRERS
523,"ELECTRONIC REPAIRERS, COMMUNICATIONS AND INDUSTRIAL EQUIPMENT",6153,"ELECTRICAL AND ELECTRONIC REPAIRERS, COMMERCIAL AND"
523,"ELECTRONIC REPAIRERS, COMMUNICATIONS AND INDUSTRIAL EQUIPMENT",6155,"ELECTRONIC REPAIRERS, HOME-ENTERTAINMENT EQUIPMENT"
525,DATA PROCESSING EQUIPMENT REPAIR,6154,DATA PROCESSING EQUIPMENT REPAIRERS
526,HOUSEHOLD APPLIANCE AND POWER TOOL REPAIRERS,6156,HOUSEHOLD APPLIANCE AND POWER TOOL REPAIRERS
527,TELEPHONE LINE INSTALLERS AND REPAIRERS,6157,TELEPHONE LINE INSTALLERS AND REPAIRERS
529,TELEPHONE INSTALLERS AND REPAIRERS,6158,TELEPHONE INSTALLERS AND REPAIRERS
533,MISCELLANEOUS ELECTRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,6152,"ELECTRIC MOTOR, TRANSFORMER, AND RELATED REPAIRERS"
533,MISCELLANEOUS ELECTRICAL AND ELECTRONIC EQUIPMENT REPAIRERS,6159,MISC ELECRICAL AND ELECTRONIC EQUIPMENT REPAIRERS
534,"HEATING, AIR CONDITIONING, AND REFRIGERATION MECHANICS",616,"HEATING, AIR-CONDITIONING, AND REFRIGERATION MECHAN"
535,"CAMERA, WATCH, AND MUSICAL INSTRUMENT REPAIRERS",6171,"CAMERA, WATCH, AND OTHER PRECISION INSTRUMENT REPAI"
535,"CAMERA, WATCH, AND MUSICAL INSTRUMENT REPAIRERS",6172,MUSICAL INSTRUMENT REPAIRERS AND TUNERS
536,LOCKSMITHS AND SAFE REPAIRERS,6173,LOCKSMITHS AND SAFE REPAIRERS
538,OFFICE MACHINE REPAIRERS,6174,OFFICE MACHINE REPAIRERS
539,MECHANICAL CONTROLS AND VALVE  REPAIRERS,6175,MECHANICAL CONTROLS AND VALVE REPAIRERS
543,ELEVATOR INSTALLERS AND REPAIRER,6176,ELEVATOR INSTALLERS AND REPAIRERS
544,MILLWRIGHTS,6178,MILLWRIGHTS
547,"SPECIFIED MECHANICS AND REPAIRERS, N.E.C.",6177,RIGGERS
547,"SPECIFIED MECHANICS AND REPAIRERS, N.E.C.",6179,"MECHANICS AND REPAIRERS, NOT ELSEWHERE CLASSIFIED"
553,"SUPERVISORS, BRICKMASONS, STONEMASONS, AND TILE SETTERS",6312,"SUPERVISORS; BRICKMASONS, STONEMASONS, AND HARD TIL"
554,"SUPERVISORS, CARPENTERS AND RELATED WORKERS",6313,SUPERVISORS; CARPENTERS AND RELATED WORKERS
555,"SUPERVISORS, ELECTRICIANS AND POWER TRANSMISSION INSTALLERS",6314,SUPERVISORS; ELECTRICIANS AND POWER TRANSMISSION IN
556,"SUPERVISORS, PAINTERS, PAPERHANGERS AND PLASTERERS",6315,"SUPERVISORS; PAINTERS, PAPERHANGERS, AND PLASTERERS"
557,"SUPERVISORS, PLUMBERS, PIPEFITTERS AND STEAMFITTERS",6316,SUPERVISORS; PLUMBERS AND PIPEFITTERS AND STEAMFITT
558,"SUPERVISORS, N.E.C.",6311,SUPERVISORS; OVERALL CONSTRUCTION
558,"SUPERVISORS, N.E.C.",6318,SUPERVISORS; OTHER CONSTRUCTION TRADES
563,"BRICKMASONS AND STONEMASONS, EXCEPT APPRENTICES",6412,BRICKMASONS
563,"BRICKMASONS AND STONEMASONS, EXCEPT APPRENTICES",6413,STONEMASONS
564,BRICKMASON AND STONEMASON APPRENTICES,6412,BRICKMASONS
564,BRICKMASON AND STONEMASON APPRENTICES,6413,STONEMASONS
565,"TILE SETTERS, HARD AND SOFT",6414,"TILE SETTERS, HARD"
565,"TILE SETTERS, HARD AND SOFT",6462,CARPET AND SOFT TILE INSTALLERS
566,CARPET INSTALLERS,6462,CARPET AND SOFT TILE INSTALLERS
567,"CARPENTERS, EXCEPT APPRENTICES",6422,CARPENTERS
569,CARPENTER APPRENTICES,6422,CARPENTERS
573,DRYWALL INSTALLERS,6424,DRYWALL INSTALLERS
575,"ELECTRICIANS, EXCEPT APPRENTICES",6432,ELECTRICIANS
576,ELECTRICIAN APPRENTICES,6432,ELECTRICIANS
577,ELECTRICAL POWER INSTALLERS AND REPAIRERS,6433,ELECTRICAL POWER INSTALLERS AND REPAIRERS
579,"PAINTERS, CONSTRUCTION AND MAINTENANCE",6442,PAINTERS (CONSTRUCTION AND MAINTENANCE)
583,PAPERHANGERS,6443,PAPERHANGERS
584,PLASTERERS,6444,PLASTERERS
585,"PLUMBERS, EXCEPT APPRENTICES",645,"PLUMBERS, PIPEFITTERS AND STEAMFITTERS"
587,"PLUMBER, PIPEFITTER, AND STEAMFITTER APPRENTICES",645,"PLUMBERS, PIPEFITTERS AND STEAMFITTERS"
588,CONCRETE AND TERRAZZO FINISHERS,6463,CONCRETE AND TERRAZZO FINISHERS
589,GLAZIERS,6464,GLAZIERS
593,INSULATION WORKERS,6465,INSULATION WORKERS
594,"PAVING, SURFACING, AND TAMPING EQUIPMENT OPERATORS",6466,"PAVING, SURFACING, AND TAMPING EQUIPMENT OPERATORS"
595,ROOFERS,6468,ROOFERS
596,SHEETMETAL DUCT INSTALLERS,6472,Sheetmetal Duct Installers
597,STRUCTURAL METAL WORKERS,6473,STRUCTURAL METAL WORKERS
598,"DRILLERS, EARTH",6474,"DRILLERS, EARTH"
599,"CONSTRUCTION TRADES, N.E.C.",6467,RAIL AND TRACK LAYING EQUIPMENT OPERATORS
599,"CONSTRUCTION TRADES, N.E.C.",6475,AIR HAMMER OPERATORS
599,"CONSTRUCTION TRADES, N.E.C.",6476,PILE DRIVING OPERATORS
599,"CONSTRUCTION TRADES, N.E.C.",6479,"CONSTRUCTION TRADES, NOT ELSEWHERE CLASSIFIED"
613,"SUPERVISORS, EXTRACTIVE OCCUPATIONS",632,SUPERVISORS; EXTRACTIVE OCCUPATIONS
614,"DRILLERS, OIL WELL",652,"DRILLERS, OIL WELL"
615,EXPLOSIVES WORKERS,653,EXPLOSIVE WORKERS
616,MINING MACHINE OPERATORS,654,MINING MACHINE OPERATORS
617,"MINING OCCUPATIONS, N.E.C.",656,"EXTRACTIVE OCCUPATIONS, NEC"
633,"SUPERVISORS, PRODUCTION OCCUPATIONS",67,SUPERVISORS; PRECISION PRODUCTION OCCUPATIONS
633,"SUPERVISORS, PRODUCTION OCCUPATIONS",71,SUPERVISORS; PRODUCTION OCCUPATIONS
634,"TOOL AND DIE MAKERS, EXCEPT APPRENTICES",6811,TOOL AND DIE MAKERS
635,TOOL AND DIE MAKER APPRENTICES,6811,TOOL AND DIE MAKERS
636,"PRECISION ASSEMBLERS, METAL",6812,PRECISION ASSEMBLERS (METAL)
637,"MACHINISTS, EXCEPT APPRENTICES",6813,MACHINISTS
639,MACHINIST APPRENTICES,6813,MACHINISTS
643,BOILERMAKERS,6814,BOILERMAKERS
644,"PRECISION GRINDERS, FITTERS, AND TOOL SHARPENERS",6816,"PRECISION GRINDERS, FILERS, AND TOOL SHARPENERS"
645,"PATTERNMAKERS AND MODEL MAKERS, METAL",6817,PATTERNMAKERS AND MODEL MAKERS (METAL)
646,LAY-OUT WORKERS,6821,LAY-OUT WORKERS
647,PRECIOUS STONES AND METALS WORKERS(JEWELERS),6822,PRECISION HAND MOLDERS AND SHAPERS (JEWELERS)
647,PRECIOUS STONES AND METALS WORKERS(JEWELERS),6866,GEM AND DIAMOND WORKING OCCUPATIONS
649,"ENGRAVERS, METAL",6823,ENGRAVERS
653,"SHEET METAL WORKERS, EXCEPT APPRENTICES",6824,SHEET METAL WORKERS
654,SHEET METAL WORKER APPRENTICES,6824,SHEET METAL WORKERS
655,MISCELLANEOUS PRECISION METAL WORKERS,6829,MISCELLANEOUS PRECISION METAL WORKERS
656,"PATTERNMAKERS AND MODEL MAKERS, WOOD",6831,"PATTERNMAKERS AND MODEL MAKERS, WOOD"
657,CABINET MAKERS AND BENCH CARPENTERS,6832,CABINET MAKERS AND BENCH CARPENTERS
658,FURNITURE AND WOOD FINISHERS,6835,FURNITURE FINISHERS
659,MISCELLANEOUS PRECISION WOODWORKERS,6839,MISCELLANEOUS PRECISION WOODWORKERS
666,DRESSMAKERS,6852,"TAILORS AND DRESSMAKERS, HAND"
666,DRESSMAKERS,7752,HAND SEWING OCCUPATIONS
667,TAILORS,6852,"TAILORS AND DRESSMAKERS, HAND"
668,UPHOLSTERERS,6853,UPHOLSTERERS
669,SHOE REPAIRERS,6854,SHOEMAKERS AND LEATHER WORKERS AND REPAIRERS
673,APPAREL AND FABRIC PATTERNMAKERS,6856,APPAREL AND FABRIC PATTERNMAKERS
674,MISCELLANEOUS PRECISION APPAREL AND FABRIC WORKERS,6859,MISCELLANEOUS PRECISION APPAREL AND FABRIC WORKERS
674,MISCELLANEOUS PRECISION APPAREL AND FABRIC WORKERS,7752,HAND SEWING OCCUPATIONS
675,"HAND MOLDERS AND SHAPERS, EXCEPT JEWELERS",6861,PRECISION HAND MOLDERS AND SHAPERS (EXCEPT JEWELERS
676,"PATTERNMAKERS, LAY-OUT WORKERS, AND CUTTERS",6862,"PRECISION PATTERNMAKERS, LAY-OUT WORKERS AND CUTTER"
677,OPTICAL GOODS WORKERS,6864,OPTICAL GOODS WORKERS
677,OPTICAL GOODS WORKERS,7477,"CRUSHING, GRINDING AND POLISHING MACHINE SETUP OPER"
677,OPTICAL GOODS WORKERS,7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS"
678,DENTAL LABORATORY AND MEDICAL APPLIANCE TECHNICIAN,6865,DENTAL LABORATORY TECHNICIANS
679,BOOKBINDERS,6844,BOOKBINDERS
683,ELECTRICAL AND ELECTRONIC EQUIPMENT ASSEMBLERS,6867,PRECISION ELECTRICAL AND ELECTRONIC EQUIPMENT ASSEM
684,"MISCELLANEOUS PRECISION WORKERS, N.E.C.",6869,"MISCELLANEOUS PRECISION WORKERS, NOT ELSEWHERE CLAS"
686,BUTCHERS AND MEAT CUTTERS,6871,BUTCHERS AND MEAT CUTTERS
687,BAKERS,6872,BAKERS
688,FOOD BATCHMAKERS,6873,"BATCHMAKERS (CANDYMAKERS, CHEESEMAKERS, ETC.)"
688,FOOD BATCHMAKERS,6879,MISCELLANEOUS PRECISION FOOD WORKERS
689,"INSPECTORS, TESTERS, AND GRADERS",6881,"PRECISION INSPECTORS, TESTERS, AND GRADERS"
689,"INSPECTORS, TESTERS, AND GRADERS",828,TRANSPORTATION INSPECTORS
693,ADJUSTERS AND CALIBRATORS,6882,PRECISION ADJUSTERS AND CALIBRATORS
694,WATER AND SEWAGE TREATMENT PLANT OPERATORS,691,WATER AND SEWAGE TREATMENT PLANT OPERATORS
695,POWER PLANT OPERATORS,6932,"POWER PLANT AND SYSTEMS OPERATORS, EXC. STATIONARY"
696,STATIONARY ENGINEERS,6931,STATIONARY ENGINEERS
696,STATIONARY ENGINEERS,7668,BOILER OPERATORS AND TENDERS (LOW PRESSURE)
699,MISCELLANEOUS PLANT AND SYSTEM OPERATORS,692,GAS PLANT OPERATORS
699,MISCELLANEOUS PLANT AND SYSTEM OPERATORS,694,CHEMICAL PLANT OPERATORS
699,MISCELLANEOUS PLANT AND SYSTEM OPERATORS,695,PETROLEUM PLANT OPERATORS
699,MISCELLANEOUS PLANT AND SYSTEM OPERATORS,696,MISC PLANT OR SYSTEM OPERATORS
703,LATHE AND TURNING MACHINE SET-UP OPERATORS,7312,LATHE AND TURNING MACHINE SETUP OPERATORS
704,LATHE AND TURNING MACHINE OPERATORS,7512,LATHE AND TURNING MACHINE OPERATORS AND TENDERS
705,MILLING AND PLANING MACHINE OPERATORS,7313,MILLING AND PLANING MACHINE SETUP OPERATORS
705,MILLING AND PLANING MACHINE OPERATORS,7513,MILLING AND PLANING MACHINE OPERATORS AND TENDERS
706,PUNCHING AND STAMPING PRESS MACHINE OPERATORS,7314,PUNCHING AND SHEARING MACHINE SETUP OPERATORS
706,PUNCHING AND STAMPING PRESS MACHINE OPERATORS,7317,PRESS AND BRAKE MACHINE SETUP OPERATORS
706,PUNCHING AND STAMPING PRESS MACHINE OPERATORS,7514,PUNCHING AND SHEARING MACHINE OPERATORS AND TENDERS
706,PUNCHING AND STAMPING PRESS MACHINE OPERATORS,7517,PRESS AND BRAKE MACHINE OPERATORS AND TENDERS
707,ROLLING MACHINE OPERATORS,7316,ROLLING MACHINE SETUP OPERATORS
707,ROLLING MACHINE OPERATORS,7516,ROLLING MACHINE OPERATORS AND TENDERS
708,DRILLING AND BORING MACHINE OPERATORS,7318,DRILLING AND BORING MACHINE SETUP OPERATORS
708,DRILLING AND BORING MACHINE OPERATORS,7518,DRILLING AND BORING MACHINE OPERATORS AND TENDERS
709,"GRINDING, ABRADING, BUFFING, AND POLISHING MACHINE OPERATORS",7322,"GRINDING, ABRADING, BUFFING, AND POLISHING MACHINE"
709,"GRINDING, ABRADING, BUFFING, AND POLISHING MACHINE OPERATORS",7324,LAPPING AND HONING MACHINE SETUP OPERATORS
709,"GRINDING, ABRADING, BUFFING, AND POLISHING MACHINE OPERATORS",7522,"GRINDING, ABRADING, BUFFING AND POLISHING MACHINE O"
713,FORGING MACHINE OPERATORS,7319,FORGING MACHINE SETUP OPERATORS
713,FORGING MACHINE OPERATORS,7519,FORGING MACHINE OPERATORS AND TENDERS
714,NUMERICAL CONTROL MACHINE OPERATOR,7326,NUMERICAL CONTROL MACHINE SETUP OPERATORS
715,"MISCELLANEOUS METAL, PLASTIC, STONE AND GLASS WORKING MACHINE OPERA",7329,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MACH
715,"MISCELLANEOUS METAL, PLASTIC, STONE AND GLASS WORKING MACHINE OPERA",7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MACH
717,"FABRICATING MACHINE OPERATORS, N.E.C.",7339,MISCELLANEOUS FABRICATING MACHINE SETUP OPERATORS
717,"FABRICATING MACHINE OPERATORS, N.E.C.",7539,MISCELLANEOUS FABRICATING MACHINE OPERATORS AND TEN
719,MOLDING AND CASTING MACHINE OPERATORS,7315,EXTRUDING AND DRAWING MACHINE SETUP OPERATORS
719,MOLDING AND CASTING MACHINE OPERATORS,7342,MOLDING AND CASTING MACHINE SETUP OPERATORS
719,MOLDING AND CASTING MACHINE OPERATORS,7515,EXTRUDING AND DRAWING MACHINE OPERATORS AND TENDERS
719,MOLDING AND CASTING MACHINE OPERATORS,7542,MOLDING AND CASTING MACHINE OPERATORS AND TENDERS
723,METAL PLATING MACHINE OPERATORS,7343,PLATING AND COATING MACHINE SETUP OPERATORS
723,METAL PLATING MACHINE OPERATORS,7543,PLATING AND COATING MACHINE OPERATORS AND TENDERS
724,HEAT TREATING EQUIPMENT OPERATORS,7344,HEATING EQUIPMENT SETUP OPERATORS
724,HEAT TREATING EQUIPMENT OPERATORS,7544,HEATING EQUIPMENT OPERATORS AND TENDERS
725,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE OPERATORS,7349,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE
725,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE OPERATORS,7549,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE
726,"WOOD LATHE, ROUTING, AND PLANING MACHINE OPERATORS",7431,LATHE AND TURNING MACHINE SETUP OPERATORS
726,"WOOD LATHE, ROUTING, AND PLANING MACHINE OPERATORS",7432,ROUTER AND PLANER MACHINE SETUP OPERATORS
726,"WOOD LATHE, ROUTING, AND PLANING MACHINE OPERATORS",7631,LATHE AND TURNING MACHINE OPERATORS AND TENDERS
726,"WOOD LATHE, ROUTING, AND PLANING MACHINE OPERATORS",7632,ROUTER AND PLANER MACHINE OPERATORS AND TENDERS
727,SAWING MACHINE OPERATORS,7433,SAWING MACHINE SETUP OPERATORS
