soc2010_code,soc2010_title,noc2011_code,noc2011_title
47-2161,Plasterers and Stucco Masons,7284,"Plasterers, drywall installers and finishers and lathers"
47-2171,Reinforcing Iron and Rebar Workers,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
47-2171,Reinforcing Iron and Rebar Workers,7235,Structural metal and platework fabricators and fitters
47-2171,Reinforcing Iron and Rebar Workers,7236,Ironworkers
47-2181,Roofers,7291,Roofers and shinglers
47-2211,Sheet Metal Workers,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
47-2211,Sheet Metal Workers,7233,Sheet metal workers
47-2211,Sheet Metal Workers,7234,Boilermakers
47-2211,Sheet Metal Workers,7301,"Contractors and supervisors, mechanic trades"
47-2211,Sheet Metal Workers,7322,Motor vehicle body repairers
47-2221,Structural Iron and Steel Workers,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
47-2221,Structural Iron and Steel Workers,7235,Structural metal and platework fabricators and fitters
47-2221,Structural Iron and Steel Workers,7236,Ironworkers
47-2231,Solar Photovoltaic Installers,7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
47-2231,Solar Photovoltaic Installers,7241,Electricians (except industrial and power system)
47-2231,Solar Photovoltaic Installers,7242,Industrial electricians
47-2231,Solar Photovoltaic Installers,7302,"Contractors and supervisors, heavy equipment operator crews"
47-2231,Solar Photovoltaic Installers,7384,"Other trades and related occupations, n.e.c."
47-2231,Solar Photovoltaic Installers,7441,Residential and commercial installers and servicers
47-2231,Solar Photovoltaic Installers,7611,Construction trades helpers and labourers
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",7611,Construction trades helpers and labourers
47-3012,Helpers--Carpenters,7611,Construction trades helpers and labourers
47-3013,Helpers--Electricians,7611,Construction trades helpers and labourers
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7611,Construction trades helpers and labourers
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",7611,Construction trades helpers and labourers
47-3016,Helpers--Roofers,7611,Construction trades helpers and labourers
47-3019,"Helpers, Construction Trades, All Other",7611,Construction trades helpers and labourers
47-3019,"Helpers, Construction Trades, All Other",7621,Public works and maintenance labourers
47-4011,Construction and Building Inspectors,2231,Civil engineering technologists and technicians
47-4011,Construction and Building Inspectors,2234,Construction estimators
47-4011,Construction and Building Inspectors,2254,Land survey technologists and technicians
47-4011,Construction and Building Inspectors,2264,Construction inspectors
47-4011,Construction and Building Inspectors,4312,Firefighters
47-4021,Elevator Installers and Repairers,2243,Industrial instrument technicians and mechanics
47-4021,Elevator Installers and Repairers,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
47-4021,Elevator Installers and Repairers,7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
47-4021,Elevator Installers and Repairers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
47-4021,Elevator Installers and Repairers,7243,Power system electricians
47-4021,Elevator Installers and Repairers,7301,"Contractors and supervisors, mechanic trades"
47-4021,Elevator Installers and Repairers,7318,Elevator constructors and mechanics
47-4021,Elevator Installers and Repairers,7332,Appliance servicers and repairers
47-4021,Elevator Installers and Repairers,7333,Electrical mechanics
47-4021,Elevator Installers and Repairers,7441,Residential and commercial installers and servicers
47-4021,Elevator Installers and Repairers,7445,Other repairers and servicers
47-4031,Fence Erectors,7302,"Contractors and supervisors, heavy equipment operator crews"
47-4031,Fence Erectors,7384,"Other trades and related occupations, n.e.c."
47-4031,Fence Erectors,7441,Residential and commercial installers and servicers
47-4031,Fence Erectors,7611,Construction trades helpers and labourers
47-4041,Hazardous Materials Removal Workers,7302,"Contractors and supervisors, heavy equipment operator crews"
47-4041,Hazardous Materials Removal Workers,7384,"Other trades and related occupations, n.e.c."
47-4041,Hazardous Materials Removal Workers,7441,Residential and commercial installers and servicers
47-4041,Hazardous Materials Removal Workers,7611,Construction trades helpers and labourers
47-4051,Highway Maintenance Workers,7611,Construction trades helpers and labourers
47-4051,Highway Maintenance Workers,7621,Public works and maintenance labourers
47-4061,Rail-Track Laying and Maintenance Equipment Operators,7611,Construction trades helpers and labourers
47-4061,Rail-Track Laying and Maintenance Equipment Operators,7621,Public works and maintenance labourers
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,6315,Cleaning supervisors
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,6732,Specialized cleaners
47-4091,Segmental Pavers,5244,Artisans and craftspersons
47-4091,Segmental Pavers,7281,Bricklayers
47-4091,Segmental Pavers,7282,Concrete finishers
47-4091,Segmental Pavers,7283,Tilesetters
47-4091,Segmental Pavers,7384,"Other trades and related occupations, n.e.c."
47-4091,Segmental Pavers,9414,"Concrete, clay and stone forming operators"
47-4099,"Construction and Related Workers, All Other",7302,"Contractors and supervisors, heavy equipment operator crews"
47-4099,"Construction and Related Workers, All Other",7384,"Other trades and related occupations, n.e.c."
47-4099,"Construction and Related Workers, All Other",7441,Residential and commercial installers and servicers
47-4099,"Construction and Related Workers, All Other",7611,Construction trades helpers and labourers
47-5011,"Derrick Operators, Oil and Gas",7302,"Contractors and supervisors, heavy equipment operator crews"
47-5011,"Derrick Operators, Oil and Gas",7373,Water well drillers
47-5011,"Derrick Operators, Oil and Gas",8231,Underground production and development miners
47-5011,"Derrick Operators, Oil and Gas",8232,"Oil and gas well drillers, servicers, testers and related workers"
47-5011,"Derrick Operators, Oil and Gas",8412,Oil and gas well drilling and related workers and services operators
47-5012,"Rotary Drill Operators, Oil and Gas",7302,"Contractors and supervisors, heavy equipment operator crews"
47-5012,"Rotary Drill Operators, Oil and Gas",7373,Water well drillers
47-5012,"Rotary Drill Operators, Oil and Gas",8231,Underground production and development miners
47-5012,"Rotary Drill Operators, Oil and Gas",8232,"Oil and gas well drillers, servicers, testers and related workers"
47-5012,"Rotary Drill Operators, Oil and Gas",8412,Oil and gas well drilling and related workers and services operators
47-5013,"Service Unit Operators, Oil, Gas, and Mining",7302,"Contractors and supervisors, heavy equipment operator crews"
47-5013,"Service Unit Operators, Oil, Gas, and Mining",7373,Water well drillers
47-5013,"Service Unit Operators, Oil, Gas, and Mining",8231,Underground production and development miners
47-5013,"Service Unit Operators, Oil, Gas, and Mining",8232,"Oil and gas well drillers, servicers, testers and related workers"
47-5013,"Service Unit Operators, Oil, Gas, and Mining",8412,Oil and gas well drilling and related workers and services operators
47-5021,"Earth Drillers, Except Oil and Gas",7302,"Contractors and supervisors, heavy equipment operator crews"
47-5021,"Earth Drillers, Except Oil and Gas",7372,"Drillers and blasters - surface mining, quarrying and construction"
47-5021,"Earth Drillers, Except Oil and Gas",7373,Water well drillers
47-5021,"Earth Drillers, Except Oil and Gas",8231,Underground production and development miners
47-5021,"Earth Drillers, Except Oil and Gas",8232,"Oil and gas well drillers, servicers, testers and related workers"
47-5021,"Earth Drillers, Except Oil and Gas",8412,Oil and gas well drilling and related workers and services operators
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",7302,"Contractors and supervisors, heavy equipment operator crews"
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",7372,"Drillers and blasters - surface mining, quarrying and construction"
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",8231,Underground production and development miners
47-5041,Continuous Mining Machine Operators,7372,"Drillers and blasters - surface mining, quarrying and construction"
47-5041,Continuous Mining Machine Operators,8231,Underground production and development miners
47-5042,Mine Cutting and Channeling Machine Operators,7372,"Drillers and blasters - surface mining, quarrying and construction"
47-5042,Mine Cutting and Channeling Machine Operators,8231,Underground production and development miners
47-5049,"Mining Machine Operators, All Other",7372,"Drillers and blasters - surface mining, quarrying and construction"
47-5049,"Mining Machine Operators, All Other",8231,Underground production and development miners
47-5051,"Rock Splitters, Quarry",7372,"Drillers and blasters - surface mining, quarrying and construction"
47-5051,"Rock Splitters, Quarry",8231,Underground production and development miners
47-5061,"Roof Bolters, Mining",7372,"Drillers and blasters - surface mining, quarrying and construction"
47-5061,"Roof Bolters, Mining",8231,Underground production and development miners
47-5071,"Roustabouts, Oil and Gas",7302,"Contractors and supervisors, heavy equipment operator crews"
47-5071,"Roustabouts, Oil and Gas",7373,Water well drillers
47-5071,"Roustabouts, Oil and Gas",8231,Underground production and development miners
47-5071,"Roustabouts, Oil and Gas",8232,"Oil and gas well drillers, servicers, testers and related workers"
47-5071,"Roustabouts, Oil and Gas",8412,Oil and gas well drilling and related workers and services operators
47-5081,Helpers--Extraction Workers,7611,Construction trades helpers and labourers
47-5081,Helpers--Extraction Workers,8411,Underground mine service and support workers
47-5081,Helpers--Extraction Workers,8614,Mine labourers
47-5081,Helpers--Extraction Workers,8615,"Oil and gas drilling, servicing and related labourers"
47-5099,"Extraction Workers, All Other",7611,Construction trades helpers and labourers
47-5099,"Extraction Workers, All Other",8411,Underground mine service and support workers
47-5099,"Extraction Workers, All Other",8614,Mine labourers
47-5099,"Extraction Workers, All Other",8615,"Oil and gas drilling, servicing and related labourers"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2242,Electronic service technicians (household and business equipment)
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2243,Industrial instrument technicians and mechanics
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",3219,Other medical technologists and technicians (except dental health)
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",5244,Artisans and craftspersons
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",6344,"Jewellers, jewellery and watch repairers and related occupations"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7243,Power system electricians
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7244,Electrical power line and cable workers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7245,Telecommunications line and cable workers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7246,Telecommunications installation and repair workers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7247,Cable television service and maintenance technicians
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7301,"Contractors and supervisors, mechanic trades"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7311,Construction millwrights and industrial mechanics
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7312,Heavy-duty equipment mechanics
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7313,Refrigeration and air conditioning mechanics
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7314,Railway carmen/women
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7315,Aircraft mechanics and aircraft inspectors
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7316,Machine fitters
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7318,Elevator constructors and mechanics
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7331,Oil and solid fuel heating mechanics
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7332,Appliance servicers and repairers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7333,Electrical mechanics
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7334,"Motorcycle, all-terrain vehicle and other related mechanics"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7335,Other small engine and small equipment repairers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7384,"Other trades and related occupations, n.e.c."
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7441,Residential and commercial installers and servicers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7445,Other repairers and servicers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7531,Railway yard and track maintenance workers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7535,Other automotive mechanical installers and servicers
49-2011,"Computer, Automated Teller, and Office Machine Repairers",2242,Electronic service technicians (household and business equipment)
49-2011,"Computer, Automated Teller, and Office Machine Repairers",2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-2011,"Computer, Automated Teller, and Office Machine Repairers",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2011,"Computer, Automated Teller, and Office Machine Repairers",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2011,"Computer, Automated Teller, and Office Machine Repairers",7245,Telecommunications line and cable workers
49-2011,"Computer, Automated Teller, and Office Machine Repairers",7246,Telecommunications installation and repair workers
49-2011,"Computer, Automated Teller, and Office Machine Repairers",7247,Cable television service and maintenance technicians
49-2011,"Computer, Automated Teller, and Office Machine Repairers",7441,Residential and commercial installers and servicers
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",2242,Electronic service technicians (household and business equipment)
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",7245,Telecommunications line and cable workers
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",7246,Telecommunications installation and repair workers
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",7247,Cable television service and maintenance technicians
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",7441,Residential and commercial installers and servicers
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",2242,Electronic service technicians (household and business equipment)
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7245,Telecommunications line and cable workers
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7246,Telecommunications installation and repair workers
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7247,Cable television service and maintenance technicians
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7441,Residential and commercial installers and servicers
49-2091,Avionics Technicians,2242,Electronic service technicians (household and business equipment)
49-2091,Avionics Technicians,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-2092,"Electric Motor, Power Tool, and Related Repairers",2243,Industrial instrument technicians and mechanics
49-2092,"Electric Motor, Power Tool, and Related Repairers",2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-2092,"Electric Motor, Power Tool, and Related Repairers",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2092,"Electric Motor, Power Tool, and Related Repairers",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2092,"Electric Motor, Power Tool, and Related Repairers",7243,Power system electricians
49-2092,"Electric Motor, Power Tool, and Related Repairers",7301,"Contractors and supervisors, mechanic trades"
49-2092,"Electric Motor, Power Tool, and Related Repairers",7318,Elevator constructors and mechanics
49-2092,"Electric Motor, Power Tool, and Related Repairers",7332,Appliance servicers and repairers
49-2092,"Electric Motor, Power Tool, and Related Repairers",7333,Electrical mechanics
49-2092,"Electric Motor, Power Tool, and Related Repairers",7441,Residential and commercial installers and servicers
49-2092,"Electric Motor, Power Tool, and Related Repairers",7445,Other repairers and servicers
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",2242,Electronic service technicians (household and business equipment)
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",2243,Industrial instrument technicians and mechanics
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7243,Power system electricians
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7245,Telecommunications line and cable workers
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7246,Telecommunications installation and repair workers
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7247,Cable television service and maintenance technicians
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7301,"Contractors and supervisors, mechanic trades"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7318,Elevator constructors and mechanics
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7332,Appliance servicers and repairers
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7333,Electrical mechanics
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7441,Residential and commercial installers and servicers
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7445,Other repairers and servicers
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",2242,Electronic service technicians (household and business equipment)
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",2243,Industrial instrument technicians and mechanics
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7243,Power system electricians
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7301,"Contractors and supervisors, mechanic trades"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7318,Elevator constructors and mechanics
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7332,Appliance servicers and repairers
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7333,Electrical mechanics
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7441,Residential and commercial installers and servicers
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7445,Other repairers and servicers
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2242,Electronic service technicians (household and business equipment)
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2243,Industrial instrument technicians and mechanics
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7243,Power system electricians
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7301,"Contractors and supervisors, mechanic trades"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7318,Elevator constructors and mechanics
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7332,Appliance servicers and repairers
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7333,Electrical mechanics
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7441,Residential and commercial installers and servicers
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7445,Other repairers and servicers
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",2242,Electronic service technicians (household and business equipment)
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",2243,Industrial instrument technicians and mechanics
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7243,Power system electricians
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7301,"Contractors and supervisors, mechanic trades"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7318,Elevator constructors and mechanics
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7332,Appliance servicers and repairers
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7333,Electrical mechanics
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7441,Residential and commercial installers and servicers
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7445,Other repairers and servicers
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,2242,Electronic service technicians (household and business equipment)
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,7245,Telecommunications line and cable workers
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,7246,Telecommunications installation and repair workers
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,7247,Cable television service and maintenance technicians
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,7441,Residential and commercial installers and servicers
49-2098,Security and Fire Alarm Systems Installers,2243,Industrial instrument technicians and mechanics
49-2098,Security and Fire Alarm Systems Installers,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-2098,Security and Fire Alarm Systems Installers,7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-2098,Security and Fire Alarm Systems Installers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-2098,Security and Fire Alarm Systems Installers,7243,Power system electricians
49-2098,Security and Fire Alarm Systems Installers,7301,"Contractors and supervisors, mechanic trades"
49-2098,Security and Fire Alarm Systems Installers,7318,Elevator constructors and mechanics
49-2098,Security and Fire Alarm Systems Installers,7332,Appliance servicers and repairers
49-2098,Security and Fire Alarm Systems Installers,7333,Electrical mechanics
49-2098,Security and Fire Alarm Systems Installers,7441,Residential and commercial installers and servicers
49-2098,Security and Fire Alarm Systems Installers,7445,Other repairers and servicers
49-3011,Aircraft Mechanics and Service Technicians,7301,"Contractors and supervisors, mechanic trades"
49-3011,Aircraft Mechanics and Service Technicians,7315,Aircraft mechanics and aircraft inspectors
49-3011,Aircraft Mechanics and Service Technicians,7316,Machine fitters
49-3021,Automotive Body and Related Repairers,7301,"Contractors and supervisors, mechanic trades"
49-3021,Automotive Body and Related Repairers,7314,Railway carmen/women
49-3021,Automotive Body and Related Repairers,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
49-3021,Automotive Body and Related Repairers,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
49-3021,Automotive Body and Related Repairers,7335,Other small engine and small equipment repairers
49-3021,Automotive Body and Related Repairers,7384,"Other trades and related occupations, n.e.c."
49-3021,Automotive Body and Related Repairers,7535,Other automotive mechanical installers and servicers
49-3022,Automotive Glass Installers and Repairers,7301,"Contractors and supervisors, mechanic trades"
49-3022,Automotive Glass Installers and Repairers,7314,Railway carmen/women
49-3022,Automotive Glass Installers and Repairers,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
49-3022,Automotive Glass Installers and Repairers,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
49-3022,Automotive Glass Installers and Repairers,7335,Other small engine and small equipment repairers
49-3022,Automotive Glass Installers and Repairers,7384,"Other trades and related occupations, n.e.c."
49-3022,Automotive Glass Installers and Repairers,7535,Other automotive mechanical installers and servicers
49-3023,Automotive Service Technicians and Mechanics,7301,"Contractors and supervisors, mechanic trades"
49-3023,Automotive Service Technicians and Mechanics,7314,Railway carmen/women
49-3023,Automotive Service Technicians and Mechanics,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
49-3023,Automotive Service Technicians and Mechanics,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
49-3023,Automotive Service Technicians and Mechanics,7335,Other small engine and small equipment repairers
49-3023,Automotive Service Technicians and Mechanics,7384,"Other trades and related occupations, n.e.c."
49-3023,Automotive Service Technicians and Mechanics,7535,Other automotive mechanical installers and servicers
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,7301,"Contractors and supervisors, mechanic trades"
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,7314,Railway carmen/women
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,7335,Other small engine and small equipment repairers
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,7384,"Other trades and related occupations, n.e.c."
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,7535,Other automotive mechanical installers and servicers
49-3041,Farm Equipment Mechanics and Service Technicians,7301,"Contractors and supervisors, mechanic trades"
49-3041,Farm Equipment Mechanics and Service Technicians,7311,Construction millwrights and industrial mechanics
49-3041,Farm Equipment Mechanics and Service Technicians,7312,Heavy-duty equipment mechanics
49-3041,Farm Equipment Mechanics and Service Technicians,7316,Machine fitters
49-3041,Farm Equipment Mechanics and Service Technicians,7531,Railway yard and track maintenance workers
49-3041,Farm Equipment Mechanics and Service Technicians,7535,Other automotive mechanical installers and servicers
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",7301,"Contractors and supervisors, mechanic trades"
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",7311,Construction millwrights and industrial mechanics
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",7312,Heavy-duty equipment mechanics
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",7316,Machine fitters
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",7531,Railway yard and track maintenance workers
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",7535,Other automotive mechanical installers and servicers
49-3043,Rail Car Repairers,7301,"Contractors and supervisors, mechanic trades"
49-3043,Rail Car Repairers,7311,Construction millwrights and industrial mechanics
49-3043,Rail Car Repairers,7312,Heavy-duty equipment mechanics
49-3043,Rail Car Repairers,7316,Machine fitters
49-3043,Rail Car Repairers,7531,Railway yard and track maintenance workers
49-3043,Rail Car Repairers,7535,Other automotive mechanical installers and servicers
49-3051,Motorboat Mechanics and Service Technicians,7301,"Contractors and supervisors, mechanic trades"
49-3051,Motorboat Mechanics and Service Technicians,7314,Railway carmen/women
49-3051,Motorboat Mechanics and Service Technicians,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
49-3051,Motorboat Mechanics and Service Technicians,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
49-3051,Motorboat Mechanics and Service Technicians,7335,Other small engine and small equipment repairers
49-3051,Motorboat Mechanics and Service Technicians,7384,"Other trades and related occupations, n.e.c."
49-3051,Motorboat Mechanics and Service Technicians,7535,Other automotive mechanical installers and servicers
49-3052,Motorcycle Mechanics,7301,"Contractors and supervisors, mechanic trades"
49-3052,Motorcycle Mechanics,7314,Railway carmen/women
