code,title,Level,parent,isco1d,isco2d,isco3d,isco4d
246,Religious Professionals,3,24,2,24,246,NA
2460,Religious Professionals,4,246,2,24,246,2460
3,Technicians and Associate Professionals,1,NA,3,NA,NA,NA
31,Physical and Engineering Science Associate Professionals,2,3,3,31,NA,NA
311,Physical and Engineering Science Technicians,3,31,3,31,311,NA
3111,Chemical and Physical Science Technicians,4,311,3,31,311,3111
3112,Civil Engineering Technicians,4,311,3,31,311,3112
3113,Electrical engineering technicians,4,311,3,31,311,3113
3114,Electronics and Telecommunications Engineering Technicians,4,311,3,31,311,3114
3115,Mechanical Engineering Technicians,4,311,3,31,311,3115
3116,Chemical engineering technicians,4,311,3,31,311,3116
3117,Mining and Metallurgical Technicians,4,311,3,31,311,3117
3118,Draughts persons,4,311,3,31,311,3118
3119,Physical and Engineering Science Technicians not elsewhere classified,4,311,3,31,311,3119
312,Computer Associate Professionals,3,31,3,31,312,NA
3121,Computer Assistants,4,312,3,31,312,3121
3122,Computer Equipment Operators,4,312,3,31,312,3122
3123,Industrial Robot Controllers,4,312,3,31,312,3123
313,Optical and Electronic Equipment Operators,3,31,3,31,313,NA
3131,Photographers and image and sound recording equipment Operators,4,313,3,31,313,3131
3132,Broadcasting and telecommunications equipment Operators,4,313,3,31,313,3132
3133,Medical equipment Operators,4,313,3,31,313,3133
3139,Optical and electronic equipment Operators not elsewhere classified,4,313,3,31,313,3139
314,Ship and Aircraft Controllers and Technicians,3,31,3,31,314,NA
3141,Ships' Engineers,4,314,3,31,314,3141
3142,Ships' Deck Officers and Pilots,4,314,3,31,314,3142
3143,Aircraft Pilots and related associate Professionals,4,314,3,31,314,3143
3144,Air traffic controllers,4,314,3,31,314,3144
3145,Air traffic safety technicians,4,314,3,31,314,3145
315,Safety and Quality Inspectors,3,31,3,31,315,NA
3151,Building and fire Inspectors,4,315,3,31,315,3151
3152,"Safety, health and quality inspectors",4,315,3,31,315,3152
32,Life science and health associate Professionals,2,3,3,32,NA,NA
321,Life Science Technicians and related associate Professionals,3,32,3,32,321,NA
3211,Life Science Technicians,4,321,3,32,321,3211
3212,Agronomy and forestry technicians,4,321,3,32,321,3212
3213,Farming and forestry advisers,4,321,3,32,321,3213
322,Modern health associate professionals,3,32,3,32,322,NA
3221,Medical Assistants,4,322,3,32,322,3221
3222,Sanitarians,4,322,3,32,322,3222
3223,Dieticians and nutritionists,4,322,3,32,322,3223
3224,Optometrists and opticians,4,322,3,32,322,3224
3225,Dental assistants,4,322,3,32,322,3225
3226,Physiotherapists and related associate professionals,4,322,3,32,322,3226
3227,Veterinary assistants,4,322,3,32,322,3227
3228,Pharmaceutical Assistants,4,322,3,32,322,3228
3229,Modern Health Associate Professionals (except nursing) not classified elsewhere,4,322,3,32,322,3229
323,(except nursing) not classified elsewhere,3,32,3,32,323,NA
3231,Nursing Associate Professionals,4,323,3,32,323,3231
3232,Midwifery Associate Professionals,4,323,3,32,323,3232
324,Traditional Medicine Practitioners and Faith Healers,3,32,3,32,324,NA
3241,Traditional Medicine Practitioners,4,324,3,32,324,3241
3242,Faith Healers,4,324,3,32,324,3242
33,Teaching Associate Professionals,2,3,3,33,NA,NA
331,Primary education teaching Associate Professionals,3,33,3,33,331,NA
3310,Primary education teaching Associate Professionals,4,331,3,33,331,3310
332,Preprimary education teaching Associate Professionals,3,33,3,33,332,NA
3320,Pre-primary education teaching Associate Professionals,4,332,3,33,332,3320
333,Special education Teaching Associate Professionals,3,33,3,33,333,NA
3330,Special education Teaching Associate Professionals,4,333,3,33,333,3330
334,Other teaching Associate Professionals,3,33,3,33,334,NA
3340,Other teaching Associate Professionals,4,334,3,33,334,3340
34,Other associate Professionals,2,3,3,34,NA,NA
341,Finance and sales Associate professionals,3,34,3,34,341,NA
3411,Securities and Finance Dealers and Brokers,4,341,3,34,341,3411
3412,Insurance Representatives,4,341,3,34,341,3412
3413,Estate Agents,4,341,3,34,341,3413
3414,Travel Consultants and Organisers,4,341,3,34,341,3414
3415,Technical and Commercial Sales Representatives,4,341,3,34,341,3415
3416,Buyers,4,341,3,34,341,3416
3417,"Appraisers, Valuers and Auctioneers",4,341,3,34,341,3417
3419,Finance and Sales Associate Professionals not classified elsewhere,4,341,3,34,341,3419
342,Business Services Agents and Trade Brokers,3,34,3,34,342,NA
3421,Trade brokers,4,342,3,34,342,3421
3422,Clearing and forwarding Agents,4,342,3,34,342,3422
3423,Employment agents and labour contractors,4,342,3,34,342,3423
3429,business services agents and trade brokers not classified elsewhere,4,342,3,34,342,3429
343,Administrative associate professionals,3,34,3,34,343,NA
3431,Administrative secretaries and related associate professionals,4,343,3,34,343,3431
3432,Legal and related business associate professionals,4,343,3,34,343,3432
3433,Bookkeepers,4,343,3,34,343,3433
3434,"Statistical, Mathematical and related associate Professional",4,343,3,34,343,3434
3439,Administrative Associate Professionals not classified elsewhere,4,343,3,34,343,3439
344,"Customs, tax and related government associate professionals",3,34,3,34,344,NA
3441,Customs and Border Inspectors,4,344,3,34,344,3441
3442,Government Tax and Excise Officials,4,344,3,34,344,3442
3443,Government Social benefits Officials,4,344,3,34,344,3443
3444,Government licensing officials,4,344,3,34,344,3444
